,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2028.30000,1174.90000,853.39980,-401.30000,667.39900,186.00010,-64.00000,122.00000,-13.50000,135.50000,135.50000,,135.49990,340.00010,186.00000,210.30000,214.70000,0.64000,0.62000
2022-09-30,2044.00000,1181.80000,862.20000,-353.50000,482.80000,379.39990,-64.40000,315.00000,58.70000,256.30000,256.30000,,255.80000,524.89990,379.39990,210.70000,215.00000,1.21000,1.19000
2022-06-30,2043.00000,1161.10000,881.90000,-358.50000,465.00000,416.90000,-64.60000,352.30000,67.20000,285.10000,285.10000,,284.20000,557.20000,416.90000,210.20000,214.30000,1.35000,1.33000
2022-03-31,2435.30000,1304.90000,1130.40000,-348.10000,528.80000,601.60000,-63.90000,537.70000,98.60000,439.10000,439.10000,,438.70000,761.40000,601.60000,209.00000,213.50000,2.10000,2.05000
2021-12-31,1972.70000,1243.50000,729.20000,-351.60000,554.70000,174.50000,-61.50000,113.00000,-7.90000,120.90010,120.90010,,109.39990,321.00000,174.50020,202.70000,207.30000,0.48000,0.47000
2021-09-30,2138.20000,1366.60000,771.60000,-314.40000,479.90000,291.70000,-60.30000,231.40000,-7.20000,238.60000,238.60000,,225.10000,422.99990,291.70000,207.00000,211.50000,1.09000,1.06000
2021-06-30,1933.50000,1205.90000,727.60000,-290.10000,449.10000,278.50000,-56.20000,222.30000,20.50000,201.80000,201.80000,,190.20000,423.70000,278.50000,201.30000,205.80000,0.94000,0.92000
2021-03-31,2165.00000,1284.70000,880.30000,-265.50000,423.80000,456.50000,-48.10000,408.40000,14.70000,393.70000,393.70000,,382.10000,599.80000,456.50000,194.60000,199.10000,1.96000,1.92000
2020-12-31,1703.60000,1097.50000,606.09990,-270.79990,424.60000,181.50000,-47.80000,133.70000,-19.40000,153.10010,153.10010,,142.20000,315.00000,181.50020,191.00000,195.00000,0.73000,0.72000
2020-09-30,1849.10000,1192.70000,656.40000,-244.80000,398.80000,257.60000,-48.10000,209.50000,21.70000,187.80000,187.80000,,176.60000,391.50000,257.60000,191.90000,196.30000,0.92000,0.90000
