,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,439.83400,142.62000,297.21400,31.92800,4.02100,152.58300,144.63100,-151.28300,-6.65200,57.75000,-64.40200,,-47.06900,,-56.08600,,144.63100,615.85600,615.85600,-0.09000,-0.09000
2022-09-30,433.40300,130.73800,302.66500,29.67700,-3.24600,158.34200,144.32300,-122.08400,22.23900,-1.03900,23.27800,,56.37100,,51.64700,269.74200,144.32300,615.83200,618.01800,0.08000,0.08000
2022-06-30,427.19800,129.92900,297.26900,27.98100,-11.47500,164.06700,133.20200,-311.34800,-178.14600,0.09600,-178.24200,,-130.72700,,-125.75100,257.81300,133.20200,615.64200,615.64200,-0.21000,-0.21000
2022-03-31,427.24900,127.62000,299.62900,29.94800,3.92100,156.32100,143.30800,63.55500,206.86300,-0.15300,207.01600,,235.95900,,230.94800,273.60200,143.30800,614.76700,616.75800,0.37000,0.37000
2021-12-31,424.65400,133.60100,291.05300,28.98500,-2.64300,165.26110,125.79190,-86.85000,38.94200,0.48300,38.45900,,81.94900,,75.32700,259.42490,125.79190,506.24800,511.38500,0.15000,0.14000
2021-09-30,368.60700,106.33500,262.27200,25.90400,-45.87300,186.01500,76.25700,411.69700,487.95400,0.31400,487.64000,,509.20400,,501.38500,190.49500,76.25700,546.84200,548.76600,0.91000,0.91000
2021-06-30,289.01600,89.48400,199.53200,24.75400,15.56400,81.76300,117.76900,-20.73300,97.03600,1.27500,95.76100,,117.11800,,110.34300,190.34200,117.76900,431.01100,432.48900,0.25000,0.25000
2021-03-31,282.30800,88.49100,193.81700,24.47800,10.00500,89.34900,104.46800,16.72600,121.19400,1.30800,119.88600,,141.42500,,131.58800,179.34400,104.46800,430.52400,432.26400,0.30000,0.30000
2020-12-31,269.44090,91.61500,177.82600,20.90100,-2.32800,97.52400,80.30200,107.94600,188.24800,0.49600,187.75200,,201.79910,,194.88000,154.59700,80.30200,429.95000,431.63300,0.46000,0.45000
2020-09-30,259.79200,86.01400,173.77800,28.79500,-0.39700,100.89600,72.88200,-132.31100,-59.42900,0.38800,-59.81700,,-37.42900,,-44.74800,144.58600,72.88200,429.99400,429.99400,-0.10000,-0.10000
2020-06-30,238.91600,80.44500,158.47100,22.50400,1.71200,94.35100,64.12000,669.10900,733.22900,0.05100,733.17800,,748.11800,,741.53900,137.67900,64.12000,429.96700,431.17000,1.71000,1.71000
2020-03-31,289.74400,84.89500,204.84900,21.01700,0.87300,89.54100,115.30800,-49.48200,65.82600,0.04300,65.78300,,90.38900,,83.74600,184.70500,115.30800,429.73500,430.50500,0.19000,0.19000
2019-12-31,296.13010,90.75700,205.37310,24.64600,24.32800,68.75700,136.61610,-42.83000,93.78600,0.26300,93.52300,,110.04300,,92.81200,205.05510,136.61600,420.37000,421.79900,0.22000,0.22000
2019-09-30,282.87100,80.11300,202.75800,23.83200,-10.58400,103.29000,99.46800,-38.81900,60.64900,-3.86600,64.51500,,85.45300,,59.04800,168.34200,99.46800,419.82300,421.00200,0.14000,0.14000
2019-06-30,284.87300,83.14600,201.72700,22.63300,-2.68900,94.32700,107.40000,-42.15900,65.24100,-0.34400,65.58500,,101.38700,,86.49300,176.40500,107.40000,419.69700,420.64600,0.20000,0.20000
2019-03-31,295.01000,82.93500,212.07500,25.83100,19.42000,77.97200,134.10300,-41.77300,92.33000,0.63000,91.70000,,116.67800,,101.63500,205.66400,134.10300,419.46400,420.76300,0.24000,0.24000
2018-12-31,284.20100,80.80600,203.39500,20.02200,2.34500,91.94300,111.45200,-44.51500,66.93700,2.58300,64.35400,,87.94700,,63.73100,185.71800,111.45190,420.64100,421.37900,0.17000,0.17000
2018-09-30,283.08000,79.82900,203.25100,21.34800,23.52500,72.79500,130.45600,-51.62400,78.83200,-0.31500,79.14700,,100.72500,,85.62400,205.42800,130.45600,419.23000,419.76400,0.19000,0.19000
2018-06-30,293.40300,81.34100,212.06200,24.02900,71.31600,32.47300,179.58900,-43.15700,136.43200,-0.72000,137.15200,,165.80900,,150.85200,259.34900,179.58900,420.73100,421.92800,0.36000,0.36000
2018-03-31,304.07800,86.58300,217.49500,22.39800,47.19400,56.58600,160.90900,-43.76400,117.14500,0.05200,117.09300,,143.98200,,129.50100,242.29100,160.90900,423.40400,424.52100,0.30000,0.30000
2017-12-31,315.22500,88.66300,226.56200,27.97200,59.05800,53.93800,172.62400,-53.38000,119.24400,1.34400,117.90000,0.00000,146.66800,,71.33300,257.64800,172.62400,423.61400,424.01900,0.17000,0.17000
2017-09-30,294.84500,81.38900,213.45600,21.52300,-3.64500,113.61100,99.84500,-47.91000,51.93500,-0.69700,52.63200,,81.68300,40.53300,101.95700,188.28800,99.84500,423.68800,424.31100,0.24000,0.24000
2017-06-30,297.17600,84.21500,212.96100,19.96500,-31.81500,147.05000,65.91100,-44.65100,21.26000,-1.03400,22.29400,60.97200,134.79100,,131.86100,161.18100,65.91100,423.65000,424.94400,0.31000,0.31000
2017-03-31,293.58800,83.62600,209.96200,22.23000,-3.02100,117.32500,92.63700,-45.20900,47.42800,-0.49300,47.92100,10.18800,76.52900,1.68600,65.17800,184.71100,92.63700,423.38100,424.14600,0.15000,0.15000
2016-12-31,297.02600,112.41800,184.60800,-3.04400,67.87200,19.96800,164.64000,-40.81800,123.82200,5.29100,118.53100,4.29000,156.62100,,64.70000,255.52400,164.64000,418.40200,419.70900,0.15000,0.15000
2016-09-30,285.07600,73.02100,212.05500,27.98300,-11.16500,135.97500,76.08000,-87.86800,-11.78800,61.42600,-73.21400,6.58400,-51.31900,,-55.10000,172.90700,76.08000,420.07300,420.07300,-0.13000,-0.13000
2016-06-30,291.48800,71.74200,219.74600,29.92800,-53.39800,166.07900,53.66700,-51.49100,2.17600,-0.24600,2.42200,46.51200,165.57800,,191.85400,136.42000,53.66700,417.74800,419.30200,0.46000,0.46000
2016-03-31,297.20200,71.84300,225.35900,31.92900,-9.31500,126.10000,99.25900,-52.62100,46.63800,12.11200,34.52600,,115.25800,26.89600,129.15800,184.11500,99.25900,412.63000,414.14500,0.31000,0.31000
2015-12-31,300.87010,80.72900,220.14110,33.41300,-18.22600,137.73400,82.40710,-52.52500,29.88200,48.29700,-18.41500,3.09100,339.11700,98.14800,360.02000,168.50210,82.40700,411.31900,412.85100,0.87000,0.87000
2015-09-30,288.38200,74.39900,213.98300,27.31000,-7.97800,138.99600,74.98700,-47.27900,27.70800,2.84400,24.86400,6.34200,53.41900,27.66500,62.99900,178.69500,74.98700,411.48700,412.68600,0.15000,0.15000
2015-06-30,294.06100,75.82100,218.24000,29.30700,-16.56600,126.02800,92.21200,-22.64200,69.57000,-3.62800,73.19800,,101.11000,,112.42700,172.36700,92.21200,411.31700,413.08600,0.27000,0.27000
2015-03-31,283.45600,73.52800,209.92800,32.70500,-8.68800,115.96200,93.96600,-52.21000,41.75600,12.71700,29.03900,139.80100,280.75900,-0.07500,295.76900,168.53500,93.96600,410.43300,415.39600,0.72000,0.71000
2014-12-31,264.51200,71.09500,193.41700,27.67500,-12.20800,112.65000,80.76700,-53.15400,27.61300,7.73100,19.88200,23.46200,74.47000,-23.70900,38.20600,153.94590,80.76700,409.08800,411.03800,0.09000,0.09000
2014-09-30,255.23400,65.59000,189.64400,28.63200,-3.49200,99.25400,90.39000,-51.94100,38.44900,5.25200,33.19700,14.43100,105.45100,91.85800,180.13500,161.00800,90.39000,409.32600,411.10100,0.44000,0.44000
2014-06-30,245.95800,63.20100,182.75700,28.77300,-27.37700,118.26700,64.49000,-52.19800,12.29200,0.94000,11.35200,65.59800,128.98900,-37.42800,74.93900,132.12000,64.49000,408.90200,413.34400,0.18000,0.18000
2014-03-31,228.19300,58.73100,169.46200,37.12100,-1.61300,94.79400,74.66800,-50.91500,23.75300,8.51500,15.23800,3.74400,75.59600,20.26400,72.42700,136.33400,74.66800,408.36700,409.44400,0.18000,0.18000
2013-12-31,185.92990,50.72600,135.20390,31.30300,52.46000,27.97410,107.22990,-38.99200,68.23800,5.52200,62.71600,,92.84100,-32.80800,47.03400,173.66490,107.22990,407.63100,408.61400,0.11000,0.11000
2013-09-30,221.46300,55.23800,166.22500,30.82800,-60.75200,149.51300,16.71200,-49.08100,-32.36900,23.76300,-56.13200,,50.59000,6.05800,41.19000,81.09000,16.71200,408.06000,408.86600,0.10000,0.10000
