,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,5022.00000,5022.00000,3038.00000,-1304.00000,680.00000,-67.00000,613.00000,142.00000,471.00000,471.00000,,466.00000,882.00000,680.00000,499.00000,505.00000,0.95000,0.95000
2022-09-30,4770.00000,4770.00000,2923.00000,-1056.00000,791.00000,-58.00000,733.00000,181.00000,552.00000,552.00000,,546.00000,960.00000,791.00000,498.00000,503.00000,1.10000,1.08000
2022-06-30,5379.00000,5379.00000,3010.00000,-1005.00000,1364.00000,-52.00000,1312.00000,334.00000,978.00000,978.00000,,967.00000,1532.00000,1364.00000,501.00000,506.00000,1.93000,1.91000
2022-03-31,5549.00000,5549.00000,3100.00000,-1004.00000,1445.00000,-21.00000,1424.00000,338.00000,1086.00000,1086.00000,,1071.00000,1625.00000,1445.00000,503.00000,509.00000,2.13000,2.10000
2021-12-31,5137.00000,5137.00000,2905.00000,-1246.00000,986.00000,-25.00000,961.00000,154.00000,807.00000,807.00000,,803.00000,1164.00000,986.00000,507.00000,513.00000,1.60000,1.57000
2021-09-30,4583.00000,4583.00000,2853.00000,-990.00000,740.00000,-24.00000,716.00000,174.00000,542.00000,542.00000,,537.00000,919.00000,740.00000,506.00000,513.00000,1.06000,1.05000
2021-06-30,5017.00000,5017.00000,2860.00000,-929.00000,1228.00000,-19.00000,1209.00000,382.00000,827.00000,827.00000,,820.00000,1421.00000,1228.00000,508.00000,513.00000,1.61000,1.60000
2021-03-31,5083.00000,5083.00000,2807.00000,-918.00000,1358.00000,-36.00000,1322.00000,324.00000,998.00000,998.00000,,983.00000,1555.00000,1358.00000,509.00000,514.00000,1.93000,1.91000
2020-12-31,4416.00000,4416.00000,2650.00000,-1195.00000,571.00000,-31.00000,540.00000,161.00000,379.00000,379.00000,,374.00000,765.00000,571.00000,506.00000,512.00000,0.74000,0.72000
2020-09-30,3968.00000,3968.00000,2495.00000,-933.00000,540.00000,-81.00000,459.00000,139.00000,320.00000,320.00000,,316.00000,725.00000,540.00000,507.00000,512.00000,0.62000,0.62000
2020-06-30,4189.00000,4189.00000,2429.00000,-875.00000,885.00000,-98.00000,787.00000,207.00000,580.00000,580.00000,,572.00000,1064.00000,885.00000,506.00000,511.00000,1.13000,1.12000
2020-03-31,4651.00000,4651.00000,2555.00000,-1026.00000,1070.00000,-63.00000,1007.00000,240.00000,767.00000,767.00000,,754.00000,1253.00000,1070.00000,505.00000,510.00000,1.49000,1.48000
2019-12-31,4264.00000,4264.00000,2478.00000,-1194.00000,592.00000,-61.00000,531.00000,135.00000,396.00000,396.00000,,391.00000,759.00000,592.00000,506.00000,511.00000,0.76000,0.77000
2019-09-30,3968.00000,3968.00000,2437.00000,-1064.00000,467.00000,-53.00000,414.00000,108.00000,306.00000,306.00000,,303.00000,637.00000,467.00000,506.00000,511.00000,0.60000,0.59000
2019-06-30,4349.00000,4349.00000,2537.00000,-1132.00000,680.00000,-130.00000,550.00000,206.00000,344.00000,344.00000,,332.00000,865.00000,680.00000,507.00000,512.00000,0.66000,0.65000
2019-03-31,4071.00000,4071.00000,2282.00000,-851.00000,938.00000,6.00000,944.00000,217.00000,727.00000,727.00000,,716.00000,1063.00000,938.00000,505.00000,511.00000,1.42000,1.40000
2018-12-31,3712.00000,3712.00000,2163.00000,-928.00000,621.00000,-397.00000,224.00000,65.00000,159.00000,159.00000,,153.00000,744.00000,621.00000,506.00000,511.00000,0.30000,0.31000
2018-09-30,3504.00000,3504.00000,2083.00000,-880.00000,541.00000,-156.00000,385.00000,106.00000,279.00000,279.00000,,276.00000,665.00000,541.00000,504.00000,510.00000,0.55000,0.54000
2018-06-30,3734.00000,3734.00000,2135.00000,-908.00000,691.00000,28.00000,719.00000,183.00000,536.00000,536.00000,,531.00000,813.00000,691.00000,507.00000,512.00000,1.05000,1.04000
2018-03-31,4000.00000,4000.00000,2224.00000,-868.00000,908.00000,8.00000,916.00000,220.00000,696.00000,696.00000,,690.00000,1033.00000,908.00000,508.00000,514.00000,1.36000,1.34000
