,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,280.05710,95.96500,184.09210,13.59000,63.76000,28.99500,155.09710,-37.40500,117.69210,117.69210,117.69210,,113.68500,234.26210,155.09710,79.85400,80.50800,1.43000,1.44000
2022-09-30,273.45100,91.61200,181.83900,13.10000,100.09700,-9.88800,191.72700,-32.95300,158.77400,158.77400,158.77400,,154.13000,268.83600,191.72700,80.76500,81.51100,1.90000,1.89000
2022-06-30,264.09900,82.43400,181.66500,13.60400,,88.06500,93.60000,-29.13300,64.46700,64.46700,64.46700,,59.66800,168.06100,93.60000,79.20200,79.20200,0.75000,0.75000
2022-03-31,256.77100,86.77100,170.00000,12.34200,,84.01600,85.98400,-31.25600,54.72800,54.72800,54.72800,,49.97400,157.65800,85.98400,78.44600,78.54300,0.63000,0.63000
2021-12-31,254.15400,86.87100,167.28300,14.49900,72.52200,19.79300,147.49000,-30.74800,116.74200,116.74200,116.74200,,112.92500,225.30600,147.49000,77.33600,77.36800,1.45000,1.45000
2021-09-30,247.28400,78.84700,168.43700,12.25300,,82.86400,85.57300,-31.03200,54.54100,54.54100,54.54100,,50.11200,156.18400,85.57300,77.48500,77.57500,0.64000,0.64000
2021-06-30,231.62500,72.24100,159.38400,12.84600,,80.52100,78.86300,-30.80400,48.05900,48.05900,48.05900,,44.19300,146.53800,78.86300,77.47400,77.50500,0.57000,0.57000
2021-03-31,218.16100,78.65800,139.50300,10.25800,17.42800,56.70400,82.79900,-33.06000,49.73900,49.73900,49.73900,,46.22600,146.67300,82.79900,76.84200,76.84200,0.60000,0.60000
2020-12-31,219.51300,77.41800,142.09500,12.30700,86.43500,-9.70400,151.79900,-49.58800,102.21100,102.21100,102.21100,,92.71400,216.22300,151.79900,75.51500,75.51500,1.22000,1.22000
2020-09-30,208.19700,72.35200,135.84500,9.30800,-57.21800,132.15700,3.68800,-37.31100,-33.62300,-33.62300,-33.62300,,-30.29900,69.31900,3.68800,75.40400,75.40400,-0.41000,-0.41000
