,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1088.54200,259.65700,828.88530,33.34100,,259.87890,569.00630,-21.96800,547.03850,547.03850,-138.95600,414.93420,,362.62220,795.54440,569.00610,175.25700,176.28000,2.08000,2.07000
2022-09-30,1088.13100,277.04200,811.08900,29.50100,,250.27300,560.81600,2107.48300,2668.29900,2668.29900,101.67300,2778.15200,,2712.16100,781.58800,560.81600,175.28300,176.32800,15.47000,15.38000
2022-06-30,1032.04500,255.19900,776.84610,28.83100,,247.53900,529.30710,-22.66200,506.64510,506.64510,101.72300,656.89310,,603.38100,748.01510,529.30710,175.22900,176.31200,3.44000,3.42000
2022-03-31,973.44500,261.00900,712.43600,23.06900,,245.19700,467.23900,-29.74500,437.49400,437.49400,35.37700,516.29500,,464.12400,689.36700,467.23900,175.17000,176.33600,2.65000,2.63000
2021-12-31,924.31610,236.85500,687.46110,22.25800,,227.54710,459.91400,-26.80900,433.10490,433.10490,42.19400,622.01900,,558.05790,665.20300,459.91390,174.85800,175.56800,3.19000,3.17000
2021-09-30,894.93100,236.73400,658.19700,31.68200,,220.23400,437.96300,-20.38000,417.58300,417.58300,41.18500,491.62800,,442.32700,626.51500,437.96300,174.92600,175.80600,2.53000,2.52000
2021-06-30,829.31500,218.58600,610.72900,27.74000,,200.46800,410.26100,-18.88100,391.38000,391.38000,-12.70700,411.73000,,346.24900,582.98900,410.26100,174.82400,175.54700,1.98000,1.97000
2021-03-31,767.26200,228.42300,538.83900,19.57400,,166.43300,372.40600,-12.39800,360.00800,360.00800,54.79800,434.26200,,385.81000,519.26500,372.40600,174.61100,174.84000,2.21000,2.21000
2020-12-31,748.53620,186.15200,562.38420,29.96500,,171.37100,391.01320,-10.88800,380.12510,380.12510,-45.32700,352.43210,,292.16590,532.41920,391.01310,174.49400,174.64200,1.67000,1.68000
2020-09-30,734.54500,224.35300,510.19200,18.26200,,156.59500,353.59700,-7.09000,346.50700,346.50700,-41.90000,325.84700,,246.91600,491.93000,353.59700,174.50300,174.62600,1.41000,1.41000
2020-06-30,712.94300,232.28900,480.65400,17.10400,,154.72200,325.93200,-8.48000,317.45200,317.45200,-19.29500,315.81200,,246.11900,463.55000,325.93200,174.49300,174.57500,1.41000,1.41000
2020-03-31,719.04400,224.66800,494.37600,17.86800,,153.76800,340.60800,-7.50200,333.10600,333.10600,10.06200,367.13600,,313.13400,476.50800,340.60800,174.44600,174.61600,1.80000,1.79000
2019-12-31,725.78400,188.95300,536.83100,10.47100,,145.35610,391.47490,-7.97600,383.49880,383.49880,-10.31800,387.09680,,327.25090,526.35990,391.47480,174.28700,174.53000,1.87000,1.87000
