,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,5084.00000,1918.00000,3166.00000,1211.00000,375.00000,1586.00000,1580.00000,75.00000,1655.00000,190.00000,1465.00000,1465.00000,1465.00000,,1580.00000,385.00000,405.00000,3.81000,3.61000
2022-09-30,3364.00000,1100.00000,2264.00000,820.00000,278.00000,1098.00000,1166.00000,51.00000,1217.00000,174.00000,1043.00000,1043.00000,1043.00000,1285.00000,1166.00000,390.00000,412.00000,2.67000,2.53000
2022-06-30,4749.00000,1381.00000,3368.00000,710.00000,211.00000,921.00000,2447.00000,27.00000,2474.00000,277.00000,2197.00000,2197.00000,2197.00000,2534.00000,2447.00000,396.00000,419.00000,5.55000,5.24000
2022-03-31,6066.00000,1017.00000,5049.00000,554.00000,268.00000,822.00000,4227.00000,2.00000,4229.00000,572.00000,3657.00000,3657.00000,3657.00000,4324.00000,4227.00000,402.00000,426.00000,9.09000,8.58000
2021-12-31,7211.00000,952.00000,6259.00000,648.00000,201.00000,849.00000,5410.00000,,5410.00000,542.00000,4868.00000,4868.00000,4868.00000,5509.00000,5410.00000,403.00000,431.00000,12.06000,11.29000
2021-09-30,4969.00000,722.00000,4247.00000,521.00000,168.00000,689.00000,3558.00000,-6.00000,3552.00000,219.00000,3333.00000,3333.00000,3333.00000,3648.00000,3558.00000,404.00000,434.00000,8.27000,7.70000
2021-06-30,4354.00000,750.00000,3604.00000,421.00000,121.00000,542.00000,3062.00000,1.00000,3063.00000,283.00000,2780.00000,2780.00000,2780.00000,3139.00000,3062.00000,402.00000,431.00000,6.93000,6.46000
2021-03-31,1937.00000,193.00000,1744.00000,401.00000,77.00000,478.00000,1266.00000,-6.00000,1260.00000,39.00000,1221.00000,1221.00000,1221.00000,1286.00000,1266.00000,400.00000,430.00000,3.05000,2.84000
2020-12-31,571.00000,,571.00000,759.00000,79.00000,,-275.00000,4.00000,-271.00000,2.00000,-273.00000,-273.00000,-273.00000,-263.00000,-275.00000,381.00000,381.00000,-0.71000,-0.71000
2020-09-30,157.00000,,157.00000,344.00000,48.00000,,-235.00000,3.00000,-232.00000,1.00000,-233.00000,-233.00000,-233.00000,-223.00000,-235.00000,395.00000,395.00000,-0.59000,-0.59000
2020-06-30,67.00000,,67.00000,152.00000,37.00000,,-122.00000,5.00000,-117.00000,,-117.00000,-117.00000,-117.00000,-113.00000,-122.00000,381.00000,381.00000,-0.31000,-0.31000
2020-03-31,8.00000,,8.00000,115.00000,24.00000,,-131.00000,7.00000,-124.00000,,-124.00000,-124.00000,-124.00000,-123.00000,-131.00000,353.00000,353.00000,-0.35000,-0.35000
2019-12-31,13.84600,,13.84600,117.64500,26.08700,,-129.88600,6.14300,-123.74300,-0.47400,-123.26900,-123.26900,-123.26900,-121.50400,-129.88600,331.00000,331.00000,-0.37000,-0.37000
2019-09-30,17.04600,,17.04600,119.63700,28.17300,,-130.76400,7.37100,-123.39300,-0.17800,-123.21500,-123.21500,-123.21500,-124.57900,-130.76400,330.76900,330.76900,-0.37000,-0.37000
2019-06-30,13.08300,,13.08300,128.30500,28.48700,,-143.70900,8.44500,-135.26400,-0.32400,-134.94000,-134.94000,-134.94000,-137.58700,-143.70900,329.17600,329.17600,-0.41000,-0.41000
2019-03-31,16.02500,,16.02500,130.41300,27.25300,,-141.64100,9.04100,-132.60000,-0.02400,-132.57600,-132.57600,-132.57600,-135.33000,-141.64100,328.81000,328.81000,-0.40000,-0.40000
2018-12-31,35.42100,,35.42100,150.42900,38.02300,,-153.03100,11.77300,-141.25800,0.16800,-141.42600,-141.42600,-141.42600,-146.44400,-153.03100,81.11400,81.11400,-1.04000,-1.04000
2018-09-30,41.75700,,41.75700,109.05000,18.52500,,-85.81800,5.48700,-80.33100,,-80.33100,-80.33100,-87.81900,-79.90900,-85.81800,66.28300,66.28300,-1.32000,-1.32000
2018-06-30,28.85100,,28.85100,104.47900,21.38700,,-97.01500,6.57200,-90.44300,0.15800,-90.60100,-90.60100,-94.08200,-91.58500,-97.01500,65.93900,65.93900,-1.43000,-1.43000
2018-03-31,29.03900,,29.03900,90.12400,16.31700,,-77.40200,5.02600,-72.37600,,-72.37600,-72.37600,-75.85700,-72.33200,-77.40200,65.43080,65.43080,-1.16000,-1.16000
2017-12-31,,,,,,,,,,,,,,,,,,,0.00000
2016-12-31,,,,,,,,,,,,,,,,,,,0.00000
