,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,3013.80200,1522.10400,1491.69800,-981.37500,981.37500,510.32300,-31.90200,478.42100,96.43700,381.98400,381.98400,382.22300,,510.32300,276.62500,278.88800,1.38000,1.37000
2022-09-30,2724.40000,1564.57800,1159.82200,-841.77700,841.77700,318.04490,-31.78000,286.26500,55.79100,230.47400,230.47400,228.87900,326.84390,318.04490,277.19200,279.64200,0.83000,0.82000
2022-06-30,2512.88700,1435.81700,1077.07000,-822.78500,822.78500,254.28490,-31.72300,222.56200,43.09500,179.46700,179.46700,179.32200,266.89190,254.28490,276.81500,279.52500,0.65000,0.64000
2022-03-31,2915.40900,1339.25200,1576.15700,-808.75400,808.75400,767.40310,-34.97000,732.43300,139.40300,593.03000,593.03000,590.63800,792.03410,767.40310,276.77200,279.15700,2.13000,2.12000
2021-12-31,2578.22800,1330.32900,1247.89900,-855.94980,855.95000,391.94900,-37.33300,354.61600,60.31300,294.30300,294.30300,294.43000,420.30100,391.94910,277.43000,279.74900,1.07000,1.06000
2021-09-30,2424.28300,1298.39200,1125.89100,-758.51000,758.51000,367.38110,-35.10000,332.28100,64.96300,267.31800,267.31800,261.29700,398.11410,367.38110,277.54700,280.11300,0.94000,0.93000
2021-06-30,2296.08600,1203.64700,1092.43900,-754.40300,754.40300,338.03590,-38.09600,299.94000,62.26200,237.67800,237.67800,237.23800,375.08990,338.03590,277.73300,280.65900,0.85000,0.85000
2021-03-31,2156.86900,1121.59200,1035.27700,-702.55800,702.55800,332.71890,-36.65100,296.06800,64.35200,231.71600,231.71600,229.52500,366.26190,332.71890,277.79300,280.24500,0.83000,0.82000
2020-12-31,2312.47000,1111.69500,1200.77500,-765.70600,765.70600,435.06910,-35.66200,399.40700,86.91800,312.48900,312.48900,312.15000,473.93910,435.06880,280.38600,283.14500,1.10330,1.09000
2020-09-30,2039.81900,1114.63200,925.18700,-679.00500,679.00500,246.18200,-39.76800,206.41400,54.04800,152.36600,152.36600,151.67800,278.31200,246.18200,278.64750,281.57550,0.54670,0.54000
2020-06-30,1936.02600,1135.12600,800.90000,-657.07800,657.07800,143.82200,-38.37300,105.44900,33.79300,71.65600,71.65600,71.26000,182.82400,143.82200,278.96850,281.79300,0.25330,0.25330
2020-03-31,1810.61000,1107.25300,703.35690,-673.09100,673.09100,30.26600,-36.73400,-6.46800,-2.94200,-3.52600,-3.52600,-4.41800,55.32900,30.26600,285.43050,285.43050,-0.01330,-0.01330
