,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,9186.00000,6124.00000,3062.00000,1249.00000,1249.00000,1813.00000,-624.00000,1189.00000,168.00000,1021.00000,1021.00000,,1019.00000,,1813.00000,670.60000,676.50000,1.52000,1.51000
2022-09-30,8951.00000,5981.00000,2970.00000,1228.00000,1228.00000,1742.00000,239.00000,1981.00000,432.00000,1549.00000,1549.00000,,1552.00000,2042.00000,1742.00000,674.10000,679.60000,2.30000,2.28000
2022-06-30,8953.00000,6046.00000,2907.00000,1306.00000,1306.00000,1601.00000,103.00000,1704.00000,441.00000,1263.00000,1263.00000,,1261.00000,1876.00000,1601.00000,679.00000,685.00000,1.86000,1.84000
2022-03-31,8376.00000,5674.00000,2702.00000,1431.00000,1431.00000,1271.00000,234.00000,1505.00000,371.00000,1134.00000,1134.00000,,1134.00000,1601.00000,1271.00000,684.70000,691.30000,1.66000,1.64000
2021-12-31,8657.00000,5936.00000,2721.00000,1203.00000,1203.00000,1518.00000,275.00000,1793.00000,351.00000,1442.00000,1442.00000,,1428.00000,1808.00000,1518.00000,692.30000,700.40000,2.08000,2.04000
2021-09-30,8473.00000,5746.00000,2727.00000,1152.00000,1152.00000,1575.00000,125.00000,1700.00000,427.00000,1273.00000,1273.00000,,1257.00000,1883.00000,1575.00000,690.60000,698.90000,1.82000,1.80000
2021-06-30,8808.00000,6003.00000,2805.00000,1207.00000,1207.00000,1598.00000,283.00000,1881.00000,434.00000,1447.00000,1447.00000,,1430.00000,1882.00000,1598.00000,693.80000,702.50000,2.06000,2.04000
2021-03-31,8454.00000,5709.00000,2745.00000,1236.00000,1236.00000,1509.00000,352.00000,1861.00000,413.00000,1448.00000,1448.00000,,1427.00000,1850.00000,1509.00000,696.20000,704.50000,2.05000,2.03000
2020-12-31,8900.00000,5976.00000,2924.00000,1248.00000,1248.00000,1676.00000,34.00000,1710.00000,331.00000,1379.00000,1379.00000,,1359.00000,1930.00000,1676.00000,704.10000,711.20000,1.94000,1.91000
2020-09-30,7797.00000,5383.00000,2414.00000,1103.00000,1103.00000,1311.00000,-163.00000,1148.00000,367.00000,781.00000,781.00000,,758.00000,1566.00000,1311.00000,702.60000,709.60000,1.08000,1.07000
2020-06-30,7477.00000,5276.00000,2201.00000,1183.00000,1183.00000,1018.00000,201.00000,1219.00000,120.00000,1099.00000,1099.00000,,1081.00000,1268.00000,1018.00000,702.30000,708.10000,1.54000,1.53000
