,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1263.00000,889.00000,374.00000,,196.00000,178.00000,-32.00000,146.00000,-3.00000,149.00000,149.00000,,147.00000,346.00000,178.00000,714.70000,717.50000,0.21000,0.20000
2022-09-30,1189.00000,858.00000,331.00000,10.00000,183.00000,148.00000,-26.00000,122.00000,6.00000,116.00000,116.00000,,114.00000,315.00000,148.00000,714.90000,717.60000,0.16000,0.16000
2022-06-30,1381.00000,874.00000,507.00000,7.00000,180.00000,327.00000,-28.00000,299.00000,39.00000,260.00000,260.00000,,256.00000,491.00000,327.00000,714.80000,717.00000,0.36000,0.36000
2022-03-31,1074.00000,757.00000,317.00000,,195.00000,122.00000,-20.00000,102.00000,-16.00000,118.00000,118.00000,,116.00000,297.00000,122.00000,714.30000,716.10000,0.16000,0.16000
2021-12-31,998.00000,731.00000,267.00000,3.00000,188.00000,79.00000,234.00000,313.00000,-10.00000,323.00000,323.00000,,320.00000,247.00000,79.00000,710.30000,710.30000,0.46000,0.46000
2021-09-30,844.00000,657.00000,187.00000,5.00000,282.00000,-95.00000,-38.00000,-133.00000,-13.00000,-120.00000,-120.00000,,-119.00000,170.00000,-95.00000,713.90000,713.90000,-0.17000,-0.17000
2021-06-30,649.00000,523.00000,126.00000,,194.00000,-68.00000,-15.00000,-83.00000,-22.00000,-61.00000,-61.00000,,-60.00000,104.00000,-68.00000,707.60000,707.60000,-0.09000,-0.09000
2021-03-31,399.00000,376.00000,23.00000,,189.00000,-166.00000,-33.00000,-199.00000,-46.00000,-153.00000,-153.00000,,-152.00000,1.00000,-166.00000,705.60000,705.60000,-0.22000,-0.22000
2020-12-31,267.00000,350.00000,-83.00000,,188.00000,-271.00000,141.00000,-130.00000,-64.00000,-66.00000,-66.00000,,-64.00000,-102.00000,-271.00000,705.90000,705.90000,-0.09580,-0.09580
2020-09-30,198.00000,332.00000,-134.00000,,184.00000,-318.00000,-71.00000,-389.00000,-73.00000,-316.00000,-316.00000,,-313.00000,-149.00000,-318.00000,705.20000,705.20000,-0.44000,-0.44000
2020-06-30,103.00000,263.00000,-160.00000,,193.00000,-353.00000,-49.00000,-402.00000,-46.00000,-356.00000,-356.00000,,-352.00000,-184.00000,-353.00000,705.10000,705.10000,-0.50000,-0.50000
2020-03-31,1052.00000,874.00000,178.00000,,189.00000,-11.00000,-29.00000,-40.00000,-37.00000,-3.00000,-3.00000,,-3.00000,155.00000,-11.00000,708.10000,708.10000,-0.00420,-0.00420
2019-12-31,1334.00000,967.00000,367.00000,1.00000,201.00000,166.00000,-77.00000,89.00000,8.00000,81.00000,81.00000,,80.00000,342.00000,166.00000,730.30000,731.10000,0.11000,0.11000
2019-09-30,1262.00000,938.00000,324.00000,4.00000,187.00000,137.00000,239.00000,376.00000,4.00000,372.00000,372.00000,,368.00000,304.00000,137.00000,725.50000,725.80000,0.51000,0.51000
2019-06-30,1483.00000,1012.00000,471.00000,,191.00000,280.00000,26.00000,306.00000,16.00000,290.00000,290.00000,,286.00000,447.00000,280.00000,739.10000,739.40000,0.39000,0.39000
2019-03-31,1390.00000,975.00000,415.00000,,199.00000,216.00000,-25.00000,191.00000,2.00000,189.00000,189.00000,,186.00000,388.00000,216.00000,740.60000,740.60000,0.25000,0.25000
2018-12-31,1361.00000,993.00000,368.00000,,180.00000,188.00000,205.00000,393.00000,87.00000,306.00000,306.00000,,303.00000,355.00000,188.00000,739.80000,740.60000,0.42000,0.42000
2018-09-30,1299.00000,955.00000,344.00000,,436.00000,-92.00000,512.00000,420.00000,42.00000,378.00000,378.00000,,322.00000,322.00000,-92.00000,739.90000,740.50000,0.43000,0.43000
