,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,699.70300,231.37000,468.33300,11.67700,-0.02100,225.97000,242.36300,-75.25900,167.10400,0.17500,166.92900,,165.35400,,158.24800,,242.36300,377.68900,390.24500,0.42000,0.42000
2022-09-30,695.09900,250.13800,444.96100,13.37200,196.55100,30.95000,414.01100,-77.66700,336.34400,0.15200,336.19200,,335.16500,,322.25200,639.71500,414.01100,375.85000,389.30000,0.86000,0.86000
2022-06-30,687.03000,244.76400,442.26600,16.42300,107.89700,132.33200,309.93400,-75.79700,234.13700,0.29100,233.84600,,232.67800,,223.32800,542.90700,309.93400,375.76900,389.36300,0.59000,0.59000
2022-03-31,653.34800,256.30900,397.03900,17.23800,-0.10200,247.30100,149.73800,-74.39700,75.34100,0.28200,75.05900,,73.79800,,69.99300,388.60200,149.73800,375.50900,389.62800,0.19000,0.19000
2021-12-31,645.12990,235.39400,409.73590,13.40400,467.79100,-232.14700,641.88290,-80.29900,561.58400,0.23600,561.34790,,560.97790,,526.20200,873.42690,641.88320,373.83300,388.08900,1.42000,1.40000
2021-09-30,623.20600,237.14200,386.06400,13.04100,363.92800,-135.49000,521.55400,-72.78200,448.77200,0.28400,448.48800,,447.33200,,431.17800,745.67790,521.55400,374.30800,388.37400,1.15000,1.15000
2021-06-30,598.05900,229.60200,368.45700,14.67800,223.73800,-8.38700,376.84400,-48.30100,328.54300,0.24200,328.30100,,328.04000,,315.61400,587.27700,376.84400,373.81200,387.82000,0.84000,0.84000
2021-03-31,597.60200,246.65400,350.94800,15.38300,-0.04300,215.38800,135.56000,-73.43700,62.12300,0.15300,61.97000,,60.36400,,56.76600,344.26400,135.56000,372.28000,386.91600,0.15000,0.15000
2020-12-31,613.43510,223.49600,389.93910,11.09300,179.58900,33.33320,356.60590,-126.66700,229.93910,0.35000,229.58900,,262.98400,,252.08400,583.20590,356.60590,371.79100,385.87400,0.68000,0.68000
2020-09-30,622.43300,228.53400,393.89900,10.85900,-0.02500,211.48900,182.41000,-86.53700,95.87300,0.26200,95.61100,,95.36500,,90.51300,395.14600,182.41000,371.86900,385.65200,0.24000,0.24000
2020-06-30,653.53200,223.09800,430.43400,11.83500,144.26600,73.54490,356.88900,-84.17900,272.71000,0.18700,272.52300,,271.48100,,260.11600,574.88210,356.88900,371.79500,385.91300,0.70000,0.70000
2020-03-31,682.30500,241.25700,441.04800,14.51800,207.97700,18.96300,422.08500,-88.20400,333.88100,0.05300,333.82800,,332.67100,,307.83300,646.44400,422.08500,371.58200,386.94900,0.83000,0.83000
2019-12-31,683.70290,226.69200,457.01090,11.63000,178.23700,48.27500,408.73590,-109.46600,299.27000,-3.03000,302.30000,,301.30600,,288.99200,636.57290,408.73590,370.46100,386.33300,0.78000,0.78000
