,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,828.56810,343.64090,484.92720,43.41800,214.98200,,258.40000,226.52720,-13.31200,213.21500,41.00800,172.20700,172.20700,172.20700,255.24720,226.52700,83.62300,84.60000,2.08000,2.05000
2022-09-30,841.66100,335.03500,506.62600,48.01300,213.78500,,261.79800,244.82800,-10.64500,234.18300,53.24500,180.93800,180.93800,180.93800,273.37500,244.82800,83.24700,84.11300,2.17000,2.15000
2022-06-30,860.54600,346.51400,514.03200,123.22100,211.74500,,334.96600,179.06600,-7.98300,171.08300,39.10400,131.97900,131.97900,131.97900,207.18800,179.06600,83.92200,84.85800,1.57000,1.56000
2022-03-31,836.54900,337.79600,498.75300,40.16800,210.24100,,250.40900,248.34410,-6.85300,241.49100,47.52600,193.96500,193.96500,193.96500,274.85500,248.34410,84.41000,85.56400,2.30000,2.27000
2021-12-31,801.08990,344.66900,456.42090,45.30600,211.92400,,257.23000,199.19090,-7.30800,191.88300,29.11200,162.77100,162.77100,162.77100,226.88590,199.19110,85.20000,86.57200,1.92000,1.88000
2021-09-30,810.42100,337.50000,472.92100,40.42700,206.53200,,246.95900,225.96200,-7.01200,218.95000,43.77200,175.17800,175.17800,175.23500,252.42900,225.96200,85.12300,86.51100,2.06000,2.03000
2021-06-30,826.14200,336.83400,489.30800,37.69700,192.35800,,230.05500,259.25300,-7.52200,251.73100,49.12500,202.60600,202.60600,202.58200,284.63000,259.25300,85.32500,86.65400,2.37000,2.34000
2021-03-31,777.70700,306.92500,470.78200,37.57900,185.58100,,223.16000,247.62190,-7.53200,240.09000,35.80100,204.28900,204.28900,204.25700,272.67900,247.62190,85.53000,86.91700,2.39000,2.35000
2020-12-31,720.93790,311.43600,409.50190,38.77700,185.62990,,224.40700,185.09490,-7.65900,177.43600,2.47800,174.95800,174.95800,174.79000,209.65590,185.09500,85.34200,86.72200,2.05000,2.01000
2020-09-30,721.78900,299.18300,422.60600,37.51700,213.23300,,250.75000,171.85600,-7.90200,163.95400,17.63300,146.32100,146.32100,146.21900,196.50700,171.85600,85.31400,86.69000,1.71000,1.69000
2020-06-30,637.59200,258.25000,379.34200,31.64500,154.44900,,186.09400,193.24800,-9.42600,183.82200,34.82600,148.99600,148.99600,148.94000,216.83000,193.24800,85.13400,86.40200,1.75000,1.72000
2020-03-31,626.33600,266.74600,359.59000,33.31000,181.95500,,215.26500,144.32500,-7.55200,136.77300,24.91700,111.85600,111.85600,111.82700,167.52900,144.32500,85.42700,86.70500,1.31000,1.29000
2019-12-31,605.44590,274.29700,331.14890,35.16000,180.35800,,215.51810,115.63090,-7.12500,108.50600,17.96200,90.54400,90.54400,90.49600,138.21990,115.63090,86.11500,87.54200,1.06000,1.05000
2019-09-30,605.30300,260.35300,344.95000,34.26000,170.88800,,205.14800,139.80200,-7.00400,132.79800,23.96000,108.83800,108.83800,108.83700,162.24800,139.80200,86.19800,87.66700,1.26000,1.24000
2019-06-30,620.10300,262.25000,357.85300,32.25900,161.31900,,193.57800,164.27500,-8.15300,156.12200,30.42100,125.70100,125.70100,125.70600,185.89600,164.27500,86.21500,87.61500,1.46000,1.43000
2019-03-31,576.05600,244.45900,331.59700,31.51400,166.94500,,198.45900,133.13810,-8.34600,124.79200,22.08300,102.70900,102.70900,102.68100,154.49310,133.13810,86.20400,87.54900,1.19000,1.17000
2018-12-31,549.38600,249.02500,300.36100,30.13800,154.87600,,185.01410,115.34690,-8.30200,107.04500,21.36800,85.67700,85.67700,85.63800,135.95090,115.34690,86.86400,88.47000,1.00000,0.97000
2018-09-30,545.44800,239.80500,305.64300,29.19200,159.10100,,188.29300,117.35000,-8.31100,109.03900,15.82500,93.21400,93.21400,93.25100,138.22800,117.35000,86.75600,88.45300,1.07000,1.05000
2018-06-30,580.75200,248.31300,332.43900,29.51000,157.33500,,186.84500,145.59400,-8.28500,137.30900,28.62900,108.68000,108.68000,108.69100,166.48600,145.59400,87.00400,88.59600,1.25000,1.23000
2018-03-31,537.65600,234.55700,303.09900,29.02300,161.03200,,190.05500,113.04400,-8.69500,104.34900,14.87300,89.47600,89.47600,89.45100,133.84800,113.04400,87.33100,88.94400,1.02000,1.01000
2017-12-31,506.12100,233.64700,272.47400,28.80900,145.85700,,174.66600,97.80800,-8.12200,89.68600,51.39600,38.29000,38.29000,38.25700,119.32800,97.80800,87.76900,89.56700,0.44000,0.43000
2017-09-30,491.97600,217.97400,274.00200,27.58500,146.00400,,173.58900,100.41300,-8.36400,92.04900,21.53500,70.51400,70.51400,70.51100,121.14000,100.41300,87.53700,89.25600,0.81000,0.79000
