,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,16597.00000,11614.00000,4983.00000,401.00000,1479.00000,-310.00000,3303.00000,1680.00000,419.00000,2099.00000,644.00000,1455.00000,1454.00000,1454.00000,3351.00000,1868.00000,526.90000,530.40000,2.80000,2.78000
2022-09-30,14994.00000,10202.00000,4792.00000,476.00000,1401.00000,-339.00000,2367.00000,2425.00000,133.00000,2558.00000,527.00000,2031.00000,2040.00000,2041.00000,3127.00000,2576.00000,525.00000,527.60000,3.89000,3.87000
2022-06-30,14247.00000,9975.00000,4272.00000,480.00000,1425.00000,-303.00000,2328.00000,1944.00000,152.00000,2096.00000,427.00000,1669.00000,1673.00000,1673.00000,2617.00000,2064.00000,531.00000,534.10000,3.15000,3.13000
2022-03-31,13589.00000,9559.00000,4030.00000,457.00000,1346.00000,-266.00000,2175.00000,1855.00000,144.00000,1999.00000,469.00000,1530.00000,1537.00000,1537.00000,2518.00000,1961.00000,534.50000,538.30000,2.88000,2.86000
2021-12-31,13798.00000,10003.00000,3795.00000,439.00000,1422.00000,-220.00000,2184.00000,1611.00000,951.00000,2562.00000,429.00000,2133.00000,2120.00000,2120.00000,2300.00000,1714.00000,544.00000,548.50000,3.93000,3.90000
2021-09-30,12397.00000,8617.00000,3780.00000,427.00000,1340.00000,-238.00000,2116.00000,1664.00000,111.00000,1775.00000,368.00000,1407.00000,1428.00000,1426.00000,2368.00000,1775.00000,544.00000,547.60000,2.62000,2.60000
2021-06-30,12889.00000,8881.00000,4008.00000,446.00000,1364.00000,-293.00000,2219.00000,1789.00000,81.00000,1870.00000,470.00000,1400.00000,1414.00000,1413.00000,2492.00000,1905.00000,547.90000,552.10000,2.58000,2.56000
2021-03-31,11887.00000,8012.00000,3875.00000,374.00000,1239.00000,-323.00000,2061.00000,1814.00000,183.00000,1997.00000,475.00000,1522.00000,1531.00000,1530.00000,2525.00000,1939.00000,546.40000,551.40000,2.80000,2.77000
2020-12-31,11235.00000,7784.00000,3451.00000,374.00000,1216.00000,-353.00000,2071.00000,1380.00000,-439.00000,941.00000,167.00000,774.00000,780.00000,780.00000,2125.00000,1508.00000,544.10000,548.60000,1.44000,1.42000
2020-09-30,9881.00000,6919.00000,2962.00000,344.00000,1126.00000,-370.00000,1977.00000,985.00000,-122.00000,863.00000,187.00000,676.00000,671.00000,668.00000,1715.00000,1122.00000,542.30000,546.40000,1.23000,1.22000
2020-06-30,9997.00000,7113.00000,2884.00000,341.00000,1179.00000,-431.00000,2100.00000,784.00000,-106.00000,678.00000,227.00000,451.00000,459.00000,458.00000,1541.00000,933.00000,541.50000,544.50000,0.84000,0.84000
2020-03-31,10635.00000,7266.00000,3369.00000,356.00000,1121.00000,-313.00000,1965.00000,1404.00000,109.00000,1513.00000,425.00000,1088.00000,1093.00000,1092.00000,2193.00000,1579.00000,546.80000,551.10000,2.00000,1.98000
2019-12-31,13144.00000,9117.00000,4027.00000,386.00000,1283.00000,-325.00000,2177.00000,1850.00000,-485.00000,1365.00000,276.00000,1089.00000,1097.00000,1098.00000,2677.00000,2033.00000,561.60000,567.50000,2.02000,2.00000
2019-09-30,12758.00000,8569.00000,4189.00000,431.00000,1251.00000,-298.00000,2169.00000,2020.00000,-15.00000,2005.00000,518.00000,1487.00000,1494.00000,1494.00000,2854.00000,2209.00000,556.30000,561.20000,2.69000,2.66000
