,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1981.00000,1167.40000,813.60000,469.50000,157.90000,345.70000,467.90000,467.90000,89.20000,378.70000,378.70000,,384.00000,559.80000,502.00000,114.80000,115.50000,3.33000,3.31000
2022-09-30,2126.30000,1239.90000,886.40010,448.70000,0.80000,480.60000,405.80020,405.80000,69.80000,335.99990,335.99990,,338.90000,499.20020,438.50020,115.90000,116.70000,2.92000,2.91000
2022-06-30,1968.70000,1166.30000,802.39990,442.00000,14.60000,458.20000,344.19980,344.20000,49.40000,294.80000,294.80000,,297.90000,431.79980,374.99980,116.00000,116.50000,2.56000,2.55000
2022-03-31,1808.10000,1144.00000,664.10000,428.50000,-164.40000,623.00000,41.10000,41.10000,-8.30000,49.40000,49.40000,,53.90000,133.70000,71.20000,116.20000,117.10000,0.46000,0.46000
2021-12-31,1857.30000,1108.20000,749.10010,447.50000,10.50000,466.60000,282.50010,282.50000,43.60000,238.90000,238.90000,,241.50000,371.00010,312.10010,116.00000,117.30000,2.08000,2.05000
2021-09-30,1807.80000,1088.40000,719.39990,447.20000,-241.60000,715.10000,4.29990,4.29990,-70.30000,74.59990,74.59990,,79.20010,84.69990,30.59980,116.00000,117.10000,0.67000,0.66000
2021-06-30,1848.20000,1083.80000,764.39990,436.90000,8.40000,450.90000,313.49990,313.50000,44.50000,269.00000,269.00000,,271.30000,381.69990,335.89990,116.00000,117.00000,2.34000,2.32000
2021-03-31,1776.10000,1008.70000,767.40000,421.30000,184.90000,259.70000,507.70000,507.70000,97.40000,410.30000,410.30000,,415.00000,576.90000,530.99990,116.10000,117.10000,3.57000,3.54000
2020-12-31,1565.30000,918.80000,646.50010,374.60000,451.40000,-54.20000,700.70010,700.70000,110.30000,590.40000,590.40000,,592.60000,767.30000,723.30000,116.10000,117.10000,5.11000,5.06000
2020-09-30,1570.00000,930.70010,639.29970,354.40010,40.90000,339.69990,299.59940,299.59990,35.90000,263.70000,263.70000,,262.70000,370.79940,325.79950,115.80000,116.60000,2.27000,2.25000
2020-06-30,1394.00000,839.80000,554.20000,370.20000,175.90000,219.70000,334.50000,334.50000,20.30000,314.20000,314.20000,,317.80000,403.40000,359.90000,115.70000,116.40000,2.74000,2.73000
2020-03-31,1681.30000,982.50000,698.80000,352.00000,-153.90000,531.40000,167.40000,167.40000,37.50000,129.90000,129.90000,,132.20000,235.20000,192.90000,116.00000,116.60000,1.14000,1.13000
2019-12-31,1684.50000,981.60000,702.90000,403.20000,61.30000,368.30000,334.60010,334.60000,19.20000,315.40000,315.40000,,310.70000,402.90010,361.00010,115.70000,116.60000,2.68000,2.66000
2019-09-30,1730.20000,1007.30000,722.89980,405.10000,-234.40000,666.50000,56.39990,56.40000,48.30000,8.10000,8.10000,,8.10000,123.39990,83.40000,118.30000,119.30000,0.08000,0.09000
2019-06-30,1665.10000,934.80000,730.30000,361.70000,-20.40000,408.90000,321.39990,321.40000,60.00000,261.40000,261.40000,,261.40000,385.09990,348.19990,117.60000,118.60000,2.22000,2.20000
2019-03-31,1657.20000,949.00000,708.20000,385.00000,102.90000,305.80000,402.40000,402.40000,56.40000,346.00000,346.00000,,346.00000,465.50000,426.10000,118.90000,120.00000,2.91000,2.88000
2018-12-31,1642.30000,903.60000,738.70010,386.70000,-210.50000,617.90000,120.80000,120.80000,40.50000,80.30000,80.30000,,80.30000,177.40000,141.50000,120.30000,121.50000,0.67000,0.66000
2018-09-30,1729.50000,993.40000,736.09990,415.10010,179.90000,254.40000,481.69980,481.70010,135.80000,345.90010,345.90010,,345.70000,540.59990,500.90000,125.40000,126.90000,2.72000,2.70000
2018-06-30,1698.70000,954.00000,744.70000,399.60000,-76.90000,493.00000,251.70000,251.70000,53.10000,198.60000,198.60000,,198.60000,310.30000,268.20000,124.40000,125.80000,1.60000,1.58000
2018-03-31,1651.20000,947.30000,703.90000,386.60000,-0.40000,404.30000,299.60000,299.60000,72.20000,227.40000,227.40000,,227.40000,360.10000,316.90000,126.90000,128.50000,1.79000,1.77000
2017-12-31,1586.60000,886.40000,700.20000,386.60000,4.20000,402.40000,297.79990,297.80000,534.20000,-236.40000,-236.40000,,-236.20000,357.39990,317.79990,128.20000,128.20000,-1.84000,-1.84000
2017-09-30,1667.50000,976.09990,691.39970,391.60000,-6.80000,417.90010,273.49950,273.50000,68.90000,204.60000,204.60000,,205.00010,337.89950,292.99970,128.40000,129.90000,1.59000,1.58000
2017-06-30,1599.20000,921.50000,677.70000,386.80000,4.20000,401.70000,276.00000,276.00000,59.10000,216.90000,216.90000,,216.90000,338.10000,295.10000,128.40000,129.90000,1.69000,1.67000
2017-03-31,1554.30000,897.80000,656.50010,409.20000,1.90000,426.20000,230.30000,230.30000,40.80000,189.50000,189.50000,,189.30000,289.80000,249.20000,128.70000,130.30000,1.47000,1.45000
2016-12-31,1490.30000,848.00000,642.30000,370.00000,4.00000,384.70000,257.60010,257.60000,42.90000,214.70000,214.70000,,214.50000,316.70010,276.30010,128.30000,129.70000,1.67000,1.65000
2016-09-30,1538.60000,886.70010,651.89990,402.09990,5.30000,414.99990,236.89970,236.90000,51.70000,185.20000,185.20000,,185.80000,298.09970,255.09960,130.20000,131.10000,1.43000,1.42000
2016-06-30,1474.00000,857.20000,616.80000,346.70000,0.30000,364.50000,252.30000,252.30000,61.30000,191.00000,191.00000,,190.80000,313.20010,270.40010,129.80000,130.80000,1.47000,1.46000
2016-03-31,1440.30000,846.20000,594.10000,358.70000,-0.80000,377.10000,217.00000,217.00000,49.00000,168.00000,168.00000,,167.80000,279.70000,234.60000,130.50000,131.30000,1.29000,1.28000
2015-12-31,1426.60000,813.90000,612.70000,359.90000,1.50000,375.80000,236.89990,236.90000,51.40000,185.50000,185.50000,,185.30000,295.59990,254.29990,131.80000,132.60000,1.41000,1.40000
2015-09-30,1607.50000,943.30000,664.20010,360.70000,-7.90000,385.30000,278.90010,278.90000,77.60000,201.30000,201.30000,,202.10000,337.20020,295.59990,134.50000,135.70000,1.51000,1.50000
2015-06-30,1575.20000,897.00000,678.20000,376.40000,-0.80000,393.60000,284.59990,284.60000,78.50000,206.10000,206.10000,,205.80000,342.19980,300.99980,134.30000,135.50000,1.53000,1.52000
