,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,34926.00000,10394.00000,24532.00000,16635.00000,16635.00000,7897.00000,,7897.00000,765.00000,7132.00000,7132.00000,6904.00000,8113.70000,8167.50000,0.86000,0.85000
2022-09-30,30358.00000,5856.00000,24502.00000,16201.00000,16201.00000,8301.00000,,8301.00000,1219.00000,7082.00000,7082.00000,6579.00000,8107.70000,8160.80000,0.81000,0.81000
2022-06-30,25219.00000,2531.00000,22688.00000,15796.00000,15796.00000,6892.00000,,6892.00000,645.00000,6247.00000,6247.00000,5932.00000,8121.60000,8163.10000,0.73000,0.73000
2022-03-31,24550.00000,1322.00000,23228.00000,15349.00000,15349.00000,7879.00000,,7879.00000,812.00000,7067.00000,7067.00000,6600.00000,8136.80000,8202.10000,0.81000,0.80000
2021-12-31,23204.00000,1144.00000,22060.00000,14242.00000,14242.00000,7818.00000,,7818.00000,805.00000,7013.00000,7013.00000,6773.00000,8493.30000,8558.40000,0.83000,0.83000
2021-09-30,24008.00000,1242.00000,22766.00000,13816.00000,13816.00000,8950.00000,,8950.00000,1259.00000,7691.00000,7691.00000,7260.00000,8430.70000,8492.80000,0.86000,0.85000
2021-06-30,22620.00000,1154.00000,21466.00000,13424.00000,13424.00000,8042.00000,,8042.00000,-1182.00000,9224.00000,9224.00000,8964.00000,8620.80000,8735.50000,1.04000,1.03000
2021-03-31,24019.00000,1198.00000,22821.00000,13655.00000,13655.00000,9166.00000,,9166.00000,1116.00000,8050.00000,8050.00000,7560.00000,8700.10000,8755.60000,0.87000,0.86000
2020-12-31,21307.00000,1208.00000,20099.00000,13980.00000,13980.00000,6119.00000,,6119.00000,649.00000,5470.00000,5470.00000,5208.00000,8753.20000,8796.90000,0.59000,0.59000
2020-09-30,21693.00000,1357.00000,20336.00000,15790.00000,15790.00000,4546.00000,,4546.00000,-335.00000,4881.00000,4881.00000,4440.00000,8732.90000,8777.50000,0.51000,0.51000
2020-06-30,24018.00000,1692.00000,22326.00000,18527.00000,18527.00000,3799.00000,,3799.00000,266.00000,3533.00000,3533.00000,3284.00000,8739.90000,8768.10000,0.38000,0.37000
2020-03-31,26735.00000,3968.00000,22767.00000,18236.00000,18236.00000,4531.00000,,4531.00000,521.00000,4010.00000,4010.00000,3541.00000,8815.60000,8862.70000,0.40000,0.40000
2019-12-31,27135.00000,4786.00000,22349.00000,14180.00000,14180.00000,8169.00000,,8169.00000,1175.00000,6994.00000,6994.00000,6748.00000,9390.50000,9442.90000,0.74000,0.75000
