,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2017-09-30,2644.84400,2644.84400,30.84600,1499.26300,-53.67700,214.83590,-68.85600,145.98000,45.43900,100.54100,100.54100,100.54100,1061.05800,214.83590,574.78300,578.73600,0.17000,0.17000
2017-06-30,2612.47200,2612.47200,34.73800,1505.50800,-78.93400,127.90770,-65.44100,62.46700,39.41400,23.05300,23.05300,23.05300,993.29170,127.90770,574.43900,578.48300,0.04000,0.04000
2017-03-31,2610.56500,2610.56500,56.89400,1436.70200,-193.18700,107.74580,-68.36400,39.38200,10.86500,28.51700,28.51700,28.51700,923.78190,107.74580,573.93500,578.59300,0.05000,0.05000
2016-12-31,2402.03900,2402.03900,39.30300,1307.75300,-297.94600,-105.48730,-88.52300,-194.01000,-51.65800,-142.35210,-142.35210,-142.35210,757.03660,-105.48730,553.38400,553.38400,-0.24000,-0.24000
2016-09-30,2118.50400,2118.50400,35.84500,1198.63800,-177.99000,-193.48000,-78.77000,-272.25000,-82.25000,-190.00000,-190.00000,-190.00000,706.03110,-193.48000,547.83800,547.83800,-0.35000,-0.35000
2016-06-30,1775.74000,1775.74000,30.38700,1098.32100,-72.71400,-288.17310,-92.10400,-380.27700,-87.71900,-292.55800,-292.55800,-292.55800,574.31790,-288.17310,547.33500,547.33500,-0.53000,-0.53000
2016-03-31,1354.34900,1354.34900,30.07500,961.90700,-71.61700,-638.14090,-72.82700,-710.96800,-239.19200,-471.77600,-471.77600,-471.77600,290.75010,-638.14090,546.71500,546.71500,-0.86000,-0.86000
2015-12-31,1796.76100,1796.76100,35.37500,1153.51100,-168.17100,-329.75340,-69.07300,-398.82620,-114.53010,-284.29610,-284.29610,-284.29610,439.70360,-329.75340,545.69700,545.69700,-0.52000,-0.52000
2015-09-30,2172.42800,2172.42800,31.54200,1334.25100,-6307.42000,-6222.95700,-51.96400,-6274.92100,-2199.18200,-4075.73900,-4075.73900,-4075.73900,-5500.78500,-6222.95700,545.92000,545.92000,-7.47000,-7.47000
2015-06-30,2469.70100,2469.70100,43.20400,1409.12500,-68.51900,39.62600,-51.10400,-11.47800,-16.74600,5.26800,5.26800,5.26800,948.85300,39.62600,545.50400,549.68300,0.01000,0.01000
2015-03-31,2318.53800,2318.53800,54.11900,1455.19000,-69.43600,-172.99460,-63.33600,-236.33100,-66.58300,-169.74800,-169.74800,-169.74800,739.79340,-172.99460,544.99800,544.99800,-0.31000,-0.31000
2014-12-31,4645.49700,4645.49700,63.39200,1805.88600,-535.63700,1226.65200,-78.05900,1148.59300,704.00500,444.58810,444.58810,444.58800,2240.58200,1226.65100,543.44300,548.53900,0.81000,0.81000
2014-09-30,5118.61600,5118.61600,65.31400,2171.58000,-55.54200,1786.16200,-71.04200,1715.12000,611.50200,1103.61800,1103.61800,1103.61800,2826.18000,1786.16200,543.98400,549.51800,2.03000,2.01000
2014-06-30,4187.55600,4187.55600,47.76600,1959.42300,-39.03500,1144.73000,-43.91700,1100.81300,394.46000,706.35300,706.35300,706.35300,2141.33200,1144.73000,543.09900,548.67600,1.30000,1.29000
2014-03-31,4083.67100,4083.67100,56.40600,1883.13400,-113.36100,1084.27900,-53.49000,1030.78900,369.86100,660.92800,660.92800,660.92800,2030.77000,1084.27900,542.27800,548.07100,1.22000,1.21000
2013-12-31,3749.02400,3749.02400,45.77300,1698.16000,-109.50900,980.32350,-61.24200,919.08210,338.88800,580.19380,580.19380,580.19380,1895.58100,980.32300,540.34100,546.22700,1.08000,1.05000
2013-09-30,3541.39600,3541.39600,58.97700,1697.93300,-85.91700,769.76900,-48.21400,721.55500,259.05700,462.49800,462.49800,462.49800,1698.56900,769.76900,540.94100,547.15200,0.85000,0.85000
2013-06-30,3840.18500,3840.18500,83.07300,1716.57000,-37.96700,1092.04400,-56.81400,1035.23000,375.53800,659.69200,659.69200,659.69200,2002.57500,1092.04400,540.03300,545.47700,1.22000,1.21000
2013-03-31,3356.51400,3356.51400,48.17800,1575.32600,-53.54800,833.07400,-72.05500,761.01900,266.29400,494.72500,494.72500,494.72500,1679.46200,833.07400,538.71700,544.52600,0.92000,0.91000
2012-12-31,3011.81100,3011.81100,50.62500,1532.40700,-1020.49600,-378.06100,-67.76100,-445.82200,59.17700,-504.99900,-504.99900,-504.99900,408.28300,-378.06130,535.15500,541.52400,-0.94500,-0.94000
2012-09-30,2954.85500,2954.85500,47.87700,1412.50500,-62.87500,605.74710,-45.55800,560.18900,204.69800,355.49100,355.49100,355.49100,1431.59800,605.74710,535.88200,541.96400,0.66500,0.65500
2012-06-30,2909.31900,2909.31900,59.23000,1294.76800,-54.21700,692.33910,-46.10000,646.23900,250.46100,395.77800,395.77800,395.77800,1501.10400,692.33910,533.74800,539.97000,0.74000,0.73500
2012-03-31,2806.65100,2806.65100,42.80700,1322.18200,-133.14700,559.77200,-39.63800,520.13400,196.12500,324.00900,324.00900,324.00900,1308.51500,559.77200,533.34800,540.48400,0.61000,0.60000
2011-12-31,2773.01500,2773.01500,37.04100,1240.24800,-499.62400,302.57520,-60.94300,241.63190,120.93400,120.69790,120.69790,120.69800,996.10230,302.57520,525.47000,532.53600,0.24500,0.23500
2011-09-30,2885.74400,2885.74400,71.07300,1129.52600,-83.43100,950.02980,-50.80900,899.22100,358.34300,540.87810,540.87810,540.87800,1601.71400,950.02980,532.10600,538.58400,1.01500,1.00500
2011-06-30,2570.25000,2570.25000,42.91400,977.48500,-358.65400,588.25320,-45.02900,543.22400,247.65000,295.57400,295.57400,295.57400,1191.19700,588.25320,531.66000,538.66400,0.55500,0.55000
2011-03-31,1897.10600,1897.10600,73.86000,893.24100,-89.32800,272.45090,-46.72900,225.72200,91.74900,133.97300,133.97300,133.97300,840.67690,272.45090,510.40000,517.63800,0.26000,0.26000
2010-12-31,1789.16000,1789.16000,66.13700,764.84110,-239.78200,174.61070,-35.03800,139.57300,85.90000,53.67300,53.67300,53.67300,718.39980,174.61040,501.75200,509.00000,0.10500,0.10500
2010-09-30,1582.07500,1582.07500,50.00700,689.96700,-352.90800,-11.69500,-27.11800,-38.81300,32.09300,-70.90600,-70.90600,-70.90600,489.19300,-11.69500,502.03000,502.03000,-0.14000,-0.14000
2010-06-30,1357.96800,1357.96800,69.44900,602.31300,-80.36200,140.50100,-30.44200,110.05900,50.18700,59.87200,59.87200,59.87200,605.84400,140.50100,501.65000,509.00600,0.12000,0.12000
2010-03-31,1370.69300,1370.69300,74.27400,575.01600,-69.59500,219.90200,-22.74500,197.15700,79.14200,118.01500,118.01500,118.01500,651.80800,219.90200,500.74000,507.73800,0.23500,0.23000
2009-12-31,1760.86200,1760.86200,52.34200,531.56400,-123.91100,654.10820,-27.87300,626.23500,225.80800,400.42700,400.42700,400.42700,1053.04500,654.10820,497.99200,503.76800,0.80500,0.79500
2009-09-30,1006.84900,1006.84900,47.92600,468.88600,-69.40400,35.30300,-30.74600,4.55700,0.36100,4.19600,4.19600,4.19600,420.63290,35.30300,499.07000,504.84400,0.01000,0.01000
2009-06-30,861.03900,861.03900,67.95000,370.43300,-47.04600,0.01790,-23.57400,-23.55600,-6.85000,-16.70600,-16.70600,-16.70600,375.61000,0.01790,496.41400,496.41400,-0.03500,-0.03500
2009-03-31,1158.20900,1158.20900,52.61700,369.38000,-65.47100,281.41190,-16.63700,264.77500,106.06500,158.71000,158.71000,158.71000,670.74100,281.41190,495.98200,500.40800,0.32000,0.31500
