,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,3833.00000,2673.00000,1160.00000,825.00000,825.00000,335.00000,-477.00000,-142.00000,-39.00000,-103.00000,,-100.00000,-98.00000,462.00000,335.00000,341.00000,344.00000,-0.30000,-0.29000
2022-09-30,3946.00000,2793.00000,1153.00000,785.00000,785.00000,368.00000,15.00000,383.00000,74.00000,309.00000,,312.00000,310.00000,481.00000,368.00000,341.00000,344.00000,0.91000,0.90000
2022-06-30,3864.00000,2721.00000,1143.00000,728.00000,728.00000,415.00000,6.00000,421.00000,97.00000,324.00000,,326.00000,326.00000,534.00000,415.00000,339.00000,342.00000,0.96000,0.95000
2022-03-31,3672.00000,2513.00000,1159.00000,642.00000,642.00000,517.00000,18.00000,535.00000,112.00000,423.00000,,424.00000,422.00000,636.00000,517.00000,340.00000,342.00000,1.24000,1.23000
2021-12-31,3420.00000,2415.00000,1005.00000,676.00000,676.00000,329.00000,231.00000,560.00000,129.00000,431.00000,,434.00000,433.00000,450.00000,329.00000,342.00000,344.00000,1.27000,1.26000
2021-09-30,3622.00000,2457.00000,1165.00000,718.00000,718.00000,447.00000,-55.00000,392.00000,92.00000,300.00000,,305.00000,307.00000,561.00000,447.00000,341.00000,343.00000,0.90000,0.89000
2021-06-30,3555.00000,2331.00000,1224.00000,720.00000,720.00000,504.00000,28.00000,532.00000,144.00000,388.00000,,385.00000,380.00000,624.00000,504.00000,341.00000,343.00000,1.12000,1.11000
2021-03-31,3584.00000,2418.00000,1166.00000,694.00000,694.00000,472.00000,10.00000,482.00000,109.00000,373.00000,,371.00000,368.00000,584.00000,472.00000,342.00000,344.00000,1.07000,1.07000
2020-12-31,3464.00000,2279.00000,1185.00000,800.00000,800.00000,385.00000,-115.00000,270.00000,55.00000,215.00000,,208.00000,205.00000,509.00000,385.00000,343.00000,345.00000,0.60000,0.59000
2020-09-30,3429.00000,2228.00000,1201.00000,790.00000,790.00000,411.00000,7.00000,418.00000,65.00000,353.00000,,352.00000,348.00000,532.00000,411.00000,343.00000,346.00000,1.02000,1.01000
2020-06-30,3465.00000,2268.00000,1197.00000,691.00000,691.00000,506.00000,-39.00000,467.00000,109.00000,358.00000,,354.00000,351.00000,623.00000,506.00000,343.00000,345.00000,1.02000,1.02000
2020-03-31,3412.00000,2268.00000,1144.00000,685.00000,685.00000,459.00000,-13.00000,446.00000,94.00000,352.00000,,350.00000,347.00000,576.00000,459.00000,342.00000,344.00000,1.01000,1.01000
2019-12-31,3223.00000,2135.00000,1088.00000,728.00000,728.00000,360.00000,-122.00000,238.00000,84.00000,154.00000,,152.00000,145.00000,484.00000,360.00000,341.00000,343.00000,0.42000,0.42000
2019-09-30,3372.00000,2372.00000,1000.00000,737.00000,737.00000,263.00000,78.00000,341.00000,91.00000,250.00000,,248.00000,247.00000,380.00000,263.00000,341.00000,342.00000,0.73000,0.72000
2019-06-30,3461.00000,2275.00000,1186.00000,789.00000,789.00000,397.00000,-30.00000,367.00000,74.00000,293.00000,,292.00000,286.00000,516.00000,397.00000,340.00000,341.00000,0.84000,0.84000
2019-03-31,3522.00000,2415.00000,1107.00000,726.00000,726.00000,381.00000,-22.00000,359.00000,72.00000,287.00000,,285.00000,282.00000,505.00000,381.00000,342.00000,343.00000,0.82000,0.82000
2018-12-31,3317.00000,2228.00000,1089.00000,763.00000,763.00000,326.00000,-433.00000,-107.00000,-25.00000,-82.00000,,-82.00000,-84.00000,468.00000,326.00000,347.00000,348.00000,-0.25000,-0.24000
2018-09-30,3469.00000,2293.00000,1176.00000,780.00000,780.00000,396.00000,58.00000,454.00000,69.00000,385.00000,,383.00000,380.00000,536.00000,396.00000,347.00000,349.00000,1.10000,1.09000
2018-06-30,3360.00000,2151.00000,1209.00000,735.00000,735.00000,474.00000,-3.00000,471.00000,70.00000,401.00000,,599.00000,596.00000,586.00000,474.00000,347.00000,348.00000,1.72000,1.71000
2018-03-31,3401.00000,2149.00000,1252.00000,742.00000,742.00000,510.00000,1.00000,511.00000,67.00000,444.00000,,444.00000,444.00000,632.00000,510.00000,346.00000,348.00000,1.28000,1.27000
2017-12-31,3185.00000,2043.00000,1142.00000,753.00000,753.00000,389.00000,190.00000,579.00000,164.00000,415.00000,,417.00000,417.00000,504.00000,389.00000,348.00000,350.00000,1.21000,1.20000
2017-09-30,3246.00000,2074.00000,1172.00000,839.00000,839.00000,333.00000,53.00000,386.00000,101.00000,285.00000,,288.00000,288.00000,459.00000,333.00000,345.00000,348.00000,0.83000,0.83000
2017-06-30,3175.00000,1950.00000,1225.00000,840.00000,840.00000,385.00000,,385.00000,102.00000,283.00000,,283.00000,283.00000,504.00000,385.00000,349.00000,352.00000,0.81000,0.80000
2017-03-31,3248.00000,2088.00000,1160.00000,880.00000,880.00000,280.00000,27.00000,307.00000,43.00000,264.00000,,266.00000,266.00000,401.00000,280.00000,351.00000,354.00000,0.76000,0.75000
2016-12-31,3048.00000,1993.00000,1055.00000,869.00000,869.00000,186.00000,-213.00000,-27.00000,20.00000,-47.00000,,-47.00000,-48.00000,346.00000,186.00000,350.00000,354.00000,-0.14000,-0.13000
2016-09-30,3254.00000,1990.00000,1264.00000,854.00000,854.00000,410.00000,-55.00000,355.00000,62.00000,293.00000,,292.00000,292.00000,516.00000,410.00000,350.00000,354.00000,0.83000,0.82000
2016-06-30,3268.00000,1998.00000,1270.00000,821.00000,821.00000,449.00000,-64.00000,385.00000,106.00000,279.00000,,280.00000,280.00000,585.00000,449.00000,350.00000,354.00000,0.80000,0.79000
2016-03-31,3395.00000,2150.00000,1245.00000,807.00000,807.00000,438.00000,-217.00000,221.00000,47.00000,174.00000,,175.00000,175.00000,553.00000,438.00000,351.00000,355.00000,0.50000,0.49000
2015-12-31,3142.00000,2180.00000,962.00000,1001.00000,1001.00000,-39.00000,-72.00000,-111.00000,-68.00000,-43.00000,,-40.00000,-41.00000,108.00000,-39.00000,354.00000,356.00000,-0.11000,-0.13000
2015-09-30,3329.00000,2096.00000,1233.00000,899.00000,899.00000,334.00000,-62.00000,272.00000,66.00000,206.00000,,205.00000,205.00000,452.00000,334.00000,354.00000,356.00000,0.58000,0.58000
2015-06-30,3498.00000,2257.00000,1241.00000,829.00000,829.00000,412.00000,-104.00000,308.00000,85.00000,223.00000,,222.00000,223.00000,550.00000,412.00000,353.00000,355.00000,0.63000,0.63000
2015-03-31,3556.00000,2311.00000,1245.00000,861.00000,861.00000,384.00000,-80.00000,304.00000,76.00000,228.00000,-1.00000,227.00000,227.00000,515.00000,384.00000,355.00000,357.00000,0.64000,0.64000
2014-12-31,3514.00000,2658.00000,856.00000,1278.00000,1278.00000,-422.00000,-57.00000,-479.00000,-187.00000,-292.00000,,-293.00000,-293.00000,-294.00000,-422.00000,358.00000,360.00000,-0.82000,-0.81000
2014-09-30,3639.00000,2347.00000,1292.00000,927.00000,927.00000,365.00000,-53.00000,312.00000,86.00000,226.00000,,225.00000,224.00000,505.00000,365.00000,358.00000,360.00000,0.63000,0.62000
2014-06-30,3685.00000,2274.00000,1411.00000,944.00000,944.00000,467.00000,-47.00000,420.00000,122.00000,298.00000,-3.00000,295.00000,295.00000,586.00000,467.00000,359.00000,362.00000,0.82000,0.82000
2014-03-31,3742.00000,2238.00000,1504.00000,890.00000,890.00000,614.00000,-42.00000,572.00000,165.00000,407.00000,-1.00000,406.00000,406.00000,730.00000,614.00000,360.00000,362.00000,1.13000,1.12000
2013-12-31,3501.00000,1718.00000,1783.00000,523.00000,523.00000,1260.00000,-46.00000,1214.00000,394.00000,820.00000,,819.00000,818.00000,1452.00000,1260.00000,363.00000,365.00000,2.26000,2.23000
2013-09-30,3716.00000,2266.00000,1450.00000,946.00000,946.00000,504.00000,-52.00000,452.00000,124.00000,328.00000,-2.00000,326.00000,326.00000,618.00000,504.00000,362.00000,364.00000,0.90000,0.90000
2013-06-30,3714.00000,2237.00000,1477.00000,907.00000,907.00000,570.00000,-66.00000,504.00000,150.00000,354.00000,-2.00000,352.00000,352.00000,683.00000,570.00000,364.00000,367.00000,0.96000,0.96000
2013-03-31,3861.00000,2468.00000,1393.00000,890.00000,890.00000,503.00000,-67.00000,436.00000,124.00000,312.00000,-1.00000,311.00000,311.00000,616.00000,503.00000,363.00000,366.00000,0.86000,0.85000
2012-12-31,3563.00000,2387.00000,1176.00000,1173.00000,1173.00000,3.00000,-72.00000,-69.00000,-37.00000,-32.00000,,-32.00000,-32.00000,149.00000,3.00000,358.00000,360.00000,-0.10000,-0.10000
2012-09-30,3720.00000,2254.00000,1466.00000,953.00000,953.00000,513.00000,-63.00000,450.00000,131.00000,319.00000,-1.00000,318.00000,318.00000,621.00000,513.00000,358.00000,359.00000,0.89000,0.89000
2012-06-30,3474.00000,2035.00000,1439.00000,920.00000,920.00000,519.00000,-82.00000,437.00000,113.00000,324.00000,,324.00000,324.00000,618.00000,519.00000,357.00000,359.00000,0.91000,0.90000
2012-03-31,3440.00000,2087.00000,1353.00000,826.00000,826.00000,527.00000,-20.00000,507.00000,156.00000,351.00000,,351.00000,351.00000,622.00000,527.00000,357.00000,359.00000,0.98000,0.98000
2011-12-31,3015.00000,2077.00000,938.00000,1090.00000,1090.00000,-152.00000,-55.00000,-207.00000,-74.00000,-133.00000,,-133.00000,-133.00000,-53.00000,-152.00000,362.00000,364.00000,-0.36000,-0.36000
2011-09-30,3312.00000,1962.00000,1350.00000,886.00000,886.00000,464.00000,-67.00000,397.00000,107.00000,290.00000,,290.00000,290.00000,559.00000,464.00000,360.00000,363.00000,0.81000,0.80000
2011-06-30,3386.00000,1943.00000,1443.00000,900.00000,900.00000,543.00000,-54.00000,489.00000,147.00000,342.00000,,342.00000,343.00000,629.00000,543.00000,363.00000,366.00000,0.94000,0.94000
2011-03-31,3485.00000,2064.00000,1421.00000,849.00000,849.00000,572.00000,-67.00000,505.00000,140.00000,365.00000,,365.00000,366.00000,661.00000,572.00000,365.00000,368.00000,1.00000,1.00000
2010-12-31,2860.00000,1617.00000,1243.00000,867.00000,867.00000,376.00000,-68.00000,308.00000,83.00000,225.00000,,225.00000,229.00000,503.00000,376.00000,376.00000,378.00000,0.62000,0.62000
2010-09-30,3157.00000,1788.00000,1369.00000,828.00000,828.00000,541.00000,-61.00000,480.00000,143.00000,337.00000,,337.00000,338.00000,628.00000,541.00000,373.00000,376.00000,0.91000,0.90000
2010-06-30,3062.00000,1757.00000,1305.00000,822.00000,822.00000,483.00000,-54.00000,429.00000,128.00000,301.00000,,301.00000,302.00000,574.00000,483.00000,381.00000,384.00000,0.80000,0.79000
2010-03-31,3318.00000,1893.00000,1425.00000,788.00000,788.00000,637.00000,-64.00000,573.00000,156.00000,417.00000,,417.00000,418.00000,724.00000,637.00000,380.00000,384.00000,1.10000,1.09000
2009-12-31,2900.00000,1655.00000,1245.00000,893.00000,893.00000,352.00000,-117.00000,235.00000,60.00000,175.00000,,176.00000,176.00000,454.00000,352.00000,382.00000,384.00000,0.46000,0.46000
2009-09-30,3277.00000,1837.00000,1440.00000,873.00000,873.00000,567.00000,-75.00000,492.00000,132.00000,360.00000,,360.00000,361.00000,660.00000,567.00000,382.00000,384.00000,0.94000,0.94000
2009-06-30,3229.00000,1825.00000,1404.00000,851.00000,851.00000,553.00000,-58.00000,495.00000,141.00000,354.00000,-1.00000,353.00000,354.00000,658.00000,553.00000,383.00000,383.00000,0.93000,0.92000
2009-03-31,3169.00000,1867.00000,1302.00000,773.00000,773.00000,529.00000,-67.00000,462.00000,143.00000,319.00000,,319.00000,321.00000,613.00000,529.00000,382.00000,383.00000,0.84000,0.84000
