,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,4185.00000,2623.00000,1562.00000,108.00000,955.00000,1193.00000,369.00000,-50.00000,319.00000,73.00000,246.00000,246.00000,,238.00000,502.00000,369.00000,236.10000,237.30000,1.00000,1.00000
2022-09-30,4468.00000,2821.00000,1647.00000,110.00000,931.00000,1212.00000,435.00000,-17.00000,418.00000,79.00000,339.00000,339.00000,,329.00000,570.00000,435.00000,235.50000,236.60000,1.40000,1.39000
2022-06-30,4691.00000,2954.00000,1737.00000,115.00000,982.00000,1238.00000,499.00000,67.00000,566.00000,118.00000,448.00000,448.00000,-2.00000,441.00000,640.00000,499.00000,236.40000,237.60000,1.86000,1.85000
2022-03-31,4308.00000,2698.00000,1610.00000,115.00000,974.00000,1234.00000,376.00000,-298.00000,78.00000,55.00000,23.00000,23.00000,,18.00000,521.00000,376.00000,236.60000,238.20000,0.08000,0.08000
2021-12-31,4190.00000,2692.00000,1498.00000,116.00000,984.00000,1301.00000,197.00000,85.00000,282.00000,4.00000,278.00000,278.00000,,286.00000,346.00000,197.00000,237.60000,239.40000,1.21000,1.20000
2021-09-30,4372.00000,2733.00000,1639.00000,114.00000,950.00000,1210.00000,429.00000,12.00000,441.00000,96.00000,345.00000,345.00000,,344.00000,575.00000,429.00000,237.90000,239.80000,1.45000,1.43000
2021-06-30,4359.00000,2629.00000,1730.00000,107.00000,955.00000,1178.00000,552.00000,41.00000,593.00000,160.00000,433.00000,433.00000,,431.00000,689.00000,552.00000,237.80000,239.80000,1.81000,1.80000
2021-03-31,3881.00000,2232.00000,1649.00000,102.00000,891.00000,1122.00000,527.00000,-28.00000,499.00000,114.00000,385.00000,385.00000,,378.00000,656.00000,527.00000,237.40000,239.00000,1.59000,1.58000
2020-12-31,3757.00000,2140.00000,1617.00000,100.00000,882.00000,1116.00000,501.00000,-156.00000,345.00000,67.00000,278.00000,278.00000,,272.00000,626.00000,501.00000,236.80000,237.90000,1.14000,1.14000
2020-09-30,3685.00000,2026.00000,1659.00000,92.00000,836.00000,1060.00000,599.00000,-27.00000,572.00000,124.00000,448.00000,448.00000,,442.00000,731.00000,599.00000,236.80000,237.90000,1.87000,1.86000
2020-06-30,3015.00000,1703.00000,1312.00000,86.00000,766.00000,1140.00000,172.00000,-46.00000,126.00000,29.00000,97.00000,97.00000,3.00000,102.00000,295.00000,172.00000,236.60000,237.60000,0.43000,0.43000
2020-03-31,3377.00000,1908.00000,1469.00000,101.00000,905.00000,1135.00000,334.00000,-15.00000,319.00000,71.00000,248.00000,248.00000,,243.00000,463.00000,334.00000,236.50000,237.70000,1.03000,1.02000
2019-12-31,3672.00000,2111.00000,1561.00000,109.00000,894.00000,1138.00000,423.00000,-25.00000,398.00000,95.00000,303.00000,303.00000,,292.00000,557.00000,423.00000,236.90000,238.20000,1.23000,1.23000
2019-09-30,3826.00000,2181.00000,1645.00000,107.00000,887.00000,1129.00000,516.00000,-35.00000,481.00000,109.00000,372.00000,372.00000,1.00000,367.00000,649.00000,516.00000,237.10000,238.50000,1.55000,1.54000
2019-06-30,4024.00000,2288.00000,1736.00000,111.00000,934.00000,1347.00000,389.00000,-26.00000,363.00000,86.00000,277.00000,277.00000,2.00000,272.00000,515.00000,389.00000,236.90000,238.30000,1.15000,1.14000
