,revenue,cost-goods-sold,gross-profit,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,,,,,,,,,,,,,,,,,0.00000
2022-09-30,12780.20000,12486.00000,294.20020,0.00000,294.20020,-151.70000,142.50000,18.40000,124.10000,124.10000,117.40000,349.90020,294.20020,584.50000,587.10000,0.20000,0.20000
2022-06-30,11519.20000,11785.90000,-266.69920,224.80000,-491.49900,-144.40000,-635.90000,-93.00000,-542.90000,-542.90000,-549.60000,-405.29900,-491.49900,584.30000,586.50000,-0.94000,-0.94000
2022-03-31,11841.50000,11328.10000,513.39940,0.00000,513.39940,-123.20000,390.20000,76.30000,313.90000,313.90000,307.20000,626.09940,513.39940,584.30000,586.30000,0.53000,0.52000
2021-12-31,12492.10000,11166.80000,1325.29900,0.00000,1325.30000,-121.40000,1203.90000,241.60000,962.29980,962.29980,955.49980,1448.80000,1325.29800,584.50000,587.10000,1.64000,1.62000
2021-09-30,11859.20000,11586.60000,272.60060,0.00000,272.60060,-133.60000,139.00000,20.50000,118.50000,118.50000,111.80000,396.80060,272.60060,584.70000,587.10000,0.19000,0.19000
2021-06-30,11905.50000,10775.70000,1129.80000,0.00000,1129.80000,-130.60000,999.20000,209.10000,790.10000,790.10000,783.40000,1241.00000,1129.80000,584.60000,586.80000,1.34000,1.34000
2021-03-31,11445.20000,9466.00000,1979.20000,0.00000,1979.20000,-111.30000,1867.90000,387.90000,1480.00000,1480.00000,1473.30000,2088.00000,1979.20000,584.90000,586.90000,2.52000,2.51000
2020-12-31,11415.80000,9197.10200,2218.70100,0.00200,2218.69900,-112.50000,2106.20000,421.89990,1684.30000,1684.30000,1683.90000,2334.99900,2218.69800,584.90000,587.60000,2.89000,2.86000
2020-09-30,10947.20000,8908.20000,2039.00000,0.00000,2039.00000,-115.50000,1923.50000,392.70000,1530.80000,1530.80000,1524.10000,2154.00000,2039.00000,585.10000,587.80000,2.60000,2.59000
2020-06-30,10971.70000,8589.19900,2382.50100,0.00000,2382.50100,-113.70000,2268.80000,478.40000,1790.40000,1790.40000,1783.70000,2487.90100,2382.50100,584.80000,587.20000,3.05000,3.04000
2020-03-31,9323.40000,8347.90000,975.50000,0.00000,975.50000,-100.80000,874.70000,175.60000,699.10000,699.10000,686.00000,1071.50000,975.50000,584.70000,586.90000,1.17000,1.17000
