,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1623.70000,969.29980,654.39990,276.00000,-21.50000,381.50020,272.90000,-27.00000,245.90000,45.00000,200.90000,204.10000,14.60000,217.40000,377.70000,272.90000,405.30000,410.20000,0.54000,0.52000
2022-09-30,1515.70000,940.40000,575.29990,278.70000,-12.80000,385.30000,189.99980,-16.80000,173.20000,30.30000,142.90000,145.50000,0.50000,145.10000,304.99980,189.99980,404.00000,408.50000,0.36000,0.36000
2022-06-30,1439.90000,870.10000,569.80000,275.60000,-13.20000,372.40000,197.40010,-16.90000,180.50000,41.90000,138.60000,137.80000,1.50000,138.50000,301.90010,197.40010,404.50000,409.40000,0.34000,0.34000
2022-03-31,1337.00000,810.90000,526.10000,265.50000,-17.40000,369.10000,156.99990,-14.40000,142.60000,32.40000,110.20000,105.90000,-1.40000,103.70000,265.49990,156.99990,407.60000,413.10000,0.25000,0.25000
2021-12-31,1418.80000,909.39990,509.39990,255.90000,-25.00000,369.00010,140.40010,-15.50000,124.90000,-47.60000,172.50000,164.00000,129.70000,293.00000,252.20010,140.40020,414.80000,421.20000,0.71000,0.70000
2021-09-30,1325.00000,810.70000,514.30000,252.60000,-17.50000,350.40000,163.90000,-28.00000,135.90000,2.70000,133.20000,131.00000,-4.20000,126.00000,266.40000,163.90000,412.30000,418.50000,0.31000,0.30000
2021-06-30,1279.10000,766.40000,512.70000,267.20000,-25.10000,372.60000,140.10000,11.40000,151.50000,12.50000,139.00000,138.30000,96.30000,233.90000,242.40000,140.10000,419.90000,426.80000,0.56000,0.55000
2021-03-31,1129.50000,677.40000,452.10000,252.30000,5.70000,330.80000,121.30000,-20.60000,100.70000,10.60000,90.10000,90.10000,-180.20000,-90.40000,226.80000,121.30000,419.20000,425.90000,-0.22000,-0.21000
2020-12-31,1131.80000,683.20000,448.59990,214.39990,-30.10000,336.90000,111.69980,-21.40000,90.30000,-12.80000,103.10000,103.10000,47.90000,151.60000,228.09980,111.69980,382.80000,382.80000,0.40000,0.40000
2020-09-30,1112.50000,682.50000,430.00000,218.60000,-25.50000,361.00000,69.00000,-26.20000,42.80000,12.80000,30.00000,30.00000,-0.10000,29.50000,206.20000,69.00000,417.60000,422.00000,0.07000,0.07000
2020-06-30,1025.40000,716.80000,308.60000,209.10000,-48.10000,353.60000,-45.00000,-28.50000,-73.50000,78.40000,-151.90000,-151.90000,-24.60000,-177.60000,70.60000,-45.00000,417.00000,417.00000,-0.43000,-0.43000
2020-03-31,703.50000,485.80000,217.70000,147.20000,-97.30000,293.80000,-76.10000,-28.90000,-105.00000,-67.00000,-38.00000,-38.00000,1.20000,-36.80000,-12.90000,-76.10000,277.30000,277.30000,-0.13000,-0.13000
2019-12-31,171.40010,79.49990,91.90020,86.60000,-26.30000,125.50010,-33.59990,-18.80000,-52.40000,-16.40000,-36.00000,-36.00000,,25.80000,-19.99990,-33.60000,203.50000,208.90000,0.13000,0.12000
2019-09-30,596.70000,375.20000,221.50000,95.30000,-22.90000,148.60000,72.90000,-22.60000,50.30000,9.00000,41.30000,41.30000,,41.30000,115.90000,72.90000,204.20000,209.00000,0.20000,0.20000
2019-06-30,629.10000,394.70000,234.40000,110.70000,-18.20000,159.80000,74.60000,-21.40000,53.20000,8.30000,44.90000,44.90000,,44.90000,119.00000,74.60000,203.40000,208.90000,0.22000,0.21000
2019-03-31,620.30000,389.80000,230.50000,117.00000,-1.90000,150.30000,80.20000,-21.10000,59.10000,12.00000,47.10000,47.10000,,47.10000,125.70000,80.20000,201.60000,207.70000,0.23000,0.23000
2018-12-31,712.70010,443.80000,268.90010,104.20000,1.80000,134.80040,134.09970,-22.70000,111.40000,16.90000,94.50000,94.50000,,94.50000,179.89970,134.09970,201.60000,209.10000,0.47000,0.45000
2018-09-30,689.30000,426.90000,262.40000,107.70000,-6.00000,144.70000,117.70000,-22.90000,94.80000,22.60000,72.20000,72.20000,,72.20000,162.10000,117.70000,201.90000,209.10000,0.36000,0.35000
2018-06-30,668.20000,418.90000,249.30000,115.80000,-0.60000,147.90000,101.40000,-23.90000,77.50000,17.20000,60.30000,60.30000,,60.30000,146.60000,101.40000,201.80000,209.60000,0.30000,0.29000
2018-03-31,619.60000,387.70000,231.90000,106.90000,-4.30000,142.10000,89.80000,-24.00000,65.80000,23.40000,42.40000,42.40000,,42.40000,134.80000,89.80000,201.60000,209.90000,0.21000,0.20000
2017-12-31,664.99990,411.50000,253.49990,107.30000,-35.40000,175.60000,77.90000,-24.20000,53.70000,-90.10000,143.80000,143.80000,,143.80000,126.40000,77.89990,182.20000,188.40000,0.84000,0.85000
2017-09-30,649.60000,395.70000,253.90000,111.00000,-17.40000,157.90000,95.99990,-63.60000,32.40000,4.40000,28.00000,28.00000,,28.00000,139.39990,95.99990,201.30000,208.10000,0.14000,0.13000
2017-06-30,579.10000,363.20000,215.90000,125.60000,-161.40000,317.50000,-101.60000,-88.60000,-190.20000,-43.90000,-146.30000,-146.30000,,-146.30000,-57.80000,-101.60000,176.90000,176.90000,-0.83000,-0.83000
2017-03-31,481.70000,307.10000,174.60000,102.30000,-7.90000,137.80000,36.80000,-45.40000,-8.60000,-1.60000,-7.00000,-7.00000,,-7.10000,76.50000,36.80000,148.50000,148.50000,-0.05000,-0.05000
2016-12-31,,,,,,,,,,,,,,,,,,,,0.00000
2016-09-30,462.60000,298.40000,164.20000,100.90000,-12.40000,144.00000,20.20000,-42.30000,-22.10000,-9.10000,-13.00000,-13.00000,,-12.90000,63.10000,20.20000,148.80000,148.80000,-0.09000,-0.09000
2016-06-30,462.00000,290.50000,171.50000,106.40000,-7.10000,145.50000,26.00000,-41.00000,-15.00000,-10.90000,-4.10000,-4.10000,,-3.90000,26.00000,26.00000,150.50000,150.50000,-0.03000,-0.03000
2015-12-31,,,,,,,,,,,,,,,,,,,,0.00000
2014-12-31,,,,,,,,,,,,,,,,,,,,0.00000
