,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-11-30,4085.00000,3192.00000,893.00000,849.00000,251.00000,11.00000,1102.00000,-209.00000,33.00000,-176.00000,8.00000,-184.00000,-195.00000,-195.00000,1712.00000,-209.00000,1090.00000,1090.00000,-0.18000,-0.18000
2022-08-31,6643.00000,4021.00000,2622.00000,839.00000,280.00000,23.00000,1101.00000,1521.00000,32.00000,1553.00000,56.00000,1497.00000,1492.00000,1492.00000,3403.00000,1521.00000,1112.00000,1122.00000,1.37000,1.37000
2022-05-31,8642.00000,4607.00000,4035.00000,773.00000,264.00000,6.00000,1031.00000,3004.00000,-16.00000,2988.00000,358.00000,2630.00000,2626.00000,2626.00000,4825.00000,3004.00000,1112.00000,1121.00000,2.36000,2.34000
2022-02-28,7786.00000,4110.00000,3676.00000,792.00000,263.00000,-70.00000,1130.00000,2546.00000,-37.00000,2509.00000,255.00000,2254.00000,2263.00000,2263.00000,4288.00000,2546.00000,1119.00000,1130.00000,2.02000,2.00000
2021-11-30,7687.00000,4122.00000,3565.00000,712.00000,259.00000,75.00000,934.00000,2631.00000,-110.00000,2521.00000,219.00000,2302.00000,2306.00000,2306.00000,4302.00000,2631.00000,1119.00000,1130.00000,2.06000,2.04000
2021-08-31,8274.00000,4362.00000,3912.00000,705.00000,236.00000,6.00000,957.00000,2955.00000,-19.00000,2936.00000,230.00000,2706.00000,2720.00000,2720.00000,4576.00000,2955.00000,1120.00000,1141.00000,2.42000,2.38000
2021-05-31,7422.00000,4296.00000,3126.00000,670.00000,230.00000,26.00000,1327.00000,1799.00000,7.00000,1806.00000,65.00000,1741.00000,1735.00000,1735.00000,3356.00000,1799.00000,1121.00000,1145.00000,1.55000,1.52000
2021-02-28,6236.00000,4587.00000,1649.00000,641.00000,214.00000,-126.00000,986.00000,663.00000,-28.00000,635.00000,48.00000,587.00000,603.00000,603.00000,2212.00000,663.00000,1120.00000,1144.00000,0.54000,0.53000
2020-11-30,5773.00000,4037.00000,1736.00000,647.00000,214.00000,-1.00000,870.00000,866.00000,-25.00000,841.00000,51.00000,790.00000,803.00000,803.00000,2353.00000,866.00000,1115.00000,1135.00000,0.72000,0.71000
2020-08-31,6056.00000,3988.00000,2068.00000,630.00000,231.00000,6.00000,911.00000,1157.00000,-32.00000,1125.00000,136.00000,989.00000,990.00000,988.00000,2704.00000,1157.00000,1110.00000,1131.00000,0.89000,0.87000
2020-05-31,5438.00000,3675.00000,1763.00000,649.00000,216.00000,-6.00000,875.00000,888.00000,-18.00000,870.00000,68.00000,802.00000,805.00000,803.00000,2314.00000,888.00000,1111.00000,1129.00000,0.72000,0.71000
2020-02-29,4797.00000,3442.00000,1355.00000,681.00000,223.00000,-11.00000,915.00000,440.00000,-13.00000,427.00000,21.00000,406.00000,407.00000,405.00000,1811.00000,440.00000,1111.00000,1133.00000,0.37000,0.36000
2019-11-30,5144.00000,3778.00000,1366.00000,640.00000,211.00000,3.00000,848.00000,518.00000,43.00000,561.00000,55.00000,506.00000,508.00000,491.00000,1824.00000,518.00000,1107.00000,1129.00000,0.44000,0.43000
2019-08-31,4870.00000,3475.00000,1395.00000,623.00000,212.00000,61.00000,745.00000,650.00000,5.00000,655.00000,71.00000,584.00000,586.00000,561.00000,2076.00000,650.00000,1114.00000,1143.00000,0.55000,0.54000
2019-05-31,4788.00000,2960.00000,1828.00000,606.00000,206.00000,-6.00000,818.00000,1010.00000,-294.00000,716.00000,-135.00000,851.00000,851.00000,840.00000,2380.00000,1010.00000,1105.00000,1129.00000,0.76000,0.74000
2019-02-28,5835.00000,2971.00000,2864.00000,601.00000,209.00000,-97.00000,907.00000,1957.00000,-53.00000,1904.00000,280.00000,1624.00000,1625.00000,1619.00000,3281.00000,1957.00000,1114.00000,1141.00000,1.45000,1.42000
2018-11-30,7913.00000,3298.00000,4615.00000,611.00000,209.00000,-36.00000,856.00000,3759.00000,14.00000,3773.00000,477.00000,3296.00000,3296.00000,3293.00000,5112.00000,3759.00000,1133.00000,1174.00000,2.91000,2.81000
2018-08-31,8440.00000,3289.00000,5151.00000,567.00000,215.00000,8.00000,774.00000,4377.00000,-31.00000,4346.00000,20.00000,4326.00000,4326.00000,4325.00000,5685.00000,4377.00000,1152.00000,1229.00000,3.75000,3.55000
2018-05-31,7797.00000,3074.00000,4723.00000,603.00000,211.00000,44.00000,770.00000,3953.00000,-237.00000,3716.00000,-109.00000,3825.00000,3823.00000,3823.00000,5209.00000,3953.00000,1159.00000,1235.00000,3.30000,3.10000
2018-02-28,7351.00000,3081.00000,4270.00000,523.00000,196.00000,16.00000,703.00000,3567.00000,-114.00000,3453.00000,143.00000,3310.00000,3311.00000,3309.00000,4744.00000,3567.00000,1156.00000,1238.00000,2.86000,2.67000
2017-11-30,6803.00000,3056.00000,3747.00000,448.00000,191.00000,-11.00000,650.00000,3097.00000,-305.00000,2792.00000,114.00000,2678.00000,2678.00000,2678.00000,4216.00000,3097.00000,1134.00000,1225.00000,2.36000,2.19000
2017-08-31,6138.00000,3026.00000,3112.00000,447.00000,193.00000,30.00000,610.00000,2502.00000,-181.00000,2321.00000,-47.00000,2368.00000,2369.00000,2368.00000,3600.00000,2502.00000,1089.00000,1154.00000,2.20000,2.08000
2017-05-31,5566.00000,2957.00000,2609.00000,434.00000,204.00000,-8.00000,646.00000,1963.00000,-226.00000,1737.00000,92.00000,1645.00000,1647.00000,1647.00000,3014.00000,1963.00000,1106.00000,1177.00000,1.49000,1.40000
2017-02-28,4648.00000,2944.00000,1704.00000,473.00000,187.00000,0.00000,660.00000,1044.00000,-119.00000,925.00000,38.00000,887.00000,894.00000,894.00000,2078.00000,1044.00000,1099.00000,1160.00000,0.81000,0.77000
