,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,11001.00000,1961.00000,9040.00000,7471.00000,7496.00000,1544.00000,,1544.00000,312.00000,1232.00000,1232.00000,,1161.00000,382.60000,383.70000,3.03000,3.03000
2022-09-30,10002.00000,1197.00000,8805.00000,6601.00000,6618.00000,2187.00000,,2187.00000,493.00000,1694.00000,1694.00000,,1616.00000,383.40000,384.60000,4.21000,4.20000
2022-06-30,8810.00000,578.00000,8232.00000,5654.00000,5668.00000,2564.00000,,2564.00000,533.00000,2031.00000,2031.00000,0.00000,1949.00000,391.20000,392.60000,4.98000,4.96000
2022-03-31,8560.00000,387.00000,8173.00000,5214.00000,5228.00000,2945.00000,,2945.00000,542.00000,2403.00000,2403.00000,0.00000,2318.00000,410.40000,412.20000,5.65000,5.62000
2021-12-31,8499.00000,381.00000,8118.00000,5046.00000,5059.00000,3059.00000,,3059.00000,633.00000,2426.00000,2426.00000,-1.00000,2296.00000,442.50000,444.20000,5.52000,5.51000
2021-09-30,8212.00000,382.00000,7830.00000,3839.00000,3844.00000,3986.00000,,3986.00000,882.00000,3104.00000,3104.00000,,2987.00000,438.80000,440.50000,6.81000,6.78000
2021-06-30,7770.00000,396.00000,7374.00000,2801.00000,2806.00000,4568.00000,,4568.00000,1031.00000,3537.00000,3537.00000,-1.00000,3446.00000,450.60000,452.30000,7.65000,7.62000
2021-03-31,7552.00000,439.00000,7113.00000,2911.00000,2917.00000,4196.00000,,4196.00000,869.00000,3327.00000,3327.00000,-2.00000,3236.00000,458.60000,460.10000,7.06000,7.03000
2020-12-31,7855.00000,518.00000,7337.00000,4265.00000,4273.00000,3064.00000,,3064.00000,496.00000,2568.00000,2568.00000,-2.00000,2485.00000,457.80000,458.90000,5.43000,5.43000
2020-09-30,8041.00000,660.00000,7381.00000,3865.00000,3879.00000,3502.00000,,3502.00000,1096.00000,2406.00000,2406.00000,0.00000,2319.00000,457.80000,458.50000,5.07000,5.06000
2020-06-30,7414.00000,858.00000,6556.00000,8000.00000,8016.00000,-1460.00000,,-1460.00000,-543.00000,-917.00000,-917.00000,-1.00000,-1009.00000,456.70000,456.70000,-2.21000,-2.21000
2020-03-31,8333.00000,1084.00000,7249.00000,9130.00000,9152.00000,-1903.00000,,-1903.00000,-563.00000,-1340.00000,-1340.00000,0.00000,-1420.00000,457.60000,457.60000,-3.10000,-3.10000
2019-12-31,8631.00000,1204.00000,7427.00000,5951.00000,5979.00000,1448.00000,,1448.00000,270.00000,1178.00000,1178.00000,-2.00000,1041.00000,467.60000,469.90000,2.26000,2.26000
2019-09-30,8297.00000,1338.00000,6959.00000,5230.00000,5255.00000,1704.00000,,1704.00000,375.00000,1329.00000,1329.00000,4.00000,1270.00000,469.50000,471.80000,2.71000,2.69000
2019-06-30,8454.00000,1330.00000,7124.00000,5092.00000,5121.00000,2003.00000,,2003.00000,387.00000,1616.00000,1616.00000,9.00000,1533.00000,470.80000,473.00000,3.26000,3.24000
2019-03-31,8384.00000,1301.00000,7083.00000,5334.00000,5364.00000,1719.00000,,1719.00000,309.00000,1410.00000,1410.00000,2.00000,1348.00000,469.40000,471.60000,2.87000,2.86000
2018-12-31,8241.00000,1228.00000,7013.00000,5727.00000,5770.00000,1243.00000,,1243.00000,-21.00000,1264.00000,1264.00000,-3.00000,1172.00000,479.90000,483.10000,2.51000,2.50000
2018-09-30,8071.00000,1109.00000,6962.00000,4997.00000,5041.00000,1921.00000,,1921.00000,420.00000,1501.00000,1501.00000,1.00000,1440.00000,477.80000,480.90000,3.01000,2.99000
2018-06-30,8237.00000,1045.00000,7192.00000,4657.00000,4700.00000,2492.00000,,2492.00000,575.00000,1917.00000,1917.00000,-11.00000,1814.00000,485.10000,488.30000,3.74000,3.71000
2018-03-31,7828.00000,919.00000,6909.00000,5203.00000,5247.00000,1662.00000,,1662.00000,319.00000,1343.00000,1343.00000,3.00000,1284.00000,486.90000,490.80000,2.64000,2.62000
2017-12-31,7804.00000,791.00000,7013.00000,5644.00000,5705.00000,1308.00000,,1308.00000,2170.00000,-862.00000,-862.00000,-109.00000,-1043.00000,484.20000,488.60000,-2.16000,-2.13000
2017-09-30,7705.00000,720.00000,6985.00000,5339.00000,5400.00000,1585.00000,,1585.00000,448.00000,1137.00000,1137.00000,-30.00000,1047.00000,484.90000,489.00000,2.16000,2.14000
2017-06-30,7359.00000,655.00000,6704.00000,5153.00000,5214.00000,1490.00000,,1490.00000,443.00000,1047.00000,1047.00000,-11.00000,948.00000,484.00000,488.10000,1.96000,1.94000
2017-03-31,7131.00000,596.00000,6535.00000,5364.00000,5426.00000,1109.00000,,1109.00000,314.00000,795.00000,795.00000,15.00000,752.00000,482.30000,487.90000,1.56000,1.54000
2016-12-31,7128.00000,562.00000,6566.00000,5330.00000,5431.00000,1135.00000,,1135.00000,342.00000,793.00000,793.00000,-2.00000,710.00000,504.90000,509.80000,1.49000,1.46000
2016-09-30,6978.00000,517.00000,6461.00000,4860.00000,4949.00000,1512.00000,,1512.00000,496.00000,1016.00000,1016.00000,-11.00000,962.00000,501.10000,505.90000,1.92000,1.90000
2016-06-30,6732.00000,478.00000,6254.00000,4792.00000,4887.00000,1367.00000,,1367.00000,424.00000,943.00000,943.00000,-1.00000,871.00000,511.70000,516.50000,1.70000,1.69000
2016-03-31,6681.00000,461.00000,6220.00000,4649.00000,4750.00000,1470.00000,,1470.00000,452.00000,1018.00000,1018.00000,-5.00000,970.00000,523.50000,528.00000,1.85000,1.84000
2015-12-31,6617.00000,423.00000,6194.00000,4757.00000,4860.00000,1334.00000,,1334.00000,426.00000,908.00000,908.00000,12.00000,848.00000,541.80000,548.00000,1.60000,1.59000
2015-09-30,6304.00000,404.00000,5900.00000,4146.00000,4252.00000,1648.00000,,1648.00000,530.00000,1118.00000,1118.00000,-4.00000,1079.00000,540.60000,546.30000,2.00000,1.98000
2015-06-30,6072.00000,400.00000,5672.00000,4325.00000,4436.00000,1236.00000,,1236.00000,384.00000,852.00000,852.00000,11.00000,830.00000,545.60000,552.00000,1.52000,1.50000
2015-03-31,6045.00000,398.00000,5647.00000,3874.00000,3984.00000,1663.00000,,1663.00000,529.00000,1134.00000,1134.00000,19.00000,1115.00000,550.20000,557.20000,2.03000,2.00000
2014-12-31,6202.00000,389.00000,5813.00000,4270.00000,4393.00000,1420.00000,,1420.00000,450.00000,970.00000,970.00000,29.00000,974.00000,563.10000,571.90000,1.76000,1.73000
2014-09-30,6029.00000,390.00000,5639.00000,3848.00000,3978.00000,1661.00000,,1661.00000,536.00000,1125.00000,1125.00000,-44.00000,1056.00000,559.90000,567.90000,1.89000,1.86000
2014-06-30,5865.00000,397.00000,5468.00000,3547.00000,3683.00000,1785.00000,,1785.00000,581.00000,1204.00000,1204.00000,-10.00000,1177.00000,567.50000,577.60000,2.07000,2.04000
2014-03-31,5773.00000,403.00000,5370.00000,3524.00000,3667.00000,1703.00000,,1703.00000,579.00000,1124.00000,1124.00000,30.00000,1136.00000,571.00000,580.30000,1.99000,1.96000
2013-12-31,5960.00000,416.00000,5544.00000,4026.00000,4192.00000,1352.00000,,1352.00000,477.00000,875.00000,875.00000,-23.00000,835.00000,579.70000,587.60000,1.45000,1.43000
2013-09-30,6089.00000,438.00000,5651.00000,3797.00000,3958.00000,1693.00000,,1693.00000,575.00000,1118.00000,1118.00000,-13.00000,1087.00000,582.30000,591.10000,1.87000,1.84000
2013-06-30,6095.00000,457.00000,5638.00000,3613.00000,3780.00000,1858.00000,,1858.00000,631.00000,1227.00000,1227.00000,-119.00000,1091.00000,581.50000,588.80000,1.88000,1.85000
2013-03-31,6032.00000,481.00000,5551.00000,3699.00000,3876.00000,1675.00000,,1675.00000,541.00000,1134.00000,1134.00000,-78.00000,1038.00000,580.50000,586.30000,1.79000,1.77000
2012-12-31,6211.00000,587.00000,5624.00000,4333.00000,4524.00000,1100.00000,,1367.00000,544.00000,823.00000,823.00000,-5.00000,801.00000,561.10000,566.50000,1.24000,1.22000
2012-09-30,6390.00000,608.00000,5782.00000,3812.00000,4011.00000,1771.00000,-48.00000,1723.00000,535.00000,1188.00000,1188.00000,-10.00000,1173.00000,578.30000,584.10000,2.03000,2.01000
2012-06-30,5670.00000,615.00000,5055.00000,4529.00000,4686.00000,369.00000,-133.00000,236.00000,43.00000,193.00000,193.00000,-100.00000,92.00000,578.00000,583.00000,0.16000,0.16000
2012-03-31,5500.00000,565.00000,4935.00000,2929.00000,2991.00000,1944.00000,-86.00000,1858.00000,353.00000,1505.00000,1505.00000,-102.00000,1396.00000,509.00000,513.00000,2.74000,2.72000
2011-12-31,4569.00000,519.00000,4050.00000,3230.00000,3230.00000,820.00000,-27.00000,571.00000,160.00000,411.00000,411.00000,-4.00000,381.00000,455.50000,459.10000,0.83000,0.85000
2011-09-30,4706.00000,552.00000,4154.00000,2901.00000,2901.00000,1253.00000,-18.00000,1235.00000,370.00000,865.00000,865.00000,-52.00000,813.00000,456.00000,460.00000,1.78000,1.77000
2011-06-30,4556.00000,563.00000,3993.00000,2598.00000,2598.00000,1395.00000,,1395.00000,450.00000,945.00000,945.00000,-34.00000,911.00000,456.00000,462.00000,2.00000,1.97000
2011-03-31,4694.00000,612.00000,4082.00000,2696.00000,2696.00000,1386.00000,,1386.00000,354.00000,1032.00000,1032.00000,-16.00000,1016.00000,454.10000,460.30000,2.24000,2.21000
2010-12-31,4612.00000,650.00000,3962.00000,2629.00000,2629.00000,1333.00000,,1032.00000,332.00000,700.00000,700.00000,-4.00000,696.00000,452.00000,456.00000,1.54000,1.52000
2010-09-30,4722.00000,706.00000,4016.00000,2863.00000,2863.00000,1153.00000,,1153.00000,335.00000,818.00000,818.00000,-15.00000,803.00000,453.00000,457.00000,1.78000,1.76000
2010-06-30,4642.00000,738.00000,3904.00000,2723.00000,2723.00000,1181.00000,,1181.00000,369.00000,812.00000,812.00000,-204.00000,608.00000,452.00000,456.00000,1.34000,1.33000
