,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2246.00000,718.00000,1528.00000,1138.00000,1138.00000,390.00000,-11.00000,379.00000,74.00000,305.00000,305.00000,275.00000,58.98700,59.51600,4.64000,4.62000
2022-09-30,1880.00000,323.00000,1557.00000,957.00000,957.00000,600.00000,-7.00000,593.00000,175.00000,418.00000,418.00000,429.00000,59.09600,59.54900,7.26000,7.21000
2022-06-30,1636.00000,107.00000,1529.00000,1028.00000,1028.00000,501.00000,-16.00000,485.00000,132.00000,353.00000,353.00000,333.00000,58.93500,59.45400,5.65000,5.60000
2022-03-31,1639.00000,40.00000,1599.00000,868.00000,868.00000,731.00000,-16.00000,715.00000,182.00000,533.00000,533.00000,472.00000,58.80000,59.59900,8.03000,7.92000
2021-12-31,1536.00000,36.00000,1500.00000,923.00000,923.00000,577.00000,-27.00000,550.00000,142.00000,408.00000,408.00000,371.00000,55.76300,56.63800,5.98000,5.89000
2021-09-30,1556.00000,32.00000,1524.00000,817.00000,817.00000,707.00000,-83.00000,624.00000,149.00000,475.00000,475.00000,365.00000,57.72300,58.52100,6.33000,6.24000
2021-06-30,1512.00000,23.00000,1489.00000,669.00000,669.00000,820.00000,-19.00000,801.00000,173.00000,628.00000,628.00000,502.00000,54.35300,55.15200,9.23000,9.09000
2021-03-31,1423.00000,19.00000,1404.00000,655.00000,655.00000,749.00000,,749.00000,187.00000,562.00000,562.00000,532.00000,52.18000,53.07600,10.20000,10.03000
2020-12-31,1229.66400,15.73500,1213.92900,626.93490,626.93490,586.99410,,586.99400,148.64300,438.35100,438.35100,387.74700,51.68500,52.08400,7.52000,7.43000
2020-09-30,1090.00000,15.00000,1075.00000,439.00000,439.00000,636.00000,,636.00000,162.00000,474.00000,474.00000,442.00000,51.77300,52.14600,8.53000,8.47000
2020-06-30,893.00000,11.00000,882.00000,546.00000,546.00000,336.00000,,336.00000,88.00000,248.00000,248.00000,229.00000,51.58100,51.79500,4.44000,4.42000
2020-03-31,869.33590,43.26500,826.07090,643.06510,643.06510,183.00590,,183.00600,49.35700,133.64900,133.64900,132.25300,51.56500,51.94400,2.56000,2.55000
2019-12-31,902.19200,55.26000,846.93200,478.45700,478.45700,368.47500,,368.47500,93.37600,275.09900,275.09900,263.00000,51.91500,52.31100,5.10000,5.06000
2019-09-30,877.90100,63.24800,814.65300,427.86000,427.86000,386.79300,,386.79300,105.07500,281.71800,281.71800,267.28100,51.54500,51.85800,5.19000,5.15000
2019-06-30,919.51700,56.36400,863.15300,407.46800,407.46800,455.68500,,455.68500,119.11400,336.57100,336.57100,317.98700,51.95500,52.33600,6.12000,6.08000
2019-03-31,831.39000,38.12800,793.26200,394.21500,394.21500,399.04700,,399.04700,107.43500,291.61200,291.61200,288.73200,52.58700,53.10900,5.49000,5.44000
2018-12-31,729.60400,28.43700,701.16700,321.23600,321.23600,379.93100,,379.93110,105.00000,274.93100,274.93100,266.26410,53.07800,53.77200,5.02000,4.96000
2018-09-30,723.38300,20.09100,703.29200,326.61900,326.61900,376.67300,,376.67300,95.30800,281.36500,281.36500,274.81700,53.23500,53.91900,5.16000,5.10000
2018-06-30,673.99000,14.85800,659.13200,334.81900,334.81900,324.31300,,324.31300,77.28700,247.02600,247.02600,237.79800,53.06400,53.77600,4.48000,4.42000
2018-03-31,587.91600,12.53500,575.38100,293.38900,293.38900,281.99200,,281.99200,73.96600,208.02600,208.02600,194.96100,52.88300,53.68500,3.69000,3.63000
2017-12-31,557.28200,11.31000,545.97200,286.25700,286.25700,259.71500,,259.71500,135.05100,124.66400,124.66400,117.21000,52.58800,53.30600,2.23000,2.18000
2017-09-30,544.04900,11.29700,532.75200,281.28300,281.28300,251.46900,,251.46900,97.35100,154.11800,154.11800,148.62000,52.70500,53.30500,2.82000,2.79000
2017-06-30,482.45500,11.23100,471.22400,267.05200,267.05200,204.17200,,204.17200,71.65600,132.51600,132.51600,123.19300,52.53700,53.19400,2.34000,2.32000
2017-03-31,438.58500,10.93300,427.65200,268.36700,268.36700,159.28500,,159.28500,51.40500,107.88000,107.88000,101.48300,52.34400,53.17900,1.94000,1.91000
2016-12-31,420.83500,10.72800,410.10700,251.64000,251.64000,158.46700,,158.46700,54.82500,103.64200,103.64200,99.46600,51.91500,52.34900,1.92000,1.89000
2016-09-30,444.55300,11.25200,433.30100,240.77700,240.77700,192.52400,,192.52400,76.87700,115.64700,115.64700,111.08100,52.04600,52.41300,2.13000,2.12000
2016-06-30,406.76800,10.65600,396.11200,236.68500,236.68500,159.42700,,159.42700,65.04700,94.38000,94.38000,92.96400,51.83100,52.18700,1.79000,1.78000
2016-03-31,377.79200,10.23700,367.55500,237.37400,237.37400,130.18100,,130.18100,53.58400,76.59700,76.59700,79.17400,51.64600,52.08500,1.53000,1.52000
2015-12-31,393.73810,10.16300,383.57510,239.86900,239.86900,143.70610,,143.70600,53.69700,90.00900,90.00900,87.51200,51.31800,51.91600,1.69000,1.68000
2015-09-30,373.26800,10.13100,363.13700,218.15800,218.15800,144.97900,,144.97900,57.01700,87.96200,87.96200,81.73300,51.47900,52.04800,1.59000,1.57000
2015-06-30,380.21300,10.15500,370.05800,220.62500,220.62500,149.43300,,149.43300,54.97400,94.45900,94.45900,86.14300,51.26800,51.87600,1.68000,1.66000
2015-03-31,372.34000,9.89100,362.44900,196.99300,196.99300,165.45600,,165.45600,63.06600,102.39000,102.39000,88.51600,51.00900,51.71900,1.74000,1.71000
2014-12-31,411.36190,8.98800,402.37390,226.50200,226.50200,175.87190,,175.87200,46.07700,129.79500,129.79500,57.99000,48.93100,49.66200,1.09000,1.08000
2014-09-30,309.49300,8.76100,300.73200,196.37100,196.37100,104.36100,,104.36100,40.20700,64.15400,64.15400,63.97700,50.75200,51.57100,1.26000,1.24000
2014-06-30,228.05100,8.87600,219.17500,172.89100,172.89100,46.28400,,46.28400,35.92800,10.35600,10.35600,50.95300,48.16800,49.04500,1.06000,1.04000
2014-03-31,515.24900,8.69600,506.55300,170.90200,170.90200,335.65100,,335.65100,61.29600,274.35500,274.35500,90.95000,45.86600,46.72500,1.98000,1.95000
2013-12-31,434.09690,8.38600,425.71090,191.08400,191.08400,234.62690,,234.62700,43.05700,191.56990,191.56990,57.42100,45.30900,45.94400,1.26000,1.25000
2013-09-30,442.89000,8.14400,434.74600,171.16200,171.16200,263.58400,,263.58400,47.40400,216.18000,216.18000,67.62100,45.58000,46.20200,1.48000,1.46000
