,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,83846.00000,51728.00000,32118.00000,-28500.00000,28500.00000,3618.00000,-509.00000,3109.00000,809.00000,2300.00000,2300.00000,,2302.00000,4667.00000,3618.00000,1312.00000,1323.00000,1.75000,1.77000
2022-09-30,81159.00000,50365.00000,30794.00000,-34725.00000,34725.00000,-3931.00000,-525.00000,-4456.00000,-1047.00000,-3409.00000,-3409.00000,,-3416.00000,-2875.00000,-3931.00000,1315.00000,1315.00000,-2.60000,-2.60000
2022-06-30,80636.00000,49290.00000,31346.00000,-26777.00000,26777.00000,4569.00000,-540.00000,4029.00000,1068.00000,2961.00000,2961.00000,,2951.00000,5656.00000,4569.00000,1313.00000,1321.00000,2.25000,2.23000
2022-03-31,76826.00000,45509.00000,31317.00000,-27827.00000,27827.00000,3490.00000,-544.00000,2946.00000,633.00000,2313.00000,2313.00000,,2312.00000,4545.00000,3490.00000,1312.00000,1328.00000,1.76000,1.74000
2021-12-31,76604.00000,46378.00000,30226.00000,-27997.00000,27997.00000,2229.00000,-659.00000,1570.00000,274.00000,1296.00000,1296.00000,,1306.00000,3344.00000,2229.00000,1319.00000,1329.00000,0.99000,0.97000
2021-09-30,73794.00000,45011.00000,28783.00000,-25291.00000,25722.00000,3061.00000,-916.00000,2145.00000,558.00000,1587.00000,1587.00000,,1598.00000,4626.00000,3061.00000,1321.00000,1329.00000,1.21000,1.20000
2021-06-30,72616.00000,43520.00000,29096.00000,-24770.00000,24770.00000,4326.00000,-591.00000,3735.00000,944.00000,2791.00000,2791.00000,,2783.00000,5463.00000,4326.00000,1319.00000,1327.00000,2.11000,2.10000
2021-03-31,69097.00000,40894.00000,28203.00000,-24626.00000,24626.00000,3577.00000,-607.00000,2970.00000,746.00000,2224.00000,2224.00000,,2223.00000,4703.00000,3577.00000,1313.00000,1322.00000,1.69000,1.68000
2020-12-31,69554.00000,42452.00000,27102.00000,-24578.00000,24578.00000,2524.00000,-1299.00000,1225.00000,241.00000,984.00000,984.00000,,973.00000,3663.00000,2524.00000,1309.00000,1314.00000,0.74000,0.74000
2020-09-30,67056.00000,40940.00000,26116.00000,-22867.00000,22867.00000,3249.00000,-1443.00000,1806.00000,587.00000,1219.00000,1219.00000,,1224.00000,4363.00000,3249.00000,1310.00000,1315.00000,0.93000,0.93000
2020-06-30,65341.00000,40242.00000,25099.00000,-20419.00000,20419.00000,4680.00000,-720.00000,3960.00000,974.00000,2986.00000,2986.00000,,2975.00000,5782.00000,4680.00000,1309.00000,1314.00000,2.27000,2.26000
2020-03-31,66755.00000,40347.00000,26408.00000,-22950.00000,22950.00000,3458.00000,-679.00000,2779.00000,767.00000,2012.00000,2012.00000,,2007.00000,4544.00000,3458.00000,1306.00000,1312.00000,1.54000,1.53000
2019-12-31,66889.00000,42065.00000,24824.00000,-21787.00000,21787.00000,3037.00000,-703.00000,2334.00000,590.00000,1744.00000,1744.00000,,1747.00000,4133.00000,3037.00000,1301.00000,1305.00000,1.35000,1.33000
2019-09-30,64810.00000,40437.00000,24373.00000,-21445.00000,21445.00000,2928.00000,-795.00000,2133.00000,604.00000,1529.00000,1529.00000,,1530.00000,4020.00000,2928.00000,1302.00000,1305.00000,1.17000,1.17000
2019-06-30,63431.00000,38970.00000,24461.00000,-21129.00000,21129.00000,3332.00000,-741.00000,2591.00000,660.00000,1931.00000,1931.00000,,1936.00000,4404.00000,3332.00000,1301.00000,1302.00000,1.49000,1.49000
2019-03-31,61646.00000,37247.00000,24399.00000,-21709.00000,21709.00000,2690.00000,-751.00000,1939.00000,512.00000,1427.00000,1427.00000,,1421.00000,3801.00000,2690.00000,1298.00000,1302.00000,1.09000,1.09000
2018-12-31,54424.00000,40564.00000,13860.00000,-10808.00000,13036.00000,824.00000,-722.00000,102.00000,524.00000,-422.00000,-422.00000,1.00000,-419.00000,3859.00000,824.00000,1044.00000,1044.00000,-0.39000,-0.39000
2018-09-30,47490.00000,39502.00000,7988.00000,-5414.00000,5414.00000,2574.00000,-675.00000,1899.00000,509.00000,1390.00000,1390.00000,0.00000,1390.00000,3194.00000,2574.00000,1020.00000,1022.00000,1.36000,1.36000
2018-06-30,46922.00000,38876.00000,8046.00000,-5498.00000,9419.00000,-1373.00000,-692.00000,-2065.00000,497.00000,-2562.00000,-2562.00000,-1.00000,-2563.00000,3195.00000,-1373.00000,1018.00000,1018.00000,-2.52000,-2.52000
2018-03-31,45743.00000,37505.00000,8238.00000,-6242.00000,6242.00000,1996.00000,-526.00000,1470.00000,472.00000,998.00000,998.00000,,998.00000,2640.00000,1996.00000,1016.00000,1019.00000,0.98000,0.98000
2017-12-31,48406.00000,37682.00000,10724.00000,-7549.00000,7595.00000,3129.00000,-320.00000,2809.00000,-478.00000,3287.00000,3287.00000,,3287.00000,3797.00000,3129.00000,1020.00000,1024.00000,3.22000,3.19000
2017-09-30,46181.00000,39064.00000,7117.00000,-4618.00000,4618.00000,2499.00000,-437.00000,2062.00000,777.00000,1285.00000,1285.00000,0.00000,1285.00000,3114.00000,2499.00000,1016.00000,1020.00000,1.26000,1.26000
2017-06-30,45685.00000,38759.00000,6926.00000,-4674.00000,4809.00000,2117.00000,-254.00000,1863.00000,766.00000,1097.00000,1097.00000,1.00000,1098.00000,2875.00000,2117.00000,1019.00000,1024.00000,1.07000,1.07000
2017-03-31,44514.00000,37943.00000,6571.00000,-4778.00000,4778.00000,1793.00000,-259.00000,1534.00000,572.00000,962.00000,962.00000,-9.00000,952.00000,2412.00000,1793.00000,1030.00000,1035.00000,0.92000,0.92000
2016-12-31,45991.00000,36229.00000,9762.00000,-6742.00000,6742.00000,3020.00000,-267.00000,2753.00000,1046.00000,1707.00000,1707.00000,,1707.00000,3648.00000,3020.00000,1073.00000,1079.00000,1.59000,1.57000
2016-09-30,44615.00000,37123.00000,7492.00000,-4668.00000,4668.00000,2824.00000,-361.00000,2463.00000,921.00000,1542.00000,1542.00000,-1.00000,1540.00000,3435.00000,2824.00000,1068.00000,1073.00000,1.44000,1.43000
2016-06-30,43725.00000,36710.00000,7015.00000,-4658.00000,4658.00000,2357.00000,-829.00000,1528.00000,604.00000,924.00000,924.00000,0.00000,924.00000,2976.00000,2357.00000,1070.00000,1075.00000,0.86000,0.86000
2016-03-31,43215.00000,36471.00000,6744.00000,-4559.00000,4559.00000,2185.00000,-292.00000,1893.00000,746.00000,1147.00000,1147.00000,0.00000,1146.00000,2802.00000,2185.00000,1092.00000,1099.00000,1.04000,1.04000
2015-12-31,41145.00000,33844.00000,7301.00000,-4551.00000,4551.00000,2750.00000,-298.00000,2452.00000,952.00000,1500.00000,1500.00000,-1.00000,1498.00000,3332.00000,2750.00000,1118.00000,1126.00000,1.34000,1.33000
2015-09-30,38644.00000,31983.00000,6661.00000,-4330.00000,4330.00000,2331.00000,-261.00000,2070.00000,833.00000,1237.00000,1237.00000,10.00000,1246.00000,2863.00000,2331.00000,1114.00000,1121.00000,1.11000,1.11000
2015-06-30,37169.00000,30767.00000,6402.00000,-4140.00000,4140.00000,2262.00000,-166.00000,2096.00000,824.00000,1272.00000,1272.00000,,1272.00000,2750.00000,2262.00000,1124.00000,1132.00000,1.13000,1.12000
2015-03-31,36332.00000,30168.00000,6164.00000,-4032.00000,4032.00000,2132.00000,-134.00000,1998.00000,777.00000,1221.00000,1221.00000,,1221.00000,2622.00000,2132.00000,1128.00000,1136.00000,1.08000,1.07000
2014-12-31,37055.00000,30422.00000,6633.00000,-4312.00000,4312.00000,2321.00000,-131.00000,2190.00000,868.00000,1322.00000,1322.00000,,1321.00000,2810.00000,2321.00000,1161.00000,1169.00000,1.13000,1.14000
2014-09-30,35021.00000,28553.00000,6468.00000,-4222.00000,4222.00000,2246.00000,-674.00000,1572.00000,624.00000,948.00000,948.00000,0.00000,948.00000,2723.00000,2246.00000,1157.00000,1164.00000,0.82000,0.81000
2014-06-30,34602.00000,28278.00000,6324.00000,-4116.00000,4116.00000,2208.00000,-158.00000,2050.00000,804.00000,1246.00000,1246.00000,,1246.00000,2696.00000,2208.00000,1165.00000,1174.00000,1.07000,1.06000
2014-03-31,32689.00000,26747.00000,5942.00000,-3918.00000,3918.00000,2024.00000,-158.00000,1866.00000,737.00000,1129.00000,1129.00000,,1129.00000,2501.00000,2024.00000,1180.00000,1190.00000,0.96000,0.95000
