,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,56473.00000,33434.00000,23039.00000,453.00000,1454.00000,-6437.00000,13231.00000,9808.00000,9808.00000,3430.00000,6378.00000,6378.00000,6353.00000,14695.00000,9931.00000,1931.00000,1940.00000,3.34000,3.33000
2022-09-30,66644.00000,39797.00000,26847.00000,116.00000,1028.00000,-6565.00000,12038.00000,14809.00000,14809.00000,3571.00000,11238.00000,11238.00000,11231.00000,19138.00000,14937.00000,1932.23800,1940.00200,5.81000,5.78000
2022-06-30,68762.00000,41566.00000,27196.00000,196.00000,863.00000,-6305.00000,11193.00000,16003.00000,16003.00000,4288.00000,11715.00000,11715.00000,11622.00000,19832.00000,16132.00000,1947.70300,1957.10900,5.98000,5.95000
2022-03-31,54373.00000,34651.00000,19722.00000,209.00000,967.00000,-5702.00000,10668.00000,9054.00000,9054.00000,2777.00000,6277.00000,6277.00000,6259.00000,12844.00000,9190.00000,1935.66800,1944.54200,3.23000,3.22000
2021-12-31,48129.00000,29120.00000,19009.00000,192.00000,1271.00000,-5593.00000,12024.00000,6985.00000,6985.00000,1903.00000,5082.00000,5082.00000,5055.00000,11953.00000,7140.00000,1916.00000,1920.00000,2.63000,2.63000
2021-09-30,44710.00000,25909.00000,18801.00000,158.00000,657.00000,-5453.00000,10746.00000,8055.00000,8055.00000,1940.00000,6115.00000,6115.00000,6111.00000,12533.00000,8229.00000,1918.00600,1921.09500,3.19000,3.19000
2021-06-30,37597.00000,22195.00000,15402.00000,113.00000,1096.00000,-5064.00000,10980.00000,4422.00000,4422.00000,1328.00000,3094.00000,3094.00000,3082.00000,9129.00000,4607.00000,1917.53600,1921.95800,1.61000,1.60000
2021-03-31,32029.00000,18988.00000,13041.00000,86.00000,990.00000,-5304.00000,10864.00000,2177.00000,2177.00000,779.00000,1398.00000,1398.00000,1377.00000,6661.00000,2375.00000,1912.92500,1915.88900,0.72000,0.72000
2020-12-31,25246.00000,14663.00000,10583.00000,367.00000,1129.00000,-5359.00000,11540.00000,-957.00000,-957.00000,-301.00000,-656.00000,-656.00000,-665.00000,3728.00000,-758.00000,1870.00000,1870.00000,-0.33000,-0.33000
2020-09-30,24451.00000,14539.00000,9912.00000,117.00000,832.00000,-4826.00000,9956.00000,-44.00000,-44.00000,165.00000,-209.00000,-209.00000,-207.00000,4137.00000,120.00000,1853.53300,1853.53300,-0.12000,-0.12000
2020-06-30,13494.00000,9109.00000,4385.00000,895.00000,1569.00000,-5629.00000,14982.00000,-10597.00000,-10597.00000,-2320.00000,-8277.00000,-8277.00000,-8270.00000,-3708.00000,-10425.00000,1853.31300,1853.31300,-4.44000,-4.44000
