,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2479.00000,2479.00000,1902.00000,-449.00000,23.00000,12.00000,35.00000,13.00000,22.00000,22.00000,22.00000,128.00000,23.00000,126.65700,127.89900,0.18000,0.19000
2022-09-30,2828.00000,2828.00000,2109.00000,-553.00000,62.00000,3.00000,65.00000,25.00000,40.00000,40.00000,40.00000,166.00000,62.00000,126.78300,128.37000,0.32000,0.31000
2022-06-30,2658.00000,2658.00000,1938.00000,-429.00000,187.00000,-2.00000,185.00000,46.00000,139.00000,139.00000,139.00000,291.00000,187.00000,126.54300,127.79500,1.10000,1.09000
2022-03-31,1681.00000,1681.00000,1476.00000,-305.00000,-202.00000,-4.00000,-206.00000,-63.00000,-143.00000,-143.00000,-143.00000,-100.00000,-202.00000,125.98400,125.98400,-1.14000,-1.14000
2021-12-31,1899.00000,1899.00000,1522.00000,-238.00000,39.00000,-10.00000,29.00000,11.00000,18.00000,18.00000,18.00000,139.00000,39.00000,125.06300,126.77500,0.14000,0.16000
2021-09-30,1953.00000,1953.00000,1398.00000,-198.00000,258.00000,-13.00000,245.00000,51.00000,194.00000,194.00000,194.00000,357.00000,258.00000,125.25000,127.18800,1.55000,1.53000
2021-06-30,1527.00000,1527.00000,1222.00000,342.00000,549.00000,-21.00000,528.00000,131.00000,397.00000,397.00000,397.00000,647.00000,549.00000,124.97700,126.82500,3.18000,3.13000
2021-03-31,797.00000,797.00000,1075.00000,214.00000,-161.00000,-12.00000,-173.00000,-42.00000,-131.00000,-131.00000,-131.00000,-64.00000,-161.00000,124.29900,124.29900,-1.05000,-1.05000
2020-12-31,808.00000,808.00000,951.00000,-350.00000,-595.00000,-48.00000,-643.00000,-196.00000,-447.00000,-447.00000,-447.00000,-495.00000,-595.00000,123.45000,123.45000,-3.60000,-3.60000
2020-09-30,701.00000,701.00000,961.00000,-206.00000,-571.00000,-18.00000,-589.00000,-158.00000,-431.00000,-431.00000,-431.00000,-466.00000,-571.00000,123.64700,123.64700,-3.49000,-3.49000
2020-06-30,421.00000,421.00000,774.00000,173.00000,-288.00000,-3.00000,-291.00000,-77.00000,-214.00000,-214.00000,-214.00000,-181.00000,-288.00000,123.29600,123.29600,-1.74000,-1.74000
2020-03-31,1636.00000,1636.00000,1499.00000,-347.00000,-321.00000,4.00000,-317.00000,-85.00000,-232.00000,-232.00000,-232.00000,-213.00000,-321.00000,122.81800,122.81800,-1.89000,-1.89000
2019-12-31,2228.00000,2228.00000,1638.00000,-227.00000,252.00000,-9.00000,243.00000,62.00000,181.00000,181.00000,181.00000,358.00000,252.00000,123.27900,124.28900,1.48000,1.45000
2019-09-30,2389.00000,2389.00000,1631.00000,-225.00000,422.00000,-6.00000,416.00000,94.00000,322.00000,322.00000,322.00000,528.00000,422.00000,123.28000,124.06700,2.61000,2.60000
2019-06-30,2288.00000,2288.00000,1589.00000,-222.00000,364.00000,-13.00000,351.00000,89.00000,262.00000,262.00000,262.00000,469.00000,364.00000,123.41800,124.30100,2.12000,2.11000
