,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,13830.00000,3881.00000,9949.00000,3775.00000,2687.00000,6462.00000,3487.00000,26.00000,3513.00000,495.00000,3018.00000,3018.00000,,3017.00000,,3487.00000,2536.00000,2548.00000,1.19000,1.18000
2022-09-30,14959.00000,3934.00000,11025.00000,4399.00000,2520.00000,6919.00000,4106.00000,-523.00000,3583.00000,330.00000,3253.00000,3253.00000,,3248.00000,5065.00000,4106.00000,2533.00000,2542.00000,1.28000,1.28000
2022-06-30,14593.00000,4216.00000,10377.00000,2798.00000,2512.00000,5310.00000,5067.00000,-580.00000,4487.00000,538.00000,3949.00000,3949.00000,,3944.00000,6005.00000,5067.00000,2531.00000,2540.00000,1.56000,1.55000
2022-03-31,15901.00000,5380.00000,10521.00000,2576.00000,2323.00000,4899.00000,5622.00000,-761.00000,4861.00000,554.00000,4307.00000,4307.00000,,4310.00000,6742.00000,5622.00000,2528.00000,2537.00000,1.70000,1.70000
2021-12-31,13521.00000,3873.00000,9648.00000,3067.00000,2830.00000,5897.00000,3751.00000,158.00000,3909.00000,85.00000,3824.00000,3824.00000,372.00000,3758.00000,4586.00000,3751.00000,2530.00000,2538.00000,1.48000,1.48000
2021-09-30,13154.00000,3450.00000,9704.00000,2445.00000,2336.00000,4781.00000,4923.00000,343.00000,5266.00000,695.00000,4571.00000,4571.00000,,4567.00000,5682.00000,4923.00000,2530.00000,2536.00000,1.81000,1.80000
2021-06-30,11402.00000,3104.00000,8298.00000,4321.00000,2281.00000,6602.00000,1696.00000,21.00000,1717.00000,503.00000,1214.00000,1214.00000,332.00000,1545.00000,2424.00000,1696.00000,2533.00000,2540.00000,0.61000,0.61000
2021-03-31,10627.00000,3199.00000,7428.00000,2412.00000,2187.00000,4599.00000,2829.00000,158.00000,2987.00000,238.00000,2749.00000,2749.00000,,3179.00000,3721.00000,2829.00000,2531.00000,2541.00000,1.26000,1.25000
2020-12-31,9179.00000,4546.00000,4633.00000,5754.00000,2255.00000,8009.00000,-3376.00000,-46.00000,-3422.00000,-55.00000,-3367.00000,-3367.00000,1270.00000,-2095.00000,-2493.00000,-3376.00000,2530.00000,2541.00000,-0.83000,-0.82000
2020-09-30,10929.00000,3013.00000,7916.00000,3349.00000,2060.00000,5409.00000,2507.00000,199.00000,2706.00000,380.00000,2326.00000,2326.00000,617.00000,2941.00000,3314.00000,2507.00000,2529.00000,2538.00000,1.16000,1.16000
2020-06-30,9353.00000,2747.00000,6606.00000,2085.00000,2085.00000,4170.00000,2436.00000,305.00000,2741.00000,396.00000,2345.00000,2345.00000,661.00000,3002.00000,3411.00000,2436.00000,2527.00000,2536.00000,1.19000,1.18000
