,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1524.20000,1524.20000,1036.70000,-234.40000,253.10000,135.70000,388.80000,99.20000,289.60000,289.60000,259.50000,,253.10000,223.70000,224.60000,1.16000,1.16000
2022-09-30,1588.20000,1588.20000,937.99990,-75.60000,574.60000,-82.80000,491.80000,134.00000,357.80000,357.80000,375.20000,683.10000,574.60000,225.30000,226.30000,1.67000,1.66000
2022-06-30,1513.00000,1513.00000,768.10000,-76.30000,668.60000,-279.90000,388.70000,100.90000,287.80000,287.80000,332.20000,776.10000,668.60000,226.70000,227.90000,1.47000,1.46000
2022-03-31,1863.00000,1863.00000,905.20010,-80.40000,877.39990,-198.50000,678.90000,164.50000,514.40000,514.40000,554.90000,985.79990,877.39990,228.20000,229.80000,2.43000,2.41000
2021-12-31,1961.70000,1961.70000,1017.50000,-81.70000,862.49960,50.10000,912.60020,179.00000,733.60020,733.60020,721.70000,916.19960,862.49960,226.60000,228.80000,3.21000,3.18000
2021-09-30,1954.10000,1954.10000,887.59990,-70.30000,996.20010,-11.50000,984.70000,227.30000,757.40000,757.40000,757.70000,1047.90000,996.20010,226.90000,229.10000,3.34000,3.31000
2021-06-30,1929.30000,1929.30000,927.90000,-43.30000,958.10000,143.90000,1102.00000,259.30000,842.70000,842.70000,793.50000,1008.50000,958.10000,226.90000,229.20000,3.50000,3.46000
2021-03-31,1826.80000,1826.80000,892.60000,-41.00000,893.20010,102.10000,995.30000,230.50000,764.80000,764.80000,729.50000,942.20010,893.20010,227.70000,230.00000,3.20000,3.17000
2020-12-31,1732.90100,1732.90100,939.49980,-37.50000,755.90040,390.10000,1146.00000,216.40000,929.59990,929.59990,762.19990,801.50040,755.90010,228.80000,231.20000,3.32000,3.29000
2020-09-30,1595.80000,1595.80000,830.10000,-36.80000,728.90010,191.60000,920.50000,221.90000,698.60000,698.60000,625.30000,778.60010,728.90010,227.00000,229.40000,2.75000,2.73000
2020-06-30,1415.40000,1415.40000,822.10000,-39.60000,553.70000,415.10000,968.80000,240.30000,728.50000,728.50000,586.20000,601.90000,553.70000,227.40000,229.50000,2.58000,2.55000
2020-03-31,1462.60000,1462.60000,713.80000,-41.60000,707.20000,-500.30000,206.90000,40.30000,166.60000,166.60000,333.70000,753.29990,707.20000,234.10000,236.80000,1.43000,1.41000
2019-12-31,1468.70000,1468.70000,850.80010,-37.60000,580.30050,170.00000,750.30020,156.40000,593.89990,593.89990,530.70010,639.40050,580.30010,235.40000,238.60000,2.27000,2.23000
2019-09-30,1426.70000,1426.70000,729.60000,-38.00000,659.10000,43.00000,702.10000,157.00000,545.10000,545.10000,532.00000,704.80000,659.10000,234.90000,238.20000,2.26000,2.23000
2019-06-30,1395.20000,1395.20000,746.70010,-33.40000,615.09990,124.50000,739.60000,183.70000,555.90000,555.90000,513.70000,659.19980,615.09990,235.90000,239.20000,2.18000,2.15000
2019-03-31,1327.30000,1327.30000,750.60000,-44.20000,532.50010,202.80000,735.30000,181.30000,554.00000,554.00000,499.60000,574.40010,532.50010,236.60000,239.60000,2.11000,2.09000
2018-12-31,1305.00000,1305.00000,737.90010,-24.80000,542.30000,-151.90000,390.40010,118.40010,272.00010,272.00010,386.69990,586.90000,542.30030,242.20000,246.90000,1.45000,1.43000
2018-09-30,1394.60000,1394.60000,716.10000,-37.90000,640.59990,124.90000,765.50000,183.90000,581.60000,581.60000,569.30000,680.79990,640.59990,242.80000,247.50000,2.34000,2.30000
2018-06-30,1345.00000,1345.00000,713.20000,-37.10000,594.70000,34.10000,628.80000,169.20000,459.60000,459.60000,438.40000,632.50000,594.70000,242.20000,247.40000,1.81000,1.77000
2018-03-31,1328.00000,1328.00000,702.10000,-42.10000,583.80000,16.10000,599.90000,144.40000,455.50000,455.50000,443.10000,620.70010,583.80000,244.30000,249.80000,1.81000,1.77000
2017-12-31,1297.60000,1297.60000,731.49990,-35.10000,531.00010,102.00000,633.00010,246.40000,386.60010,386.60010,339.20000,567.70010,530.99990,241.20000,245.10000,1.40000,1.37000
2017-09-30,1238.70000,1238.70000,652.30000,-37.90000,548.49990,67.30000,615.80000,211.60000,404.20000,404.20000,382.10000,583.49990,548.49990,240.30000,244.40000,1.59000,1.56000
2017-06-30,1186.00000,1186.00000,644.00000,-34.40000,507.60000,112.00000,619.60000,229.60000,390.00000,390.00000,365.40000,543.90000,507.60000,239.80000,243.00000,1.52000,1.50000
2017-03-31,1132.60000,1132.60000,622.30000,11.40000,521.70000,115.00000,636.70000,236.30000,400.40000,400.40000,377.20000,557.30000,521.70000,242.10000,245.50000,1.56000,1.54000
2016-12-31,1153.10000,1153.10000,946.70020,256.90000,563.30000,12.20000,575.50000,208.70000,366.80000,366.80000,371.40000,596.70000,563.30000,245.50000,250.30000,1.53000,1.50000
2016-09-30,1092.90000,1092.90000,482.90000,-100.30000,475.70000,88.30000,564.00000,201.30000,362.70000,362.70000,320.50000,509.70000,475.70000,245.60000,250.10000,1.30000,1.28000
2016-06-30,1044.70000,1044.70000,462.30000,-265.10000,283.50000,41.50000,325.00000,113.80000,211.20000,211.20000,199.30000,317.30000,283.50000,246.90000,252.60000,0.81000,0.79000
2016-03-31,994.10000,994.10000,453.60000,-97.40000,410.90000,85.10000,496.00000,182.70000,313.30000,313.30000,298.30000,443.10000,410.90000,246.70000,251.50000,1.21000,1.18000
2015-12-31,1052.20000,1052.20000,461.79990,-103.50000,455.00040,43.40000,498.40010,195.20000,303.20010,303.20010,303.70000,486.90040,455.00020,254.60000,260.90000,1.22000,1.20000
2015-09-30,1049.00000,1049.00000,471.00000,-86.60000,458.30000,0.30000,458.60000,181.50000,277.10000,277.10000,273.00000,491.40010,458.30000,252.70000,258.60000,1.08000,1.06000
2015-06-30,1072.40000,1072.40000,453.60000,-78.80000,507.80000,33.00000,540.80000,207.60000,333.20000,333.20000,329.10000,540.00010,507.80000,257.70000,264.60000,1.28000,1.24000
2015-03-31,1027.00000,1027.00000,447.60000,-72.50000,477.80000,26.80000,504.60000,195.10000,309.50000,309.50000,301.10000,506.90010,477.80000,258.70000,265.70000,1.16000,1.13000
2014-12-31,1022.40000,1022.40000,437.70000,-76.40000,480.00010,38.80000,518.79990,202.90000,315.89990,315.89990,312.10010,508.30010,480.00020,259.60000,267.40000,1.21000,1.18000
