,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1513.00000,1110.00000,403.00000,9.00000,63.00000,183.00000,220.00000,-72.00000,148.00000,37.00000,111.00000,111.00000,,111.00000,287.00000,220.00000,416.00000,421.00000,0.27000,0.26000
2022-09-30,1433.00000,1056.00000,377.00000,7.00000,73.00000,149.00000,228.00000,-124.00000,104.00000,24.00000,80.00000,80.00000,,79.00000,293.00000,228.00000,415.00000,420.00000,0.19000,0.19000
2022-06-30,1393.00000,987.00000,406.00000,9.00000,83.00000,165.00000,241.00000,-58.00000,183.00000,36.00000,147.00000,147.00000,,147.00000,308.00000,241.00000,417.00000,422.00000,0.35000,0.35000
2022-03-31,1324.00000,950.00000,374.00000,7.00000,69.00000,144.00000,230.00000,-59.00000,171.00000,40.00000,131.00000,131.00000,,130.00000,296.00000,230.00000,419.00000,425.00000,0.31000,0.31000
2021-12-31,1285.00000,938.00000,347.00000,4.00000,61.00000,200.00000,147.00000,-69.00000,78.00000,1.00000,77.00000,77.00000,,77.00000,214.00000,147.00000,430.00000,435.00000,0.19000,0.18000
2021-09-30,1283.00000,928.00000,355.00000,4.00000,70.00000,150.00000,205.00000,-182.00000,23.00000,-4.00000,27.00000,27.00000,,26.00000,273.00000,205.00000,429.00000,434.00000,0.06000,0.06000
2021-06-30,1195.00000,857.00000,338.00000,4.00000,55.00000,131.00000,207.00000,-97.00000,110.00000,36.00000,74.00000,74.00000,,74.00000,274.00000,207.00000,432.00000,437.00000,0.17000,0.17000
2021-03-31,1209.00000,873.00000,336.00000,5.00000,65.00000,147.00000,189.00000,-76.00000,113.00000,33.00000,80.00000,80.00000,,79.00000,257.00000,189.00000,434.00000,439.00000,0.18000,0.18000
2020-12-31,1238.00000,872.00000,366.00000,4.00000,58.00000,145.00000,221.00000,-150.00000,71.00000,-35.00000,106.00000,106.00000,,106.00000,288.00000,221.00000,433.28100,437.97900,0.24000,0.24000
2020-09-30,1134.00000,900.00000,234.00000,5.00000,66.00000,161.00000,73.00000,-85.00000,-12.00000,-48.00000,36.00000,36.00000,,35.00000,141.00000,73.00000,436.00000,439.00000,0.08000,0.08000
2020-06-30,1253.00000,923.00000,330.00000,4.00000,74.00000,256.00000,74.00000,-160.00000,-86.00000,-2.00000,-84.00000,-84.00000,-12.00000,-96.00000,148.00000,74.00000,436.00000,436.00000,-0.22000,-0.22000
2020-03-31,1634.00000,1183.00000,451.00000,4.00000,79.00000,193.00000,258.00000,-60.00000,198.00000,45.00000,153.00000,153.00000,62.00000,214.00000,387.00000,258.00000,435.00000,440.00000,0.49000,0.49000
2019-12-31,1734.00000,1269.00000,465.00000,6.00000,93.00000,180.00000,285.00000,-87.00000,198.00000,80.00000,118.00000,118.00000,191.00000,309.00000,414.00000,285.00000,432.80200,441.94200,0.71000,0.71000
2019-09-30,1794.00000,1317.00000,477.00000,6.00000,89.00000,221.00000,256.00000,-93.00000,163.00000,105.00000,58.00000,58.00000,37.00000,94.00000,387.00000,256.00000,436.00000,457.00000,0.22000,0.22000
2019-06-30,1818.00000,1335.00000,483.00000,7.00000,102.00000,659.00000,-176.00000,-92.00000,-268.00000,-132.00000,-136.00000,-136.00000,15.00000,-121.00000,-37.00000,-176.00000,445.00000,445.00000,-0.28000,-0.28000
2019-03-31,3541.00000,2818.00000,723.00000,22.00000,178.00000,349.00000,374.00000,-117.00000,257.00000,70.00000,187.00000,187.00000,,186.00000,511.00000,374.00000,471.00000,489.00000,0.40000,0.39000
2018-12-31,3472.00000,2845.00000,627.00000,26.00000,140.00000,304.00000,323.00000,-97.00000,226.00000,8.00000,218.00000,218.00000,,218.00000,472.00000,323.00000,483.23900,503.01900,0.45000,0.44000
2018-09-30,3524.00000,2881.00000,643.00000,25.00000,134.00000,298.00000,345.00000,-96.00000,249.00000,88.00000,161.00000,161.00000,,160.00000,486.00000,345.00000,483.00000,502.00000,0.33000,0.32000
2018-06-30,3573.00000,2903.00000,670.00000,29.00000,158.00000,346.00000,324.00000,-130.00000,194.00000,74.00000,120.00000,120.00000,,120.00000,468.00000,324.00000,483.00000,502.00000,0.25000,0.24000
2018-03-31,3445.00000,2768.00000,677.00000,23.00000,172.00000,344.00000,333.00000,-134.00000,199.00000,56.00000,143.00000,143.00000,,142.00000,475.00000,333.00000,482.00000,503.00000,0.30000,0.29000
2017-12-31,3271.00000,2623.00000,648.00000,28.00000,146.00000,1081.00000,-433.00000,-22.00000,-455.00000,272.00000,-727.00000,-727.00000,,-727.00000,427.00000,-433.00000,451.00000,451.00000,-1.64000,-1.58000
2017-09-30,3236.00000,2591.00000,645.00000,24.00000,152.00000,335.00000,310.00000,-138.00000,172.00000,53.00000,119.00000,119.00000,,101.00000,450.00000,310.00000,442.00000,462.00000,0.23000,0.22000
2017-06-30,3261.00000,2549.00000,712.00000,29.00000,200.00000,392.00000,320.00000,-51.00000,269.00000,57.00000,212.00000,212.00000,,194.00000,457.00000,320.00000,441.00000,462.00000,0.44000,0.43000
2017-03-31,3192.00000,2458.00000,734.00000,28.00000,217.00000,451.00000,283.00000,201.00000,484.00000,162.00000,322.00000,322.00000,,305.00000,416.00000,283.00000,440.00000,499.00000,0.69000,0.65000
2016-12-31,2967.00000,2375.00000,592.00000,39.00000,269.00000,563.00000,29.00000,-74.00000,-45.00000,1236.00000,-1281.00000,-1281.00000,38.00000,-1248.00000,223.00000,29.00000,438.48700,438.48700,-2.88000,-2.88000
2016-09-30,3138.00000,2503.00000,635.00000,30.00000,229.00000,398.00000,237.00000,-115.00000,122.00000,56.00000,66.00000,66.00000,120.00000,148.00000,553.00000,237.00000,438.00000,453.00000,0.34000,0.33000
2016-06-30,3234.00000,2533.00000,701.00000,32.00000,239.00000,418.00000,283.00000,-107.00000,176.00000,123.00000,53.00000,53.00000,125.00000,118.00000,596.00000,283.00000,438.00000,452.00000,0.27000,0.27000
2016-03-31,3055.00000,2400.00000,655.00000,31.00000,205.00000,385.00000,270.00000,-109.00000,161.00000,51.00000,110.00000,110.00000,-99.00000,-2.00000,579.00000,270.00000,438.00000,438.00000,0.00000,0.00000
2015-12-31,5245.00000,4404.00000,841.00000,60.00000,262.00000,1178.00000,-337.00000,-183.00000,-520.00000,44.00000,-564.00000,-564.00000,,-500.00000,9.00000,-337.00000,436.66000,436.66000,-1.17010,-1.17010
2015-09-30,5573.00000,4559.00000,1014.00000,55.00000,261.00000,700.00000,314.00000,-108.00000,206.00000,100.00000,106.00000,106.00000,,26.00000,632.00000,314.00000,427.00000,431.00000,0.06000,0.06000
2015-06-30,5897.00000,4663.00000,1234.00000,68.00000,224.00000,828.00000,406.00000,-124.00000,282.00000,75.00000,207.00000,207.00000,,123.00000,726.00000,406.00000,407.29260,412.29210,0.30000,0.30000
2015-03-31,5819.00000,4443.00000,1376.00000,55.00000,232.00000,785.00000,591.00000,-110.00000,481.00000,226.00000,255.00000,255.00000,,178.00000,912.00000,591.00000,406.95930,412.62540,0.45000,0.42000
2014-12-31,6377.00000,4973.00000,1404.00000,60.00000,271.00000,1054.00000,350.00000,-116.00000,234.00000,120.00000,114.00000,114.00000,,159.00000,686.00000,350.00000,398.70450,405.74270,0.36000,0.33000
2014-09-30,6239.00000,4904.00000,1335.00000,57.00000,243.00000,856.00000,479.00000,-149.00000,330.00000,199.00000,131.00000,131.00000,,149.00000,825.00000,479.00000,392.29410,401.62650,0.39000,0.36000
2014-06-30,5836.00000,4765.00000,1071.00000,50.00000,245.00000,754.00000,317.00000,-110.00000,207.00000,78.00000,129.00000,129.00000,,138.00000,667.00000,317.00000,390.96090,396.29370,0.36000,0.36000
2014-03-31,5454.00000,4495.00000,959.00000,51.00000,236.00000,1088.00000,-129.00000,-145.00000,-274.00000,-77.00000,-197.00000,-197.00000,,-179.00000,211.00000,-129.00000,366.96330,366.96330,-0.48000,-0.48000
2013-12-31,5585.00000,4708.00000,877.00000,57.00000,255.00000,1042.00000,-165.00000,-1833.00000,-1998.00000,312.00000,-2310.00000,-2310.00000,,-2339.00000,1916.00000,-165.00000,356.63100,356.63100,-6.57070,-6.54070
2013-09-30,5765.00000,4798.00000,967.00000,44.00000,248.00000,791.00000,176.00000,-101.00000,75.00000,31.00000,44.00000,44.00000,,23.00000,524.00000,176.00000,356.63100,359.63070,0.06000,0.06000
2013-06-30,5849.00000,4933.00000,916.00000,46.00000,254.00000,906.00000,10.00000,-137.00000,-127.00000,21.00000,-148.00000,-148.00000,,-119.00000,373.00000,10.00000,356.29770,356.29770,-0.33000,-0.33000
2013-03-31,5833.00000,4847.00000,986.00000,45.00000,251.00000,664.00000,322.00000,-88.00000,234.00000,64.00000,170.00000,170.00000,,148.00000,683.00000,322.00000,356.29770,389.62770,0.42000,0.39000
2012-12-31,5898.00000,4883.00000,1015.00000,56.00000,277.00000,840.00000,175.00000,225.00000,400.00000,143.00000,257.00000,257.00000,,242.00000,538.00000,175.00000,355.63110,358.63080,0.66010,0.66010
