,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,18991.00000,16689.00000,2302.00000,-9.00000,9.00000,2293.00000,-103.00000,2190.00000,278.00000,1912.00000,1912.00000,,1912.00000,2732.00000,2293.00000,263.70000,264.60000,7.39000,7.35000
2022-09-30,16583.00000,14463.00000,2120.00000,39.00000,-39.00000,2159.00000,-60.00000,2099.00000,321.00000,1778.00000,1778.00000,,1778.00000,2452.00000,2159.00000,264.10000,265.10000,6.73000,6.71000
2022-06-30,15446.00000,13490.00000,1956.00000,7.00000,-7.00000,1963.00000,-1633.00000,330.00000,21.00000,309.00000,309.00000,,309.00000,2306.00000,1963.00000,265.80000,266.70000,1.16000,1.16000
2022-03-31,14964.00000,13055.00000,1909.00000,24.00000,-24.00000,1933.00000,128.00000,2061.00000,328.00000,1733.00000,1733.00000,,1733.00000,2262.00000,1933.00000,268.30000,269.20000,6.46000,6.44000
2021-12-31,17729.00000,15307.00000,2422.00000,33.00000,-33.00000,2455.00000,35.00000,2490.00000,441.00000,2049.00000,2049.00000,,2049.00000,2820.00000,2455.00000,276.40000,277.40000,7.51000,7.47000
2021-09-30,16028.00000,13726.00000,2302.00000,-8.00000,8.00000,2294.00000,-1615.00000,679.00000,65.00000,614.00000,614.00000,,614.00000,2623.00000,2294.00000,276.20000,277.30000,2.22000,2.21000
2021-06-30,17029.00000,14878.00000,2151.00000,41.00000,-41.00000,2192.00000,-22.00000,2170.00000,355.00000,1815.00000,1815.00000,,1815.00000,2526.00000,2192.00000,277.40000,278.40000,6.54000,6.52000
2021-03-31,16258.00000,14072.00000,2186.00000,-4.00000,4.00000,2182.00000,29.00000,2211.00000,374.00000,1837.00000,1837.00000,,1837.00000,2518.00000,2182.00000,279.00000,280.00000,6.58000,6.56000
2020-12-31,17032.00000,14818.00000,2214.00000,75.00000,-75.00000,2289.00000,-102.00000,2187.00000,395.00000,1792.00000,1792.00000,,1792.00000,2652.00000,2289.00000,280.00000,281.20000,6.41000,6.38000
2020-09-30,16495.00000,14359.00000,2136.00000,11.00000,-11.00000,2147.00000,-91.00000,2056.00000,303.00000,1753.00000,1753.00000,-55.00000,1698.00000,2466.00000,2147.00000,279.30000,280.60000,6.08000,6.05000
2020-06-30,16220.00000,14007.00000,2213.00000,-127.00000,127.00000,2086.00000,-124.00000,1962.00000,336.00000,1626.00000,1626.00000,,1626.00000,2393.00000,2086.00000,279.80000,280.80000,5.81000,5.79000
2020-03-31,15651.00000,13560.00000,2091.00000,31.00000,-31.00000,2122.00000,-92.00000,2030.00000,313.00000,1717.00000,1717.00000,,1717.00000,2423.00000,2122.00000,281.30000,282.60000,6.10000,6.08000
2019-12-31,15878.00000,13755.00000,2123.00000,26.00000,-26.00000,2149.00000,-317.00000,1832.00000,334.00000,1498.00000,1498.00000,,1498.00000,2471.00000,2149.00000,282.00000,283.80000,5.33000,5.30000
2019-09-30,15171.00000,13108.00000,2063.00000,42.00000,-42.00000,2105.00000,-324.00000,1781.00000,173.00000,1608.00000,1608.00000,0.00000,1608.00000,2407.00000,2105.00000,282.00000,283.90000,5.70000,5.66000
2019-06-30,14427.00000,12434.00000,1993.00000,15.00000,-15.00000,2008.00000,-325.00000,1683.00000,263.00000,1420.00000,1420.00000,,1420.00000,2296.00000,2008.00000,282.20000,283.90000,5.03000,5.00000
2019-03-31,14336.00000,12148.00000,2188.00000,95.00000,-95.00000,2283.00000,-338.00000,1945.00000,241.00000,1704.00000,1704.00000,,1704.00000,2560.00000,2283.00000,282.50000,284.30000,6.03000,5.99000
2018-12-31,14411.00000,12469.00000,1942.00000,-91.00000,91.00000,1851.00000,-368.00000,1483.00000,230.00000,1253.00000,1253.00000,,1253.00000,2155.00000,1851.00000,284.50000,286.80000,4.43000,4.38000
2018-09-30,14318.00000,12397.00000,1921.00000,42.00000,-42.00000,1963.00000,-388.00000,1575.00000,102.00000,1473.00000,1473.00000,,1473.00000,2254.00000,1963.00000,284.30000,286.70000,5.18000,5.14000
2018-06-30,13398.00000,11645.00000,1753.00000,42.00000,-42.00000,1795.00000,-375.00000,1420.00000,257.00000,1163.00000,1163.00000,,1163.00000,2082.00000,1795.00000,285.00000,287.10000,4.08000,4.05000
2018-03-31,11635.00000,9977.00000,1658.00000,67.00000,-67.00000,1725.00000,-365.00000,1360.00000,203.00000,1157.00000,1157.00000,,1157.00000,2004.00000,1725.00000,285.50000,287.90000,4.05000,4.02000
2017-12-31,13844.00000,12135.00000,1709.00000,240.00000,-240.00000,1949.00000,-377.00000,1572.00000,2389.00000,-817.00000,-817.00000,,-744.00000,2264.00000,1949.00000,287.80000,290.60000,-2.56000,-2.54000
