,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,76048.00000,35342.00000,40706.00000,10267.00000,12279.00000,,22546.00000,18160.00000,-1013.00000,17147.00000,3523.00000,13624.00000,13624.00000,,13624.00000,22361.00000,18160.00000,13063.00000,14046.00000,1.05500,1.05900
2022-09-30,69092.00000,31158.00000,37934.00000,10273.00000,10526.00000,,20799.00000,17135.00000,-902.00000,16233.00000,2323.00000,13910.00000,13910.00000,,13910.00000,21181.00000,17135.00000,13018.00000,13982.00000,1.07000,1.06000
2022-06-30,69685.00000,30104.00000,39581.00000,9841.00000,10287.00000,,20128.00000,19453.00000,-439.00000,19014.00000,3012.00000,16002.00000,16002.00000,,16002.00000,23352.00000,19453.00000,13133.00000,14126.00000,1.22000,1.21000
2022-03-31,68011.00000,29599.00000,38412.00000,9119.00000,9199.00000,,18318.00000,20094.00000,-1160.00000,18934.00000,2498.00000,16436.00000,16436.00000,,16436.00000,23876.00000,20094.00000,13203.42000,14241.72000,1.24500,1.23100
2021-12-31,75325.00000,32988.00000,42337.00000,8708.00000,11744.00000,,20452.00000,21885.00000,2517.00000,24402.00000,3760.00000,20642.00000,20642.00000,,20642.00000,25324.00000,21885.00000,13353.00000,14462.00000,1.55850,1.53550
2021-09-30,65118.00000,27621.00000,37497.00000,7694.00000,8772.00000,,16466.00000,21031.00000,2033.00000,23064.00000,4128.00000,18936.00000,18936.00000,,18936.00000,24335.00000,21031.00000,13315.00000,14438.00000,1.42000,1.40000
2021-06-30,61880.00000,26227.00000,35653.00000,7675.00000,8617.00000,,16292.00000,19361.00000,2624.00000,21985.00000,3460.00000,18525.00000,18525.00000,,18525.00000,22306.00000,19361.00000,13379.00000,14506.00000,1.38000,1.36000
2021-03-31,55314.00000,24103.00000,31211.00000,7485.00000,7289.00000,,14774.00000,16437.00000,4846.00000,21283.00000,3353.00000,17930.00000,17930.00000,,17930.00000,19190.00000,16437.00000,13464.40000,14558.22000,1.33150,1.31450
2020-12-31,56898.00000,26080.00000,30818.00000,7022.00000,8145.00000,,15167.00000,15651.00000,3038.00000,18689.00000,3462.00000,15227.00000,15227.00000,,15227.00000,19376.00000,15651.00000,13616.00000,14665.00000,1.12400,1.11000
2020-09-30,46173.00000,21117.00000,25056.00000,6856.00000,6987.00000,,13843.00000,11213.00000,2146.00000,13359.00000,2112.00000,11247.00000,11247.00000,,11247.00000,14691.00000,11213.00000,13588.98000,14639.18000,0.82750,0.82000
2020-06-30,38297.00000,18553.00000,19744.00000,6875.00000,6486.00000,,13361.00000,6383.00000,1894.00000,8277.00000,1318.00000,6959.00000,6959.00000,,6959.00000,9769.00000,6383.00000,13635.36000,14667.58000,0.51050,0.50650
2020-03-31,41159.00000,18982.00000,22177.00000,6820.00000,7380.00000,,14200.00000,7977.00000,-220.00000,7757.00000,921.00000,6836.00000,6836.00000,,6836.00000,11085.00000,7977.00000,13729.30000,14773.82000,0.49800,0.49350
2019-12-31,46075.00000,21020.00000,25055.00000,7222.00000,8567.00000,,15789.00000,9266.00000,1438.00000,10704.00000,33.00000,10671.00000,10671.00000,,10671.00000,12679.00000,9266.00000,13851.92000,14901.66000,0.77400,0.76650
2019-09-30,40499.00000,17568.00000,22931.00000,6554.00000,7200.00000,,13754.00000,9177.00000,-549.00000,8628.00000,1560.00000,7068.00000,7068.00000,,7068.00000,12097.00000,9177.00000,13854.82000,14894.28000,0.51000,0.50600
2019-06-30,38944.00000,17296.00000,21648.00000,6213.00000,6255.00000,,12468.00000,9180.00000,2967.00000,12147.00000,2200.00000,9947.00000,9947.00000,,9947.00000,12015.00000,9180.00000,13879.38000,14929.58000,0.71650,0.71050
2019-03-31,36339.00000,16012.00000,20327.00000,6029.00000,5993.00000,-1697.00000,13719.00000,6608.00000,1538.00000,8146.00000,1489.00000,6657.00000,6657.00000,,6657.00000,9221.00000,6608.00000,13897.38000,14949.22000,0.47900,0.47500
