,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2353.00000,392.00000,1961.00000,1155.00000,1168.00000,793.00000,793.00000,144.00000,649.00000,649.00000,617.00000,1441.27900,1465.22000,0.43000,0.42000
2022-09-30,2087.00000,185.00000,1902.00000,1146.00000,1159.00000,743.00000,743.00000,146.00000,597.00000,597.00000,565.00000,1442.59100,1465.08300,0.39000,0.39000
2022-06-30,1816.00000,70.00000,1746.00000,1072.00000,1085.00000,661.00000,661.00000,120.00000,541.00000,541.00000,511.00000,1441.20000,1463.29300,0.35000,0.35000
2022-03-31,1694.00000,49.00000,1645.00000,1064.00000,1078.00000,567.00000,567.00000,105.00000,462.00000,462.00000,432.00000,1438.42700,1464.32700,0.30000,0.29000
2021-12-31,1697.00000,50.00000,1647.00000,1143.00000,1157.00000,490.00000,490.00000,88.00000,402.00000,402.00000,377.00000,1262.43500,1286.73300,0.24000,0.25000
2021-09-30,1740.00000,45.00000,1695.00000,1214.00000,1227.00000,468.00000,468.00000,90.00000,378.00000,378.00000,333.00000,1462.73600,1487.33500,0.23000,0.22000
2021-06-30,1379.00000,97.00000,1282.00000,1272.00000,1283.00000,-1.00000,-1.00000,14.00000,-15.00000,-15.00000,-58.00000,1125.03900,1125.03900,-0.05000,-0.05000
2021-03-31,1264.00000,-103.00000,1367.00000,723.00000,733.00000,634.00000,634.00000,102.00000,532.00000,532.00000,501.00000,1017.51200,1041.00300,0.49000,0.48000
2020-12-31,1287.00000,53.00000,1234.00000,849.00000,859.00000,375.00000,375.00000,59.00000,316.00000,316.00000,281.00000,1017.11700,1032.68300,0.28000,0.26000
2020-09-30,1322.00000,75.00000,1247.00000,879.00000,889.00000,358.00000,358.00000,55.00000,303.00000,303.00000,275.00000,1017.25300,1031.46000,0.27000,0.27000
2020-06-30,1293.00000,110.00000,1183.00000,992.00000,1002.00000,181.00000,181.00000,31.00000,150.00000,150.00000,131.00000,1016.25900,1028.68300,0.13000,0.13000
2020-03-31,1336.00000,185.00000,1151.00000,1082.00000,1093.00000,58.00000,58.00000,10.00000,48.00000,48.00000,30.00000,1017.64300,1034.57600,0.03000,0.03000
2019-12-31,1383.00000,231.00000,1152.00000,768.00000,780.00000,372.00000,372.00000,55.00000,317.00000,317.00000,298.00000,1038.84000,1056.07900,0.30000,0.28000
2019-09-30,1441.00000,253.00000,1188.00000,737.00000,749.00000,439.00000,439.00000,67.00000,372.00000,372.00000,354.00000,1034.94000,1051.27300,0.34000,0.34000
2019-06-30,1442.00000,256.00000,1186.00000,747.00000,759.00000,427.00000,427.00000,63.00000,364.00000,364.00000,346.00000,1044.80200,1060.28000,0.33000,0.33000
2019-03-31,1389.00000,248.00000,1141.00000,707.00000,720.00000,421.00000,421.00000,63.00000,358.00000,358.00000,339.00000,1046.99500,1065.63800,0.32000,0.32000
2018-12-31,1385.00000,223.00000,1162.00000,758.00000,771.00000,391.00000,391.00000,57.00000,334.00000,334.00000,315.00000,1081.54200,1105.98500,0.30000,0.29000
2018-09-30,1349.00000,205.00000,1144.00000,691.00000,704.00000,440.00000,440.00000,62.00000,378.00000,378.00000,360.00000,1084.53600,1103.74000,0.33000,0.33000
2018-06-30,1308.00000,188.00000,1120.00000,695.00000,708.00000,412.00000,412.00000,57.00000,355.00000,355.00000,334.00000,1103.33700,1122.61200,0.30000,0.30000
2018-03-31,1228.00000,144.00000,1084.00000,685.00000,699.00000,385.00000,385.00000,59.00000,326.00000,326.00000,314.00000,1083.83600,1124.77800,0.29000,0.28000
2017-12-31,1234.00000,125.00000,1109.00000,684.00000,698.00000,411.00000,411.00000,-20.00000,431.00000,431.00000,412.00000,1084.68600,1136.18600,0.38000,0.37000
2017-09-30,1203.00000,115.00000,1088.00000,709.00000,723.00000,365.00000,365.00000,90.00000,275.00000,275.00000,256.00000,1086.03800,1106.49100,0.24000,0.23000
