,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,10593.00000,,10593.00000,216.00000,5001.00000,-3119.00000,,1530.00000,1530.00000,204.00000,1326.00000,1326.00000,1185.00000,,1530.00000,349.50000,356.70000,3.35000,3.32000
2022-09-30,11975.00000,,11975.00000,199.00000,4785.00000,-2569.00000,,3756.00000,3756.00000,687.00000,3069.00000,3069.00000,2962.00000,4422.00000,3756.00000,352.80000,359.20000,8.35000,8.25000
2022-06-30,11864.00000,,11864.00000,235.00000,4888.00000,-2627.00000,,3544.00000,3544.00000,617.00000,2927.00000,2927.00000,2786.00000,4114.00000,3544.00000,355.00000,360.50000,7.81000,7.73000
2022-03-31,12933.00000,,12933.00000,162.00000,5195.00000,-2428.00000,,4656.00000,4656.00000,717.00000,3939.00000,3939.00000,3831.00000,5148.00000,4656.00000,351.20000,355.90000,10.87000,10.76000
2021-12-31,12639.00000,,12639.00000,193.00000,4441.00000,-2492.00000,,5025.00000,5025.00000,1090.00000,3935.00000,3935.00000,3809.00000,5513.00000,5025.00000,350.50000,355.80000,11.09000,10.90000
2021-09-30,13608.00000,,13608.00000,165.00000,4236.00000,-1856.00000,,6842.00000,6842.00000,1464.00000,5378.00000,5378.00000,5284.00000,7351.00000,6842.00000,348.30000,353.90000,15.14000,14.93000
2021-06-30,15388.00000,,15388.00000,115.00000,6219.00000,-1694.00000,,6840.00000,6840.00000,1354.00000,5486.00000,5486.00000,5347.00000,7360.00000,6840.00000,350.80000,356.00000,15.22000,15.02000
2021-03-31,17704.00000,,17704.00000,80.00000,7025.00000,-1764.00000,,8337.00000,8337.00000,1501.00000,6836.00000,6836.00000,6711.00000,8835.00000,8337.00000,356.60000,360.90000,18.80000,18.60000
2020-12-31,11741.00000,,11741.00000,89.00000,3424.00000,-2189.00000,,5541.00000,5541.00000,1035.00000,4506.00000,4506.00000,4362.00000,6039.00000,5541.00000,356.40000,360.30000,12.22000,12.12000
2020-09-30,10781.00000,,10781.00000,70.00000,3990.00000,-1954.00000,,4299.00000,4299.00000,932.00000,3367.00000,3367.00000,3233.00000,4767.00000,4299.00000,355.90000,359.90000,9.07000,8.98000
2020-06-30,13295.00000,,13295.00000,89.00000,5367.00000,-6049.00000,,1291.00000,1291.00000,918.00000,373.00000,373.00000,197.00000,1790.00000,1291.00000,355.70000,355.70000,0.53000,0.53000
2020-03-31,8743.00000,,8743.00000,153.00000,4141.00000,-2664.00000,,1348.00000,1348.00000,135.00000,1213.00000,1213.00000,1123.00000,1785.00000,1348.00000,358.00000,361.10000,3.12000,3.11000
2019-12-31,9955.00000,,9955.00000,200.00000,4038.00000,-5370.00000,,2321.00000,2321.00000,404.00000,1917.00000,1917.00000,1724.00000,2785.00000,2321.00000,371.60000,375.50000,4.76000,4.72000
2019-09-30,8323.00000,853.00000,7470.00000,169.00000,3616.00000,-796.00000,5054.00000,2416.00000,2416.00000,539.00000,1877.00000,1877.00000,1793.00000,2889.00000,2416.00000,370.00000,374.30000,4.83000,4.79000
2019-06-30,9461.00000,823.00000,8638.00000,186.00000,4143.00000,-783.00000,5511.00000,3127.00000,3127.00000,706.00000,2421.00000,2421.00000,2198.00000,3526.00000,3127.00000,374.50000,378.00000,5.86000,5.81000
2019-03-31,8807.00000,762.00000,8045.00000,184.00000,4068.00000,-706.00000,5326.00000,2719.00000,2719.00000,468.00000,2251.00000,2251.00000,2182.00000,3087.00000,2719.00000,379.80000,382.40000,5.73000,5.71000
2018-12-31,8080.00000,,8080.00000,208.00000,2651.00000,-4506.00000,,2708.00000,2708.00000,170.00000,2538.00000,2538.00000,2322.00000,3085.00000,2708.00000,385.40000,390.20000,6.12000,6.06000
2018-09-30,8820.00000,714.00000,8106.00000,167.00000,3782.00000,-762.00000,5028.00000,3078.00000,3078.00000,554.00000,2524.00000,2524.00000,2453.00000,3395.00000,3078.00000,385.40000,390.50000,6.35000,6.28000
2018-06-30,9636.00000,812.00000,8824.00000,183.00000,4146.00000,-884.00000,5548.00000,3276.00000,3276.00000,711.00000,2565.00000,2565.00000,2348.00000,3611.00000,3276.00000,387.80000,392.60000,6.04000,5.98000
2018-03-31,10080.00000,844.00000,9236.00000,182.00000,4795.00000,-541.00000,5817.00000,3419.00000,3419.00000,587.00000,2832.00000,2832.00000,2737.00000,3718.00000,3419.00000,389.10000,393.80000,7.02000,6.95000
2017-12-31,8491.00000,732.00000,7759.00000,175.00000,2881.00000,-1245.00000,4651.00000,3108.00000,3108.00000,5036.00000,-1928.00000,-1928.00000,-2143.00000,3458.00000,3108.00000,401.60000,409.10000,-5.20000,-5.11000
2017-09-30,8326.00000,711.00000,7615.00000,138.00000,3796.00000,-425.00000,4639.00000,2976.00000,2976.00000,848.00000,2128.00000,2128.00000,2035.00000,3256.00000,2976.00000,398.20000,405.70000,5.09000,5.02000
2017-06-30,7887.00000,741.00000,7146.00000,141.00000,3876.00000,-355.00000,4637.00000,2509.00000,2509.00000,678.00000,1831.00000,1831.00000,1631.00000,2774.00000,2509.00000,406.10000,413.30000,4.00000,3.95000
2017-03-31,8026.00000,692.00000,7334.00000,134.00000,3895.00000,-509.00000,4795.00000,2539.00000,2539.00000,284.00000,2255.00000,2255.00000,2162.00000,2796.00000,2539.00000,412.50000,420.10000,5.23000,5.15000
2016-12-31,8352.00000,894.00000,7458.00000,131.00000,3035.00000,-628.00000,4061.00000,3397.00000,3397.00000,1050.00000,2347.00000,2347.00000,2153.00000,3664.00000,3397.00000,427.40000,435.10000,5.09000,5.01000
2016-09-30,8168.00000,613.00000,7555.00000,92.00000,3881.00000,-467.00000,4687.00000,2868.00000,2868.00000,774.00000,2094.00000,2094.00000,2100.00000,3115.00000,2868.00000,422.40000,430.20000,4.96000,4.88000
2016-06-30,7932.00000,625.00000,7307.00000,112.00000,3948.00000,-539.00000,4844.00000,2463.00000,2463.00000,641.00000,1822.00000,1822.00000,1634.00000,2708.00000,2463.00000,431.90000,439.20000,3.77000,3.72000
2016-03-31,6338.00000,691.00000,5647.00000,122.00000,3262.00000,-448.00000,4071.00000,1576.00000,1576.00000,441.00000,1135.00000,1135.00000,1200.00000,1815.00000,1576.00000,440.80000,447.40000,2.71000,2.68000
2015-12-31,7273.00000,626.00000,6647.00000,148.00000,2713.00000,-2429.00000,5575.00000,1072.00000,1072.00000,307.00000,765.00000,765.00000,574.00000,1357.00000,1072.00000,448.90000,458.60000,1.34000,1.32000
2015-09-30,6861.00000,665.00000,6196.00000,123.00000,2986.00000,-819.00000,4150.00000,2046.00000,2046.00000,620.00000,1426.00000,1426.00000,1330.00000,2268.00000,2046.00000,449.00000,458.60000,2.95000,2.90000
2015-06-30,9069.00000,647.00000,8422.00000,147.00000,4448.00000,-1836.00000,6696.00000,1726.00000,1726.00000,678.00000,1048.00000,1048.00000,916.00000,1991.00000,1726.00000,451.40000,461.60000,2.01000,1.98000
2015-03-31,10617.00000,638.00000,9979.00000,139.00000,5072.00000,-615.00000,6045.00000,3934.00000,3934.00000,1090.00000,2844.00000,2844.00000,2748.00000,4153.00000,3934.00000,453.30000,462.90000,6.05000,5.94000
2014-12-31,7688.00000,669.00000,7019.00000,141.00000,2604.00000,-712.00000,3809.00000,3210.00000,3210.00000,1044.00000,2166.00000,2166.00000,2032.00000,3562.00000,3210.00000,458.90000,473.20000,4.50000,4.38000
2014-09-30,8387.00000,624.00000,7763.00000,129.00000,3423.00000,-605.00000,4458.00000,3305.00000,3305.00000,1064.00000,2241.00000,2241.00000,2143.00000,3606.00000,3305.00000,455.50000,469.20000,4.69000,4.57000
2014-06-30,9125.00000,613.00000,8512.00000,141.00000,4539.00000,-717.00000,5691.00000,2821.00000,2821.00000,784.00000,2037.00000,2037.00000,1953.00000,3115.00000,2821.00000,461.70000,475.90000,4.21000,4.10000
2014-03-31,9328.00000,595.00000,8733.00000,138.00000,4633.00000,-551.00000,5712.00000,3021.00000,3021.00000,988.00000,2033.00000,2033.00000,1949.00000,3411.00000,3021.00000,468.60000,484.60000,4.15000,4.02000
2013-12-31,8782.00000,594.00000,8188.00000,143.00000,2854.00000,-1165.00000,4636.00000,3552.00000,3552.00000,1220.00000,2332.00000,2332.00000,2248.00000,4026.00000,3552.00000,471.30000,499.60000,4.82000,4.59000
2013-09-30,6722.00000,573.00000,6149.00000,117.00000,3000.00000,-585.00000,3982.00000,2167.00000,2167.00000,650.00000,1517.00000,1517.00000,1429.00000,2447.00000,2167.00000,463.40000,496.40000,3.07000,2.88000
2013-06-30,8612.00000,613.00000,7999.00000,140.00000,4313.00000,-635.00000,5354.00000,2645.00000,2645.00000,714.00000,1931.00000,1931.00000,1861.00000,2911.00000,2645.00000,473.20000,503.50000,3.92000,3.70000
2013-03-31,10090.00000,561.00000,9529.00000,141.00000,4991.00000,-722.00000,6156.00000,3373.00000,3373.00000,1113.00000,2260.00000,2260.00000,2188.00000,3675.00000,3373.00000,482.10000,509.80000,4.53000,4.29000
2012-12-31,9236.00000,550.00000,8686.00000,140.00000,2617.00000,-1116.00000,4373.00000,4313.00000,4313.00000,1421.00000,2892.00000,2892.00000,2833.00000,4813.00000,4313.00000,496.20000,516.10000,5.80000,5.58000
2012-09-30,8351.00000,547.00000,7804.00000,123.00000,4287.00000,-700.00000,5506.00000,2298.00000,2298.00000,786.00000,1512.00000,1512.00000,1458.00000,2694.00000,2298.00000,491.20000,510.90000,2.95000,2.85000
2012-06-30,6627.00000,544.00000,6083.00000,129.00000,3544.00000,-586.00000,4668.00000,1415.00000,1415.00000,453.00000,962.00000,962.00000,927.00000,1824.00000,1415.00000,501.50000,520.30000,1.83000,1.78000
