,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1207.80000,1207.80000,353.90000,-95.00000,668.30000,158.99990,827.30000,189.40000,637.90000,637.90000,629.90000,,668.30000,358.88500,359.19000,1.76000,1.75000
2022-09-30,1227.80000,1227.80000,355.10000,-43.90000,738.80000,141.20000,880.00000,200.40000,679.60000,679.60000,671.10000,828.80000,738.80000,358.71500,359.28800,1.87000,1.87000
2022-06-30,1237.20000,1237.20000,346.30000,-51.10000,749.70000,117.00000,866.70000,204.20000,662.50000,662.50000,654.10000,839.79990,749.70000,358.64100,359.20500,1.82000,1.82000
2022-03-31,1346.60000,1346.60000,343.80000,-51.80000,859.10000,57.20000,916.30000,205.30000,711.00000,711.00000,702.00000,951.00000,859.10000,358.60900,359.18000,1.96000,1.95000
2021-12-31,1147.30000,1147.30000,340.20000,-80.90000,631.70030,167.60000,799.30020,174.10000,625.20010,625.20010,605.90000,726.20030,631.70030,358.34000,358.92900,1.69000,1.69000
2021-09-30,1109.90000,1109.90000,350.70000,-49.30000,613.70000,482.20000,1095.90000,169.60000,926.30000,926.30000,926.50000,709.90000,613.70000,358.36300,358.98800,2.59000,2.58000
2021-06-30,1179.20000,1179.20000,352.00000,-56.00000,674.70000,51.40000,726.10000,215.50000,510.60000,510.60000,510.30000,771.20000,674.70000,358.26100,358.88800,1.42000,1.42000
2021-03-31,1253.30000,1253.30000,375.30000,-54.70000,725.10000,27.20000,752.30000,177.50000,574.80000,574.80000,574.40000,823.30000,725.10000,358.14700,358.81700,1.60000,1.60000
2020-12-31,1098.50000,1098.50000,377.10000,-85.90000,515.00020,20.00000,535.00010,110.20000,424.80010,424.80010,423.99990,635.50020,515.00020,357.76400,358.52400,1.18000,1.18000
2020-09-30,1080.70000,1080.70000,370.60000,-67.10000,525.00000,11.50000,536.50000,125.00000,411.50000,411.50000,411.70000,643.00000,525.00000,357.79100,358.59000,1.15000,1.15000
2020-06-30,1182.30000,1182.30000,372.70000,-58.80000,637.50010,23.80000,661.30000,158.00000,503.30000,503.30000,503.30000,750.80000,637.50010,357.69100,358.45700,1.41000,1.40000
2020-03-31,1522.10000,1522.10000,370.80000,-78.80000,959.90000,29.40000,989.30000,222.50000,766.80000,766.80000,766.20000,1072.50000,959.90000,357.52400,358.45500,2.14000,2.14000
2019-12-31,1138.40000,1138.40000,361.80000,-87.50000,573.00020,51.10000,624.10020,155.10000,469.00000,469.00000,469.50000,689.10020,573.00020,357.15500,358.23900,1.32000,1.31000
2019-09-30,1277.30000,1277.30000,365.00000,-105.90000,685.20000,38.00000,723.20000,86.90000,636.30000,636.30000,636.30000,806.40000,685.20000,357.21100,358.36900,1.78000,1.78000
2019-06-30,1272.70000,1272.70000,362.40000,-89.30000,698.59990,3.50000,702.10000,187.50000,514.60000,514.60000,513.80000,820.99990,698.59990,357.06000,358.15500,1.44000,1.43000
2019-03-31,1179.60000,1179.60000,357.30000,-77.70000,631.00000,9.20000,640.20000,144.30000,495.90000,495.90000,496.90000,744.60000,631.00000,356.88600,358.04700,1.39000,1.39000
2018-12-31,1236.60000,1236.60000,373.70010,-121.10000,649.90010,20.60000,670.49990,283.50000,387.00010,387.00010,385.49990,741.80000,649.89980,342.34400,343.73700,1.09000,1.08000
2018-09-30,904.20000,904.20000,234.30000,-66.10000,549.90000,11.90000,561.80000,150.00000,411.80000,411.80000,411.80000,603.80000,549.90000,339.58600,341.03500,1.21000,1.21000
2018-06-30,1059.60000,1059.60000,247.80000,-93.80000,666.90000,89.90000,756.80000,190.70000,566.10000,566.10000,566.10000,717.99990,666.90000,339.46500,340.87200,1.67000,1.66000
2018-03-31,1109.00000,1109.00000,270.30000,-46.00000,740.90000,47.80000,788.70000,189.90000,598.80000,598.80000,598.80000,792.70000,740.90000,339.30500,340.74700,1.76000,1.76000
2017-12-31,899.99990,899.99990,239.60000,-71.90000,536.89990,37.80000,574.70000,-2364.50000,2939.20000,2939.20000,2939.20000,588.49990,536.90010,338.70700,340.22600,8.68000,8.63000
2017-09-30,890.80000,890.80000,234.40000,-38.10000,567.60000,39.70000,607.30000,298.70000,308.60000,308.60000,308.60000,618.30000,567.60000,338.77100,340.32900,0.91000,0.91000
