,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,23706.00000,7765.00000,15941.00000,3841.00000,6512.00000,-1207.00000,11740.00000,4201.00000,4201.00000,681.00000,3520.00000,3520.00000,3520.00000,6404.00000,4632.00000,2625.20000,2663.90000,1.34000,1.32000
2022-09-30,23791.00000,7807.00000,15984.00000,3597.00000,6089.00000,-493.00000,10162.00000,5822.00000,5822.00000,1364.00000,4458.00000,4458.00000,4458.00000,7708.00000,6023.00000,2627.90000,2661.30000,1.70000,1.68000
2022-06-30,24020.00000,7919.00000,16101.00000,3703.00000,6226.00000,-273.00000,10261.00000,5840.00000,5840.00000,1026.00000,4814.00000,4814.00000,4814.00000,7686.00000,5942.00000,2629.60000,2667.90000,1.83000,1.80000
2022-03-31,23426.00000,7598.00000,15828.00000,3462.00000,5938.00000,102.00000,9966.00000,5862.00000,5862.00000,713.00000,5149.00000,5149.00000,5149.00000,7663.00000,5894.00000,2629.20000,2666.50000,1.96000,1.93000
2021-12-31,24804.00000,7955.00000,16849.00000,4720.00000,7154.00000,-9.00000,12013.00000,4836.00000,4836.00000,100.00000,4736.00000,4736.00000,4736.00000,6752.00000,4909.00000,2632.10000,2674.00000,1.81000,1.77000
2021-09-30,23338.00000,7250.00000,16088.00000,3422.00000,6000.00000,-1850.00000,12239.00000,3849.00000,3849.00000,182.00000,3667.00000,3667.00000,3667.00000,5696.00000,3882.00000,2632.60000,2674.90000,1.39000,1.37000
2021-06-30,23312.00000,7587.00000,15725.00000,3394.00000,6073.00000,488.00000,9063.00000,6662.00000,6662.00000,384.00000,6278.00000,6278.00000,6278.00000,8553.00000,6714.00000,2632.50000,2671.60000,2.38000,2.35000
2021-03-31,22321.00000,7063.00000,15258.00000,3178.00000,5432.00000,882.00000,7829.00000,7429.00000,7429.00000,1232.00000,6197.00000,6197.00000,6197.00000,9401.00000,7507.00000,2631.60000,2672.70000,2.35000,2.32000
2020-12-31,22475.00000,7814.00000,14661.00000,4032.00000,6457.00000,-2354.00000,13014.00000,1647.00000,1647.00000,-91.00000,1738.00000,1738.00000,1738.00000,3687.00000,1747.00000,2632.80000,2670.70000,0.66000,0.65000
2020-09-30,21082.00000,6972.00000,14110.00000,2840.00000,5431.00000,-1200.00000,9709.00000,4401.00000,4401.00000,847.00000,3554.00000,3554.00000,3554.00000,6275.00000,4457.00000,2632.50000,2669.30000,1.35000,1.33000
2020-06-30,18336.00000,6579.00000,11757.00000,2707.00000,4993.00000,-24.00000,7817.00000,3940.00000,3940.00000,314.00000,3626.00000,3626.00000,3626.00000,5730.00000,4004.00000,2632.90000,2665.50000,1.38000,1.36000
2020-03-31,20691.00000,7062.00000,13629.00000,2580.00000,5203.00000,679.00000,7120.00000,6509.00000,6509.00000,713.00000,5796.00000,5796.00000,5796.00000,8348.00000,6601.00000,2633.70000,2671.00000,2.20000,2.17000
2019-12-31,20747.00000,7134.00000,13613.00000,3232.00000,6039.00000,-16.00000,9395.00000,4218.00000,4218.00000,208.00000,4010.00000,4010.00000,4010.00000,6200.00000,4384.00000,2645.10000,2684.30000,1.53000,1.50000
2019-09-30,20729.00000,6867.00000,13862.00000,2599.00000,5374.00000,-4214.00000,12215.00000,1647.00000,1647.00000,-106.00000,1753.00000,1753.00000,1753.00000,3511.00000,1784.00000,2635.20000,2669.90000,0.67000,0.66000
2019-06-30,20562.00000,6940.00000,13622.00000,2666.00000,5546.00000,1683.00000,6581.00000,7041.00000,7041.00000,1434.00000,5607.00000,5607.00000,5607.00000,8917.00000,7212.00000,2652.50000,2691.70000,2.11000,2.08000
