,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1002.90000,678.10000,324.80000,23.10000,190.10000,213.19990,111.60010,-10.20000,101.40000,5.10000,96.30000,96.30000,-1.30000,95.00000,,111.60010,164.50000,165.20000,0.58000,0.57000
2022-09-30,1055.10000,707.00000,348.10000,23.70000,177.30000,201.00000,147.10000,-19.40000,127.70000,12.30000,115.40000,115.40000,0.00000,115.40000,180.30000,147.10000,164.50000,165.20000,0.70000,0.70000
2022-06-30,1064.20000,704.70000,359.49990,23.10000,145.60000,168.70000,190.79990,-9.30000,181.50000,28.50000,153.00000,153.00000,-0.10000,152.90000,215.69990,190.79990,164.80000,165.50000,0.93000,0.92000
2022-03-31,999.60000,667.40000,332.20000,22.30000,164.10000,186.40000,145.79990,-5.80000,140.00000,21.50000,118.50000,118.50000,-0.90000,117.60000,167.99990,145.79990,165.30000,166.50000,0.71000,0.70000
2021-12-31,988.60010,660.40010,328.20000,21.50000,156.00000,177.49980,150.70020,1.00000,151.70000,3.10000,148.60000,148.60000,0.10000,148.70000,170.50020,150.70020,165.80000,167.50000,0.90000,0.88000
2021-09-30,969.20000,634.40000,334.80000,21.90000,145.60000,167.50000,167.30000,-1.50000,165.80000,22.10000,143.70000,143.70000,-0.10000,143.60000,186.10000,167.30000,165.70000,167.60000,0.87000,0.86000
2021-06-30,941.10000,600.10000,341.00000,21.00000,158.20000,179.20000,161.80000,-4.10000,157.70000,25.10000,132.60000,132.60000,-0.50000,132.10000,180.90000,161.80000,166.00000,167.80000,0.80000,0.79000
2021-03-31,865.90000,550.70000,315.20000,21.50000,136.60000,158.10000,157.10000,-5.50000,151.60000,20.50000,131.10000,131.10000,-2.50000,128.60000,176.90000,157.10000,166.20000,167.70000,0.77000,0.77000
2020-12-31,796.00000,512.50000,283.50000,20.10000,141.90000,162.00010,121.49990,-10.80000,110.70000,10.90000,99.80000,99.80000,3.20000,103.00000,140.69990,121.50010,166.50000,167.40000,0.62000,0.62000
2020-09-30,798.50000,521.10000,277.40000,19.30000,130.00000,149.30000,128.10000,-2.90000,125.20000,14.40000,110.80000,110.80000,0.00000,110.80000,146.60000,128.10000,166.10000,167.10000,0.67000,0.66000
2020-06-30,713.30000,468.20000,245.10000,17.30000,116.70000,134.00000,111.10000,-7.50000,103.60000,29.80000,73.80000,73.80000,-1.70000,72.10000,129.30000,111.10000,165.80000,166.40000,0.43000,0.43000
2020-03-31,710.00000,458.40000,251.60000,19.00000,131.90000,150.90000,100.70000,-8.10000,92.60000,19.90000,72.70000,72.70000,0.00000,72.70000,119.90000,100.70000,167.80000,168.70000,0.43000,0.43000
2019-12-31,755.20010,481.00000,274.20010,17.70000,134.20000,151.90000,122.30010,-16.40000,105.90000,3.00000,102.90000,102.90000,-5.10000,97.80000,141.80010,122.30000,169.40000,170.40000,0.58000,0.57000
2019-09-30,713.60000,458.60000,255.00000,19.80000,126.40000,146.20000,108.80000,-7.60000,101.20000,9.90000,91.30000,91.30000,1.00000,92.30000,128.40000,108.80000,168.10000,168.60000,0.55000,0.55000
2019-06-30,799.50000,512.80000,286.70000,20.70000,132.20000,152.90000,133.80000,3.40000,137.20000,22.10000,115.10000,115.10000,-0.80000,114.30000,154.50000,133.80000,169.80000,170.50000,0.67000,0.67000
2019-03-31,688.90000,453.30000,235.60000,20.70000,147.30000,168.00000,67.60000,-4.40000,63.20000,10.80000,52.40000,52.40000,-1.10000,51.30000,87.80000,67.60000,171.60000,172.50000,0.30000,0.30000
2018-12-31,740.50020,472.50010,268.00020,19.70000,135.30000,154.99980,113.00030,-7.20000,105.80000,11.60000,94.20000,94.20000,-1.30000,92.90000,133.70030,113.00020,175.80000,177.30000,0.55000,0.53000
2018-09-30,711.40000,467.60000,243.80000,19.10000,116.30000,135.40000,108.40000,-6.60000,101.80000,10.60000,91.20000,91.20000,18.90000,110.10000,129.00000,108.40000,174.30000,175.70000,0.63000,0.63000
2018-06-30,780.60000,498.00000,282.60000,19.10000,140.90000,160.00000,122.60000,-23.90000,98.70000,20.80000,77.90000,77.90000,-36.40000,41.50000,144.00000,122.60000,176.90000,178.60000,0.23000,0.23000
2018-03-31,732.60000,479.30000,253.30000,18.80000,141.80000,160.60000,92.70000,-19.20000,73.50000,15.10000,58.40000,58.40000,44.50000,102.90000,114.60000,92.70000,179.20000,181.50000,0.57000,0.57000
2017-12-31,220.60010,165.49990,55.10020,7.60000,40.80000,48.39990,6.70030,-22.10000,-15.40000,-3.30000,-12.10000,-12.10000,201.70000,189.60000,28.30030,6.70010,181.70000,183.70000,1.05000,1.04000
2017-09-30,687.60000,451.10000,236.50000,17.90000,116.80000,134.70000,101.80000,-18.80000,83.00000,34.10000,48.90000,48.90000,76.50000,125.40000,124.10000,101.80000,181.50000,183.50000,0.69000,0.68000
