,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,4030.00000,1141.00000,2889.00000,1877.00000,,2340.00000,549.00000,-208.00000,341.00000,168.00000,173.00000,173.00000,190.00000,1012.00000,549.00000,354.50000,355.80000,0.53000,0.52000
2022-09-30,4165.00000,975.00000,3190.00000,1776.00000,,2301.00000,889.00000,-110.00000,779.00000,160.00000,619.00000,619.00000,613.00000,1414.00000,889.00000,354.60000,355.90000,1.73000,1.72000
2022-06-30,3415.00000,890.00000,2525.00000,1599.00000,,2138.00000,387.00000,-116.00000,271.00000,17.00000,254.00000,254.00000,255.00000,926.00000,387.00000,354.30000,355.50000,0.72000,0.72000
2022-03-31,4060.00000,1074.00000,2986.00000,1658.00000,,2187.00000,799.00000,-92.00000,707.00000,153.00000,554.00000,554.00000,602.00000,1328.00000,799.00000,354.10000,355.10000,1.70000,1.70000
2021-12-31,3415.00000,678.00000,2737.00000,1518.00000,,2039.00000,698.00000,-516.00000,182.00000,-4.00000,186.00000,186.00000,224.00000,1219.00000,698.00000,348.40000,349.40000,0.63000,0.63000
2021-09-30,3613.00000,675.00000,2938.00000,1576.00000,,2088.00000,850.00000,-254.00000,596.00000,127.00000,469.00000,469.00000,538.00000,1361.00000,850.00000,353.40000,354.10000,1.52000,1.52000
2021-06-30,2971.00000,575.00000,2396.00000,1476.00000,,1978.00000,418.00000,-311.00000,107.00000,-11.00000,118.00000,118.00000,165.00000,921.00000,418.00000,345.40000,346.20000,0.48000,0.48000
2021-03-31,3677.00000,826.00000,2851.00000,1494.00000,,1991.00000,860.00000,-362.00000,498.00000,78.00000,420.00000,420.00000,419.00000,1357.00000,860.00000,342.20000,343.00000,1.23000,1.22000
2020-12-31,2960.00000,603.00000,2357.00000,1358.00000,,1850.00000,507.00000,-552.00000,-45.00000,-93.00000,48.00000,48.00000,43.00000,999.00000,507.00000,334.80000,335.70000,0.12000,0.12000
2020-09-30,3333.00000,582.00000,2751.00000,1409.00000,,1891.00000,860.00000,-239.00000,621.00000,119.00000,502.00000,502.00000,493.00000,1342.00000,860.00000,334.50000,335.40000,1.47000,1.47000
2020-06-30,2719.00000,480.00000,2239.00000,1284.00000,,1760.00000,479.00000,-268.00000,211.00000,9.00000,202.00000,202.00000,190.00000,955.00000,479.00000,334.10000,335.00000,0.57000,0.57000
2020-03-31,3234.00000,618.00000,2616.00000,1338.00000,,1808.00000,808.00000,-361.00000,447.00000,55.00000,392.00000,392.00000,375.00000,1278.00000,808.00000,333.60000,334.60000,1.13000,1.12000
2019-12-31,2951.00000,596.00000,2355.00000,1358.00000,,1790.00000,565.00000,-199.00000,366.00000,53.00000,313.00000,313.00000,294.00000,996.00000,565.00000,328.50000,329.50000,0.90000,0.89000
2019-09-30,3365.00000,612.00000,2753.00000,1465.00000,,1886.00000,867.00000,-248.00000,619.00000,116.00000,503.00000,503.00000,473.00000,1289.00000,867.00000,332.20000,333.20000,1.42000,1.42000
2019-06-30,2744.00000,509.00000,2235.00000,1359.00000,,1777.00000,458.00000,-260.00000,198.00000,19.00000,179.00000,179.00000,152.00000,876.00000,458.00000,328.30000,329.20000,0.46000,0.46000
2019-03-31,3514.00000,916.00000,2598.00000,1399.00000,,1812.00000,786.00000,-233.00000,553.00000,108.00000,445.00000,445.00000,424.00000,1199.00000,786.00000,322.50000,323.40000,1.31000,1.31000
2018-12-31,2949.00000,725.00000,2224.00000,1322.00000,,1567.00000,657.00000,-255.00000,402.00000,71.00000,331.00000,331.00000,331.00000,1034.00000,657.00000,311.70000,312.00000,1.05000,1.05000
2018-09-30,3328.00000,748.00000,2580.00000,1394.00000,,1754.00000,826.00000,-216.00000,610.00000,175.00000,435.00000,435.00000,435.00000,1185.00000,826.00000,311.10000,312.30000,1.40000,1.40000
2018-06-30,2696.00000,620.00000,2076.00000,1296.00000,,1650.00000,426.00000,-200.00000,226.00000,38.00000,188.00000,188.00000,188.00000,780.00000,426.00000,310.80000,311.90000,0.60000,0.60000
2018-03-31,3364.00000,855.00000,2509.00000,1406.00000,,1754.00000,755.00000,-210.00000,545.00000,117.00000,428.00000,428.00000,428.00000,1103.00000,755.00000,310.40000,311.60000,1.38000,1.37000
