,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,8079.00000,4585.00000,3494.00000,445.00000,2146.00000,,2862.00000,632.00000,-35.00000,597.00000,62.00000,535.00000,8.00000,543.00000,541.00000,1092.00000,632.00000,566.00000,567.60000,1.01000,1.01000
2022-09-30,8619.00000,4728.00000,3891.00000,461.00000,1998.00000,2724.00000,-265.00000,4156.00000,-24.00000,4132.00000,271.00000,3861.00000,2.00000,3863.00000,3859.00000,4606.00000,4156.00000,568.80000,570.00000,6.79000,6.77000
2022-06-30,8702.00000,5093.00000,3609.00000,476.00000,3023.00000,,3499.00000,110.00000,-50.00000,60.00000,-23.00000,83.00000,-1.00000,82.00000,78.00000,572.00000,110.00000,571.00000,572.70000,0.14000,0.14000
2022-03-31,8829.00000,4826.00000,4003.00000,480.00000,1882.00000,,2362.00000,1641.00000,-38.00000,1603.00000,302.00000,1301.00000,2.00000,1303.00000,1299.00000,2100.00000,1641.00000,572.30000,575.00000,2.27000,2.26000
2021-12-31,8612.00000,4698.00000,3914.00000,474.00000,1824.00000,,2298.00000,1616.00000,-52.00000,1564.00000,227.00000,1337.00000,3.00000,1340.00000,1339.00000,2123.00000,1616.00000,579.00000,585.30000,2.34000,2.31000
2021-09-30,8942.00000,4853.00000,4089.00000,482.00000,1819.00000,,2301.00000,1788.00000,-31.00000,1757.00000,324.00000,1433.00000,4.00000,1437.00000,1434.00000,2264.00000,1788.00000,579.60000,586.30000,2.47000,2.45000
2021-06-30,8950.00000,4719.00000,4231.00000,514.00000,1746.00000,,2260.00000,1971.00000,-33.00000,1938.00000,415.00000,1523.00000,2.00000,1525.00000,1524.00000,2443.00000,1971.00000,581.00000,588.60000,2.62000,2.59000
2021-03-31,8851.00000,4525.00000,4326.00000,524.00000,1808.00000,,2332.00000,1994.00000,-49.00000,1945.00000,319.00000,1626.00000,1.00000,1627.00000,1624.00000,2454.00000,1994.00000,580.50000,586.30000,2.80000,2.77000
2020-12-31,8583.00000,4388.00000,4195.00000,456.00000,1890.00000,,2346.00000,1849.00000,-118.00000,1731.00000,321.00000,1410.00000,-4.00000,1406.00000,1405.00000,2347.00000,1849.00000,577.60000,582.20000,2.43000,2.41000
2020-09-30,8350.00000,4303.00000,4047.00000,461.00000,1677.00000,,2138.00000,1909.00000,-83.00000,1826.00000,391.00000,1435.00000,-1.00000,1434.00000,1430.00000,2390.00000,1909.00000,577.80000,582.40000,2.47000,2.45000
2020-06-30,7176.00000,3805.00000,3371.00000,424.00000,1594.00000,387.00000,1631.00000,1740.00000,-90.00000,1650.00000,347.00000,1303.00000,,1303.00000,1306.00000,2232.00000,1740.00000,577.00000,580.80000,2.26000,2.25000
2020-03-31,8075.00000,4109.00000,3966.00000,537.00000,1768.00000,2.00000,2303.00000,1663.00000,-75.00000,1588.00000,278.00000,1310.00000,,1310.00000,1308.00000,2103.00000,1663.00000,576.80000,581.50000,2.27000,2.25000
2019-12-31,8111.00000,4325.00000,3786.00000,521.00000,1940.00000,,2461.00000,1325.00000,-182.00000,1143.00000,226.00000,917.00000,,917.00000,916.00000,1788.00000,1325.00000,577.00000,585.10000,1.59000,1.57000
2019-09-30,7991.00000,4188.00000,3803.00000,443.00000,1455.00000,106.00000,1792.00000,2011.00000,-45.00000,1966.00000,378.00000,1588.00000,,1588.00000,1583.00000,2390.00000,2011.00000,576.50000,583.00000,2.75000,2.72000
2019-06-30,8171.00000,4313.00000,3858.00000,470.00000,1686.00000,,2156.00000,1702.00000,-256.00000,1446.00000,315.00000,1131.00000,,1131.00000,1127.00000,2078.00000,1702.00000,577.70000,586.10000,1.95000,1.92000
2019-03-31,7863.00000,4310.00000,3553.00000,477.00000,1948.00000,8.00000,2417.00000,1136.00000,-48.00000,1088.00000,195.00000,893.00000,,893.00000,891.00000,1511.00000,1136.00000,577.50000,588.50000,1.54000,1.51000
2018-12-31,7945.00000,4060.00000,3885.00000,437.00000,1682.00000,17.00000,2102.00000,1783.00000,-63.00000,1720.00000,371.00000,1349.00000,,1349.00000,1347.00000,2154.00000,1783.00000,588.50000,602.00000,2.30000,2.26000
2018-09-30,8152.00000,4159.00000,3993.00000,430.00000,1547.00000,,1977.00000,2016.00000,-51.00000,1965.00000,419.00000,1546.00000,,1546.00000,1543.00000,2371.00000,2016.00000,585.60000,598.40000,2.64000,2.58000
2018-06-30,8390.00000,4227.00000,4163.00000,468.00000,1800.00000,506.00000,1762.00000,2401.00000,-51.00000,2350.00000,488.00000,1862.00000,,1862.00000,1857.00000,2781.00000,2401.00000,591.40000,604.20000,3.14000,3.07000
2018-03-31,8278.00000,4236.00000,4042.00000,486.00000,2573.00000,24.00000,3035.00000,1007.00000,-42.00000,965.00000,359.00000,606.00000,,606.00000,602.00000,1389.00000,1007.00000,596.20000,612.70000,1.01000,0.98000
2017-12-31,7990.00000,4094.00000,3896.00000,448.00000,1755.00000,96.00000,2107.00000,1789.00000,-117.00000,1672.00000,1147.00000,525.00000,,525.00000,523.00000,2138.00000,1789.00000,597.50000,612.70000,0.88000,0.86000
2017-09-30,8172.00000,4059.00000,4113.00000,468.00000,1637.00000,,2105.00000,2008.00000,-11.00000,1997.00000,564.00000,1433.00000,,1433.00000,1429.00000,2385.00000,2008.00000,597.60000,612.70000,2.39000,2.33000
2017-06-30,7810.00000,4020.00000,3790.00000,478.00000,1620.00000,461.00000,1637.00000,2153.00000,-11.00000,2142.00000,557.00000,1585.00000,,1585.00000,1583.00000,2533.00000,2153.00000,598.10000,612.80000,2.65000,2.58000
2017-03-31,7685.00000,3882.00000,3803.00000,476.00000,1614.00000,29.00000,2061.00000,1742.00000,-5.00000,1737.00000,411.00000,1326.00000,,1326.00000,1323.00000,2180.00000,1742.00000,598.10000,612.00000,2.21000,2.16000
2016-12-31,7329.00000,3794.00000,3535.00000,450.00000,1727.00000,,2066.00000,1469.00000,141.00000,1610.00000,454.00000,1156.00000,,1156.00000,1155.00000,1853.00000,1469.00000,604.70000,618.70000,1.92000,1.88000
2016-09-30,7709.00000,3847.00000,3862.00000,427.00000,1531.00000,,1958.00000,1904.00000,-42.00000,1862.00000,531.00000,1331.00000,,1331.00000,1329.00000,2272.00000,1904.00000,604.40000,618.80000,2.20000,2.15000
2016-06-30,7662.00000,3799.00000,3863.00000,437.00000,1560.00000,,1997.00000,1866.00000,-31.00000,1835.00000,542.00000,1293.00000,,1293.00000,1291.00000,2232.00000,1866.00000,606.90000,620.90000,2.13000,2.08000
2016-03-31,7409.00000,3678.00000,3731.00000,450.00000,1493.00000,,1943.00000,1788.00000,-42.00000,1746.00000,468.00000,1278.00000,,1278.00000,1275.00000,2144.00000,1788.00000,607.40000,621.30000,2.10000,2.05000
