,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,901.39980,475.50010,425.89970,,-136.90000,231.59990,194.29980,194.30000,49.10000,145.20000,145.20000,142.50000,286.39980,239.69990,277.50000,278.60000,0.52000,0.52000
2022-09-30,927.60000,470.30000,457.30000,,-143.00000,239.30000,218.00000,218.00000,56.90000,161.10000,161.10000,158.20000,315.40000,259.50000,277.80000,278.70000,0.57000,0.57000
2022-06-30,839.70000,412.10000,427.60000,,-150.30000,228.80000,198.80000,198.80000,53.60000,145.20000,145.20000,142.50000,278.50000,234.80000,277.20000,278.20000,0.51000,0.51000
2022-03-31,904.70000,459.00000,445.70000,,-123.20000,180.70000,265.00000,265.00000,44.70000,220.30000,220.30000,215.90000,323.20000,283.30000,277.10000,278.60000,0.78000,0.77000
2021-12-31,738.49980,416.80000,321.69980,,-125.80000,180.90010,140.79970,140.80000,39.10000,101.70000,101.70000,99.90000,189.49970,156.99990,276.00000,277.40000,0.36000,0.36000
2021-09-30,770.30000,395.00000,375.30000,,-123.90000,178.80000,196.49990,196.50000,50.10000,146.40000,146.40000,143.30000,252.09990,212.69990,276.20000,277.50000,0.52000,0.52000
2021-06-30,727.30000,395.60000,331.70000,,-90.80000,145.40000,186.30000,186.30000,47.00000,139.30000,139.30000,136.30000,241.70000,202.60000,275.70000,276.90000,0.49000,0.49000
2021-03-31,815.30000,429.50000,385.80000,,-93.30000,146.60000,239.20000,239.20000,39.50000,199.70000,199.70000,194.70000,293.20000,255.50000,275.60000,277.00000,0.71000,0.70000
2020-12-31,642.13700,377.49400,264.64290,,-81.28600,133.72490,130.91810,130.91800,33.58100,97.33700,97.33700,94.64900,183.21310,147.58390,274.30000,275.80000,0.35000,0.34000
2020-09-30,673.96200,362.76700,311.19500,,-105.72700,152.66700,158.52800,158.52800,24.54900,133.97900,133.97900,130.23900,206.03200,171.76190,275.51500,276.93300,0.47000,0.47000
