,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-11-30,3312.90000,2390.60000,922.29980,372.70000,366.60000,555.70000,-100.30000,455.40000,122.50000,332.90000,382.20000,,381.90000,648.20000,555.70000,479.40000,480.90000,0.80000,0.79000
2022-08-31,2904.30000,2184.00000,720.30000,741.60000,735.50000,-15.20000,-97.10000,-112.30000,14.40000,-126.70000,-77.50000,,-77.50000,77.80010,-15.20000,480.60000,480.60000,-0.16000,-0.16000
2022-05-31,2910.00000,2196.60000,713.40060,499.30000,480.30000,233.10030,-96.20000,136.90000,26.70000,110.19990,157.70000,,158.90010,322.90030,233.10060,480.30000,482.20000,0.34000,0.33000
2022-02-28,2913.70000,2216.50000,697.20000,338.00000,321.90000,375.30000,-94.60000,280.70000,109.90000,170.80000,218.90000,,218.40000,467.40010,375.30000,480.30000,482.20000,0.45000,0.45000
2021-11-30,3058.90000,2304.10000,754.79980,345.40000,329.30000,425.50000,-94.90000,330.60000,84.20000,246.40000,275.90000,,275.50000,522.50000,425.50000,480.20000,481.90000,0.57000,0.57000
2021-08-31,2653.30000,1979.90000,673.40000,310.10000,294.00000,379.40010,-94.20000,285.20000,69.70000,215.50000,235.70000,,235.40000,475.90010,379.40010,480.40000,482.30000,0.49000,0.49000
2021-05-31,2739.50000,2017.80000,721.69970,435.30000,422.00000,299.69950,-98.40000,201.30000,-75.20000,276.50010,309.90010,,309.50000,397.79950,299.70020,485.80000,487.80000,0.65000,0.64000
2021-02-28,2771.10000,2012.70000,758.40010,309.70000,296.00000,462.40010,-100.60000,361.80000,101.60000,260.20000,281.70000,,281.40000,559.00010,462.40010,485.70000,487.60000,0.58000,0.58000
2020-11-30,2995.20000,2106.30000,888.89990,357.70000,344.00000,544.89990,-107.70000,437.20000,80.70000,356.50000,379.50000,,378.90000,642.69990,544.89990,489.10000,490.90000,0.77000,0.77000
2020-08-31,2678.90000,1868.70000,810.20000,300.30000,286.50000,523.70000,-113.70000,410.00000,86.70000,323.30000,329.80000,,329.00000,618.90000,523.70000,488.20000,489.90000,0.67000,0.67000
2020-05-31,3287.90100,2365.10000,922.80080,532.00000,559.29900,363.50120,-125.30000,238.20000,59.80000,178.40010,201.30000,,201.39990,459.90120,363.50100,487.30000,488.60000,0.41000,0.41000
2020-02-29,2555.00000,1870.60000,684.40000,319.90000,303.50000,380.89990,-117.70000,263.20000,68.90000,194.30000,204.70000,,204.40000,479.99990,380.89990,487.40000,488.80000,0.42000,0.42000
2019-11-30,2820.80000,2022.90000,797.90000,369.80000,358.50000,439.40010,-121.40000,318.00000,84.10000,233.90000,261.50000,,260.50000,536.10020,439.40010,487.30000,488.30000,0.53000,0.53000
2019-08-31,2390.70000,1726.20000,664.50000,400.80000,391.30000,273.20000,-122.70000,150.50000,-11.50000,162.00000,174.30000,,173.80000,369.90000,273.20000,486.80000,487.90000,0.36000,0.36000
2019-05-31,2613.20100,1905.20000,708.00110,394.70010,389.30000,318.70070,-130.90000,187.80000,71.80000,116.00000,125.20000,,126.50000,419.10070,318.70030,444.00000,445.60000,0.27000,0.26000
2019-02-28,2707.10000,1954.80000,752.30000,334.10000,324.30000,428.00000,-130.90000,297.10000,67.20000,229.90000,242.60000,,242.00000,520.30000,428.00000,486.20000,487.40000,0.50000,0.50000
2018-11-30,2383.70000,1706.50000,677.20000,487.30000,477.60000,199.59990,-80.60000,119.00000,22.40000,96.60000,134.30000,-1.90000,131.60000,276.19990,199.59990,419.90000,421.80000,0.31000,0.31000
2018-08-31,1834.40000,1318.90000,515.50000,257.30000,247.10000,268.40000,-49.00000,219.40000,57.40000,162.00000,178.20000,,178.20000,332.10000,268.40000,391.70000,394.10000,0.45000,0.45000
2018-05-31,1966.20000,1390.80000,575.40040,461.90010,441.50000,133.89990,-44.50000,89.40000,36.50000,52.89990,70.60000,-0.30000,69.60000,197.49990,133.89990,403.90000,407.40000,0.17000,0.18000
2018-02-28,1994.50000,1395.70000,598.80000,352.10000,330.20000,268.60010,-39.80000,228.80000,-91.40000,320.20000,349.20000,14.50000,362.80000,333.00010,268.60010,399.10000,402.50000,0.91000,0.90000
2017-11-30,2173.40000,1515.10000,658.29990,324.80000,307.30000,351.00000,-38.00000,313.00000,109.50000,203.50000,224.10000,0.40000,223.50000,415.30000,351.00000,406.50000,410.40000,0.55000,0.54000
2017-08-31,1804.20000,1285.20000,519.00000,259.60000,239.00000,280.00000,-36.40000,243.60000,120.00000,123.60000,153.60000,-0.30000,152.50000,344.70000,280.00000,415.10000,419.20000,0.37000,0.36000
2017-05-31,1861.70000,1331.00000,530.69980,474.70000,419.50000,111.20030,-37.50000,73.70000,-60.80000,134.50000,153.60000,-1.70000,151.30000,179.40030,111.20010,431.90000,436.00000,0.36000,0.35000
