,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,927.77910,357.96790,569.81120,105.38200,279.39000,402.33620,167.47500,0.92500,168.40000,-8.41800,176.81800,176.81800,176.81800,317.14400,167.47490,159.08900,160.46700,1.12000,1.11000
2022-09-30,881.89600,346.45000,535.44600,94.04700,263.36000,375.00790,160.43800,-2.27800,158.16000,50.00600,108.15400,108.15400,108.15400,312.50900,160.43800,158.71500,159.06800,0.68000,0.68000
2022-06-30,903.33200,346.64900,556.68300,92.07000,267.88400,381.64100,175.04200,-4.44700,170.59500,51.05800,119.53700,119.53700,119.53700,326.73700,175.04200,160.03800,161.71000,0.75000,0.74000
2022-03-31,903.64700,332.75200,570.89500,99.93500,275.98100,397.57600,173.31900,-12.47100,160.84800,34.05000,126.79800,119.16300,119.16300,317.03300,173.31900,160.49400,163.63700,0.74000,0.73000
2021-12-31,905.35790,325.40310,579.95480,93.17300,272.95390,383.87000,196.08480,-15.10500,180.98000,19.01600,161.96400,160.53400,160.53400,354.52480,196.08480,162.66500,165.80400,1.00000,0.97000
2021-09-30,860.33300,316.86600,543.46700,82.89900,242.77900,338.20200,205.26500,-11.63700,193.62800,13.64800,179.98000,178.91600,178.91600,361.57900,205.26500,162.76700,166.31800,1.10000,1.08000
2021-06-30,852.82400,320.00000,532.82400,77.25500,246.18900,333.39000,199.43400,-14.11200,185.32200,18.00900,167.31300,156.49700,156.49700,353.60900,199.43400,163.07400,166.26300,0.96000,0.94000
2021-03-31,842.70800,306.68700,536.02100,82.04500,253.06900,353.65710,182.36400,-14.07300,168.29100,11.89800,156.39300,155.69500,155.69500,330.09190,182.36400,163.06100,165.68800,0.95000,0.94000
2020-12-31,846.28690,303.84710,542.43980,67.22800,302.85400,407.82260,134.61710,-5.65700,128.96000,4.15800,124.80200,113.37000,113.37000,278.09120,134.61720,162.49000,165.21300,0.70000,0.69000
2020-09-30,792.84500,283.43900,509.40600,66.77300,251.11400,328.24800,181.15800,-13.17500,167.98300,8.80100,159.18200,158.62300,158.62300,315.79800,181.15800,162.75700,166.51900,0.97000,0.95000
2020-06-30,794.71500,276.80400,517.91100,64.09000,253.17800,327.48200,190.42900,-9.35000,181.07900,18.67100,162.40800,161.91500,161.91500,321.68600,190.42900,162.41300,164.76800,1.00000,0.98000
2020-03-31,764.30200,268.58200,495.72000,71.22400,251.14700,343.39000,152.33000,-14.27000,138.06000,14.29200,123.76800,123.14600,123.14600,284.17100,152.33000,161.99200,163.68400,0.76000,0.75000
2019-12-31,772.12310,257.75010,514.37300,68.89800,290.16910,379.05110,135.32190,-5.88200,129.44000,10.63200,118.80800,119.10000,119.10000,266.21790,135.32170,162.70600,164.57300,0.73000,0.72000
2019-09-30,709.91200,246.93800,462.97400,64.88700,245.47400,319.68500,143.28900,-4.97100,138.31800,-0.96000,139.27800,137.89000,137.89000,265.02600,143.28900,162.44500,164.55800,0.85000,0.84000
2019-06-30,705.07400,242.19300,462.88100,61.43900,255.22200,327.09900,135.78200,-2.61400,133.16800,19.25300,113.91500,113.91500,113.91500,249.85700,135.78200,163.40700,165.01900,0.70000,0.69000
2019-03-31,706.50800,240.74300,465.76500,66.14100,249.11100,331.24000,134.52500,-2.97000,131.55500,24.42500,107.13000,107.13000,107.13000,254.34800,134.52500,163.23600,164.78700,0.66000,0.65000
2018-12-31,713.36320,243.92700,469.43620,60.34200,267.36210,349.14780,120.28830,-7.21500,113.07300,19.05800,94.01500,94.01500,94.01500,250.69630,120.28830,167.31200,169.18800,0.56000,0.56000
2018-09-30,669.62800,239.24600,430.38200,61.04900,245.23400,313.84500,116.53700,-5.76700,110.77000,3.18700,107.58300,107.58300,107.58300,238.45500,116.53700,165.92400,167.90000,0.65000,0.64000
2018-06-30,662.75900,235.48700,427.27200,59.70900,301.88600,370.15500,57.11700,-5.56400,51.55300,8.49200,43.06100,43.06100,43.06100,172.32400,57.11700,170.25000,172.30700,0.25000,0.25000
2018-03-31,668.72400,234.82500,433.89900,65.06500,276.93800,365.34200,68.55700,-0.86400,67.69300,13.97900,53.71400,53.71400,53.71400,177.50200,68.55700,170.11600,172.00400,0.32000,0.31000
