,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,988.00000,115.00000,873.00000,514.00000,514.00000,359.00000,,359.00000,75.00000,284.00000,284.00000,277.00000,150.06400,150.27100,1.84000,1.83000
2022-09-30,872.00000,44.00000,828.00000,550.00000,550.00000,278.00000,,278.00000,61.00000,217.00000,217.00000,211.00000,149.62800,149.79200,1.40000,1.40000
2022-06-30,780.00000,15.00000,765.00000,505.00000,505.00000,260.00000,,260.00000,57.00000,203.00000,203.00000,195.00000,150.63500,150.83800,1.29000,1.29000
2022-03-31,697.00000,11.00000,686.00000,431.00000,431.00000,255.00000,,255.00000,52.00000,203.00000,203.00000,195.00000,151.28500,151.68700,1.27000,1.27000
2021-12-31,756.00000,13.00000,743.00000,474.00000,474.00000,269.00000,,269.00000,56.00000,213.00000,213.00000,207.00000,159.91300,160.23400,1.37000,1.36000
2021-09-30,708.00000,14.00000,694.00000,383.00000,383.00000,311.00000,,311.00000,71.00000,240.00000,240.00000,234.00000,160.22100,160.48000,1.45000,1.45000
2021-06-30,775.00000,15.00000,760.00000,305.00000,305.00000,455.00000,,455.00000,101.00000,354.00000,354.00000,345.00000,162.74200,163.05400,2.08000,2.08000
2021-03-31,731.00000,17.00000,714.00000,303.00000,303.00000,411.00000,,411.00000,89.00000,322.00000,322.00000,314.00000,163.55100,163.88700,1.90000,1.90000
2020-12-31,736.00000,20.00000,716.00000,356.00000,356.00000,360.00000,,359.00000,75.00000,284.00000,284.00000,275.00000,163.73700,165.61300,1.67000,1.63000
2020-09-30,738.00000,26.00000,712.00000,497.00000,497.00000,215.00000,,215.00000,40.00000,175.00000,175.00000,167.00000,163.60800,163.77900,1.01000,1.01000
2020-06-30,712.00000,32.00000,680.00000,598.00000,598.00000,82.00000,,82.00000,16.00000,66.00000,66.00000,57.00000,163.54200,164.42500,0.34000,0.34000
2020-03-31,756.00000,74.00000,682.00000,666.00000,666.00000,16.00000,,16.00000,2.00000,14.00000,14.00000,6.00000,164.14300,172.99800,0.04000,0.04000
2019-12-31,799.00000,87.00000,712.00000,477.00000,477.00000,235.00000,,235.00000,52.00000,183.00000,183.00000,174.00000,175.98400,186.50400,1.03000,0.96000
2019-09-30,823.00000,110.00000,713.00000,425.00000,425.00000,288.00000,,288.00000,66.00000,222.00000,222.00000,214.00000,173.16000,181.87000,1.23000,1.17000
2019-06-30,816.00000,115.00000,701.00000,445.00000,445.00000,256.00000,,256.00000,58.00000,198.00000,198.00000,189.00000,179.15600,189.09800,1.05000,0.99000
2019-03-31,807.00000,99.00000,708.00000,434.00000,434.00000,274.00000,,274.00000,61.00000,213.00000,213.00000,205.00000,184.76700,195.24100,1.10000,1.04000
2018-12-31,795.00000,80.00000,715.00000,425.00000,425.00000,290.00000,,290.00000,64.00000,226.00000,226.00000,217.00000,193.58900,206.50100,1.14000,1.06000
2018-09-30,767.00000,66.00000,701.00000,409.00000,409.00000,292.00000,,292.00000,69.00000,223.00000,223.00000,215.00000,192.97300,205.76500,1.11000,1.04000
2018-06-30,744.00000,58.00000,686.00000,433.00000,433.00000,253.00000,,253.00000,56.00000,197.00000,197.00000,187.00000,195.58300,209.24700,0.95000,0.89000
2018-03-31,727.00000,47.00000,680.00000,372.00000,372.00000,308.00000,,308.00000,70.00000,238.00000,238.00000,231.00000,196.72200,210.24300,1.16000,1.09000
2017-12-31,703.00000,36.00000,667.00000,406.00000,406.00000,261.00000,,261.00000,136.00000,125.00000,125.00000,115.00000,200.77600,209.65300,0.57000,0.54000
2017-09-30,696.00000,35.00000,661.00000,418.00000,418.00000,243.00000,,243.00000,83.00000,160.00000,160.00000,152.00000,200.33200,209.10600,0.75000,0.72000
2017-06-30,690.00000,30.00000,660.00000,412.00000,412.00000,248.00000,,248.00000,80.00000,168.00000,168.00000,154.00000,201.82200,208.18300,0.76000,0.73000
2017-03-31,647.00000,26.00000,621.00000,437.00000,437.00000,184.00000,,184.00000,45.00000,139.00000,139.00000,129.00000,202.34700,210.40500,0.63000,0.61000
2016-12-31,629.00000,21.00000,608.00000,407.00000,407.00000,201.00000,,207.00000,70.00000,137.00000,137.00000,124.00000,203.85500,204.26900,0.61000,0.60000
2016-09-30,636.00000,22.00000,614.00000,420.00000,422.00000,192.00000,,192.00000,65.00000,127.00000,127.00000,117.00000,204.31200,204.71400,0.57000,0.57000
2016-06-30,613.00000,22.00000,591.00000,415.00000,417.00000,174.00000,,174.00000,60.00000,114.00000,114.00000,91.00000,204.23600,204.53600,0.44000,0.44000
2016-03-31,592.00000,22.00000,570.00000,436.00000,438.00000,132.00000,,132.00000,41.00000,91.00000,91.00000,79.00000,203.96700,204.09600,0.38000,0.38000
2015-12-31,591.48800,24.51500,566.97300,418.38600,420.41200,146.56090,,146.56100,44.54500,102.01600,102.01600,88.58300,203.26500,203.69800,0.43000,0.43000
2015-09-30,582.17400,30.85300,551.32100,407.24400,409.54200,141.77910,,141.77900,40.78000,100.99900,100.99900,84.23800,203.66800,204.15500,0.41000,0.41000
2015-06-30,450.55400,31.53200,419.02200,397.24500,399.56300,19.45900,,19.45900,5.49900,13.96000,13.96000,-1.10000,202.88800,202.88800,-0.01000,-0.01000
2015-03-31,565.78400,31.10000,534.68400,389.12500,391.48300,143.20100,,143.20100,51.17600,92.02500,92.02500,75.27900,202.60300,202.94400,0.37000,0.37000
2014-12-31,575.43110,31.53000,543.90110,415.68800,418.32800,125.57310,,125.57300,43.75900,81.81400,81.81400,66.76100,192.20700,192.78900,0.31000,0.31000
2014-09-30,576.34700,43.45700,532.89000,381.22800,383.89300,148.99700,,148.99700,53.10900,95.88800,95.88800,79.12700,196.68700,197.27100,0.40000,0.40000
2014-06-30,588.04100,46.90800,541.13300,348.87500,351.61100,189.52200,,189.52200,69.97200,119.55000,119.55000,104.49000,184.66800,185.28600,0.56000,0.56000
2014-03-31,605.88700,51.10300,554.78400,394.57100,397.45300,157.33110,,157.33100,56.12100,101.21000,101.21000,76.19000,184.44000,185.12300,0.41000,0.41000
2013-12-31,458.86700,57.98200,400.88500,460.98790,464.21190,-63.32690,,-63.32700,-21.85500,-41.47200,-41.47200,-59.43700,183.84400,184.29700,-0.33000,-0.32000
2013-09-30,595.59700,57.88600,537.71110,361.52000,365.09000,172.62100,,172.62100,61.10700,111.51400,111.51400,209.70700,184.11200,184.74200,1.13000,1.12000
2013-06-30,618.38100,62.57600,555.80500,425.92600,429.68800,126.11690,,126.11700,43.09100,83.02600,83.02600,55.38500,183.64700,184.06200,0.30000,0.30000
2013-03-31,605.96700,66.63300,539.33400,364.49400,368.31300,171.02100,,171.02100,60.63400,110.38700,110.38700,88.32400,183.39600,183.65500,0.48000,0.48000
2012-12-31,552.41600,68.30000,484.11600,392.39690,396.61300,87.50310,,87.50300,29.81700,57.68600,57.68600,35.60500,183.08100,183.23600,0.19000,0.19000
2012-09-30,634.22600,70.83900,563.38700,388.84500,393.08600,170.30100,,170.30100,60.70400,109.59700,109.59700,62.32200,183.23700,183.38300,0.34000,0.34000
2012-06-30,641.25300,86.24400,555.00900,408.24700,412.50900,142.50000,,142.50000,51.03600,91.46400,91.46400,55.21500,182.98500,183.13700,0.30000,0.30000
2012-03-31,630.69700,81.39900,549.29800,403.74500,408.03600,141.26200,,141.26200,51.85900,89.40300,89.40300,25.48900,182.79800,182.96400,0.14000,0.14000
2011-12-31,637.77710,77.56500,560.21210,418.82310,423.56410,136.64800,,136.64800,47.87700,88.77100,88.77100,44.42000,182.39300,182.60500,0.24000,0.24000
2011-09-30,675.43800,83.80100,591.63700,418.79800,423.57100,168.06600,,168.06600,59.34800,108.71800,108.71800,65.16500,182.67600,183.85800,0.35000,0.35000
2011-06-30,687.01500,142.49400,544.52100,412.73100,417.58600,126.93500,,126.93500,54.32500,72.61000,72.61000,29.03800,182.47200,182.72800,0.16000,0.16000
2011-03-31,686.53500,128.53600,557.99900,462.67400,468.37500,89.62400,,89.62400,37.03300,52.59100,52.59100,14.76700,181.70700,181.99800,0.08000,0.08000
2010-12-31,687.27690,167.17000,520.10690,610.36800,616.59800,-96.49120,,-96.49100,-24.09700,-72.39400,-72.39400,-110.28700,166.05400,166.05400,-0.60000,-0.60000
2010-09-30,692.13400,130.05900,562.07500,634.41600,640.71200,-78.63700,,-78.63700,-31.18000,-47.45700,-47.45700,-80.46900,172.86500,172.86500,-0.47000,-0.47000
2010-06-30,693.15100,170.39200,522.75900,652.60400,659.01800,-136.25900,,-136.25900,-22.89800,-113.36100,-113.36100,-135.22800,161.81000,161.81000,-0.84000,-0.84000
2010-03-31,687.74500,124.83500,562.91000,648.11400,654.69090,-91.78090,,-91.78100,-28.64400,-63.13700,-63.13700,-86.52100,151.07300,151.07300,-0.57000,-0.57000
2009-12-31,672.01290,149.23700,522.77590,821.71300,1468.06400,-945.28810,,-311.29600,-125.80900,-185.48700,-185.48700,-176.48190,124.44300,124.44300,-0.81000,-0.81000
2009-09-30,902.54200,159.62200,742.92000,993.06200,1000.63700,-257.71700,,-257.71700,-100.04600,-157.67100,-157.67100,-181.88000,127.58100,127.58100,-1.43000,-1.43000
2009-06-30,1250.43200,144.00800,1106.42400,1175.04500,1182.12300,-75.69910,,-75.69900,-23.76100,-51.93800,-51.93800,-23.75800,115.90800,115.90800,-0.21000,-0.21000
2009-03-31,494.44000,164.92700,329.51300,666.94310,673.82900,-344.31600,-633.99200,-978.30800,-151.72700,-826.58100,-826.58100,-852.32700,114.10600,114.10600,-7.47000,-7.47000
