,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1154.00000,134.00000,1020.00000,574.00000,574.00000,446.00000,,446.00000,96.00000,350.00000,350.00000,,342.00000,131.00000,133.00000,2.60000,2.58000
2022-09-30,1028.00000,43.00000,985.00000,530.00000,530.00000,455.00000,,455.00000,104.00000,351.00000,351.00000,,343.00000,131.00000,132.00000,2.63000,2.60000
2022-06-30,845.00000,16.00000,829.00000,492.00000,492.00000,337.00000,,337.00000,76.00000,261.00000,261.00000,,255.00000,131.00000,132.00000,1.94000,1.92000
2022-03-31,713.00000,13.00000,700.00000,462.00000,462.00000,238.00000,,238.00000,49.00000,189.00000,189.00000,,182.00000,131.00000,133.00000,1.39000,1.37000
2021-12-31,763.00000,13.00000,750.00000,461.00000,461.00000,289.00000,,289.00000,61.00000,228.00000,228.00000,,221.00000,135.00000,137.00000,1.72000,1.70000
2021-09-30,769.00000,14.00000,755.00000,423.00000,423.00000,332.00000,,332.00000,70.00000,262.00000,262.00000,,255.00000,133.00000,134.00000,1.92000,1.90000
2021-06-30,763.00000,14.00000,749.00000,328.00000,328.00000,421.00000,,421.00000,93.00000,328.00000,328.00000,,321.00000,136.00000,138.00000,2.35000,2.32000
2021-03-31,729.00000,16.00000,713.00000,265.00000,265.00000,448.00000,,448.00000,98.00000,350.00000,350.00000,,343.00000,140.00000,141.00000,2.46000,2.43000
2020-12-31,754.00000,20.00000,734.00000,448.00000,448.00000,286.00000,,286.00000,65.00000,221.00000,221.00000,,215.00000,139.00000,140.00000,1.53000,1.53000
2020-09-30,736.00000,26.00000,710.00000,443.00000,443.00000,267.00000,,267.00000,50.00000,217.00000,217.00000,,209.00000,139.00000,140.00000,1.49000,1.48000
2020-06-30,758.00000,40.00000,718.00000,572.00000,572.00000,146.00000,,146.00000,28.00000,118.00000,118.00000,,117.00000,139.00000,139.00000,0.85000,0.84000
2020-03-31,846.00000,96.00000,750.00000,828.00000,828.00000,-78.00000,,-78.00000,-19.00000,-59.00000,-59.00000,,-59.00000,141.00000,141.00000,-0.42000,-0.42000
2019-12-31,925.00000,115.00000,810.00000,453.00000,453.00000,357.00000,,357.00000,84.00000,273.00000,273.00000,,271.00000,150.00000,151.00000,1.91000,1.89000
2019-09-30,967.00000,125.00000,842.00000,470.00000,470.00000,372.00000,,372.00000,80.00000,292.00000,292.00000,,290.00000,147.00000,148.00000,1.98000,1.96000
2019-06-30,977.00000,124.00000,853.00000,468.00000,468.00000,385.00000,,385.00000,87.00000,298.00000,298.00000,,297.00000,152.00000,153.00000,1.95000,1.94000
2019-03-31,948.00000,104.00000,844.00000,420.00000,420.00000,424.00000,,424.00000,85.00000,339.00000,339.00000,,337.00000,158.00000,160.00000,2.14000,2.11000
2018-12-31,954.00000,90.00000,864.00000,450.00000,450.00000,414.00000,-14.00000,400.00000,90.00000,310.00000,310.00000,,308.00000,168.00000,171.00000,1.90000,1.88000
