,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,8219.00000,2934.00000,5285.00000,118.00000,258.00000,-446.00000,2610.00000,2675.00000,-275.00000,2400.00000,473.00000,1927.00000,1927.00000,,1727.00000,,2644.00000,905.70000,990.50000,1.90000,1.74000
2022-09-30,9390.00000,3054.00000,6336.00000,47.00000,247.00000,-480.00000,2758.00000,3578.00000,70.00000,3648.00000,902.00000,2746.00000,2746.00000,,2528.00000,5636.00000,3900.00000,922.00000,1002.50000,2.74000,2.52000
2022-06-30,10676.00000,3235.00000,7441.00000,26.00000,244.00000,-506.00000,2582.00000,4859.00000,127.00000,4986.00000,1231.00000,3755.00000,3755.00000,,3527.00000,6737.00000,5009.00000,939.20000,1018.30000,3.76000,3.47000
2022-03-31,8349.00000,2840.00000,5509.00000,25.00000,196.00000,-375.00000,2561.00000,2948.00000,135.00000,3083.00000,-1793.00000,4876.00000,4876.00000,,4676.00000,5011.00000,3368.00000,936.70000,997.70000,4.96000,4.65000
2021-12-31,7913.00000,2655.00000,5258.00000,107.00000,280.00000,-486.00000,3200.00000,2058.00000,-28.00000,2030.00000,469.00000,1561.00000,1561.00000,-24.00000,1332.00000,4433.00000,2467.00000,935.00000,958.80000,1.42000,1.39000
2021-09-30,6792.00000,2508.00000,4284.00000,31.00000,240.00000,-423.00000,3041.00000,1243.00000,-26.00000,1217.00000,387.00000,830.00000,830.00000,-2.00000,623.00000,3626.00000,1710.00000,935.40000,957.70000,0.67000,0.65000
2021-06-30,5958.00000,2239.00000,3719.00000,86.00000,177.00000,-383.00000,3353.00000,366.00000,-223.00000,143.00000,43.00000,100.00000,100.00000,3.00000,-97.00000,3171.00000,800.00000,934.20000,934.20000,-0.10000,-0.10000
2021-03-31,5293.00000,2257.00000,3036.00000,28.00000,166.00000,-412.00000,3120.00000,-84.00000,399.00000,315.00000,16.00000,299.00000,299.00000,-445.00000,-346.00000,2580.00000,386.00000,933.10000,947.90000,-0.37000,-0.36000
2020-12-31,4160.00000,2090.00000,2070.00000,33.00000,209.00000,-1424.00000,3645.00000,-1575.00000,150.00000,-1425.00000,-276.00000,-1149.00000,-1149.00000,37.00000,-1312.00000,618.00000,-1136.00000,918.70000,918.70000,-1.38000,-1.38000
2020-09-30,4108.00000,1950.00000,2158.00000,29.00000,166.00000,-3857.00000,6304.00000,-4146.00000,88.00000,-4058.00000,-403.00000,-3655.00000,-3655.00000,80.00000,-3778.00000,-1857.00000,-3772.00000,929.30000,929.30000,-4.07000,-4.07000
2020-06-30,2928.00000,1789.00000,1139.00000,33.00000,225.00000,-6444.00000,9247.00000,-8108.00000,-76.00000,-8184.00000,-1468.00000,-6716.00000,-6716.00000,-1415.00000,-8353.00000,-5646.00000,-7765.00000,915.50000,915.50000,-9.12000,-9.12000
2020-03-31,6613.00000,2639.00000,3974.00000,37.00000,264.00000,-2499.00000,5427.00000,-1453.00000,-585.00000,-2038.00000,-25.00000,-2013.00000,-2013.00000,,-2232.00000,1242.00000,-1067.00000,896.70000,896.70000,-2.49000,-2.49000
2019-12-31,6628.00000,2483.00000,4145.00000,113.00000,345.00000,-2111.00000,5280.00000,-1135.00000,266.00000,-869.00000,167.00000,-1036.00000,-1036.00000,,-1336.00000,1710.00000,-659.00000,809.50000,809.50000,-1.82000,-1.82000
2019-09-30,5859.00000,2377.00000,3482.00000,63.00000,245.00000,-1623.00000,4023.00000,-541.00000,-33.00000,-574.00000,163.00000,-737.00000,-737.00000,-15.00000,-912.00000,1663.00000,-104.00000,845.70000,845.70000,-1.08000,-1.08000
2019-06-30,4420.00000,1817.00000,2603.00000,35.00000,163.00000,-271.00000,1662.00000,941.00000,,941.00000,306.00000,635.00000,635.00000,,635.00000,2166.00000,1135.00000,748.30000,749.50000,0.84000,0.84000
2019-03-31,4004.00000,1710.00000,2294.00000,36.00000,140.00000,-269.00000,1438.00000,856.00000,,856.00000,225.00000,631.00000,631.00000,,628.00000,2005.00000,1032.00000,748.90000,750.50000,0.84000,0.84000
2018-12-31,4762.00000,1954.00000,2808.00000,50.00000,162.00000,-473.00000,1835.00000,973.00000,,973.00000,126.00000,847.00000,706.00000,,709.00000,2193.00000,1107.00000,761.70000,763.30000,0.94000,0.93000
2018-09-30,5216.00000,1786.00000,3430.00000,24.00000,151.00000,409.00000,851.00000,2579.00000,,2579.00000,710.00000,1869.00000,1869.00000,,1869.00000,3732.00000,2709.00000,761.70000,763.30000,2.44000,2.44000
2018-06-30,4083.00000,1465.00000,2618.00000,21.00000,142.00000,-377.00000,1546.00000,1072.00000,,1072.00000,302.00000,770.00000,848.00000,,848.00000,2154.00000,1207.00000,765.70000,767.40000,1.10000,1.10000
2018-03-31,3763.00000,1363.00000,2400.00000,15.00000,130.00000,-282.00000,1416.00000,984.00000,,984.00000,339.00000,645.00000,708.00000,,705.00000,2031.00000,1110.00000,765.60000,767.00000,0.92000,0.92000
