,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1962.00000,525.00000,1437.00000,949.00000,949.00000,488.00000,488.00000,102.00000,386.00000,386.00000,346.00000,183.00000,184.00000,1.89000,1.88000
2022-09-30,1772.00000,249.00000,1523.00000,955.00000,955.00000,568.00000,568.00000,123.00000,445.00000,445.00000,405.00000,182.00000,183.00000,2.23000,2.21000
2022-06-30,1579.00000,70.00000,1509.00000,944.00000,944.00000,565.00000,565.00000,132.00000,433.00000,433.00000,392.00000,180.00000,181.00000,2.18000,2.16000
2022-03-31,1440.00000,44.00000,1396.00000,876.00000,876.00000,520.00000,520.00000,119.00000,401.00000,401.00000,364.00000,180.00000,182.00000,2.03000,2.00000
2021-12-31,1414.00000,47.00000,1367.00000,890.00000,890.00000,477.00000,477.00000,77.00000,400.00000,400.00000,368.00000,177.00000,180.00000,2.05000,2.03000
2021-09-30,1369.00000,66.00000,1303.00000,832.00000,832.00000,471.00000,471.00000,101.00000,370.00000,370.00000,345.00000,178.00000,180.00000,1.94000,1.91000
2021-06-30,1304.00000,75.00000,1229.00000,778.00000,778.00000,451.00000,451.00000,78.00000,373.00000,373.00000,350.00000,176.00000,179.00000,1.98000,1.95000
2021-03-31,1218.00000,83.00000,1135.00000,706.00000,706.00000,429.00000,429.00000,94.00000,335.00000,335.00000,316.00000,175.00000,177.00000,1.81000,1.79000
2020-12-31,1179.88300,99.30300,1080.58000,712.56500,712.56500,368.01480,379.29000,83.88100,295.40900,295.40900,279.06200,172.00000,173.00000,1.62000,1.60000
2020-09-30,1132.95900,131.69600,1001.26300,636.74800,636.74800,364.51500,364.51500,71.37800,293.13700,293.13700,278.32100,172.14200,172.93200,1.62000,1.61000
2020-06-30,1074.99300,156.01200,918.98110,589.30000,600.57500,318.40600,318.40600,61.63800,256.76800,256.76800,241.95100,171.62700,172.65900,1.41000,1.40000
2020-03-31,1120.16500,203.98900,916.17600,644.38700,644.38700,271.78910,271.78900,53.10300,218.68600,218.68600,205.66600,170.83500,172.03900,1.20000,1.20000
2019-12-31,1093.60000,216.52400,877.07610,568.27300,568.27300,308.80310,308.80300,62.80200,246.00100,246.00100,235.36300,168.00000,170.00000,1.40000,1.39000
2019-09-30,1051.98300,214.79100,837.19200,550.66100,550.66100,286.53100,286.53100,51.68700,234.84400,234.84400,222.05700,168.27200,169.34600,1.32000,1.31000
2019-06-30,1031.08200,211.70600,819.37600,550.05400,550.05400,269.32200,269.32200,46.75800,222.56400,222.56400,209.77600,167.68500,169.57200,1.25000,1.24000
2019-03-31,979.33500,171.97900,807.35600,539.01200,539.01200,268.34410,268.34400,41.75300,226.59100,226.59100,213.80400,167.11200,169.41000,1.28000,1.26000
2018-12-31,972.20180,161.45200,810.74990,523.67110,523.67120,287.07870,287.07890,55.66100,231.41800,231.41800,215.19000,162.94800,165.61200,1.31000,1.29000
2018-09-30,914.41300,145.58400,768.82900,502.63200,502.63190,266.19710,266.19700,52.65100,213.54600,213.54600,196.43400,163.04800,165.49800,1.20000,1.19000
2018-06-30,866.86000,122.74600,744.11400,491.92700,491.92700,252.18710,252.18700,42.40600,209.78100,209.78100,197.61800,162.15200,165.01300,1.22000,1.20000
2018-03-31,821.57600,100.71600,720.86000,474.58100,474.58100,246.27900,246.27900,47.19600,199.08300,199.08300,186.86100,161.75200,164.83900,1.16000,1.13000
2017-12-31,793.09780,93.94000,699.15780,462.58500,462.58500,236.57280,236.57310,42.29600,194.27700,194.27700,180.00500,157.62400,162.34000,1.12000,1.10000
2017-09-30,756.50000,86.21400,670.28600,428.47200,428.47200,241.81400,241.81400,41.80500,200.00900,200.00900,185.73700,157.75200,162.37700,1.18000,1.14000
2017-06-30,708.52700,67.19100,641.33610,421.03800,421.03800,220.29800,220.29800,33.69800,186.60000,186.60000,172.25600,157.30200,162.33500,1.10000,1.06000
2017-03-31,653.95400,52.81000,601.14400,387.62700,387.62700,213.51700,213.51700,36.74300,176.77400,176.77400,161.62200,155.01200,160.43300,1.04000,1.01000
2016-12-31,646.42810,46.96900,599.45910,389.83700,389.83700,209.62210,228.78500,49.66700,179.11800,179.11800,161.74200,148.75200,154.09500,1.07000,1.03000
2016-09-30,601.58500,43.71000,557.87500,349.62000,355.73600,202.13900,202.13900,30.32100,171.81800,171.81800,154.44100,149.80000,154.82400,1.03000,1.00000
2016-06-30,572.86900,37.79400,535.07500,327.89600,334.28200,200.79300,200.79300,35.79600,164.99700,164.99700,147.62100,147.20800,152.60200,1.00000,0.97000
2016-03-31,554.80300,35.23800,519.56500,317.02500,323.68600,195.87900,195.87900,38.38400,157.49500,157.49500,141.03500,145.96300,151.70100,0.97000,0.93000
2015-12-31,531.35700,36.50700,494.85000,306.03600,312.96900,181.88100,181.88100,41.83500,140.04600,140.04600,124.73200,141.68900,145.51000,0.88000,0.85000
2015-09-30,505.77500,37.14700,468.62800,285.66800,290.39900,178.22900,178.22900,43.38700,134.84200,134.84200,119.52800,142.15200,145.89000,0.84000,0.82000
