,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,524.46800,220.49200,303.97600,57.87200,-3.32600,243.57200,60.40390,-50.96900,9.43500,-0.65000,10.08500,,9.92900,0.87300,6.73200,215.26090,60.40390,538.80900,539.14700,,0.01000
2022-09-30,520.40600,220.20800,300.19800,24.54900,-3.40700,201.87400,98.32400,257.45100,355.77500,-3.83400,359.60900,,359.28400,-1.29800,353.36600,238.60400,98.32400,538.41700,546.01500,0.66000,0.65000
2022-06-30,517.93200,215.04400,302.88800,24.78100,-0.13900,206.02100,96.86700,-28.66600,68.20100,-0.71800,68.91900,,69.30100,2.99200,68.05700,260.01500,96.86700,539.55800,539.81500,0.13000,0.13000
2022-03-31,498.37200,207.24700,291.12500,23.83100,-0.13200,201.99200,89.13310,-15.41400,73.71900,0.77700,72.94200,,75.02600,0.31700,69.63700,249.55110,89.13310,539.35200,539.58600,0.13000,0.13000
2021-12-31,483.20500,199.24700,283.95790,26.04300,-18.70200,223.28280,60.67510,-35.17200,25.50300,-1.85700,27.36000,,28.94300,3.63300,28.49900,215.82010,60.67510,538.93000,539.24100,0.05000,0.05000
2021-09-30,481.46500,202.13900,279.32600,23.27000,-0.28500,200.73000,78.59600,-20.26700,58.32900,-0.64900,58.97800,,61.30500,0.60100,54.44200,225.64300,78.59600,539.02100,539.38800,0.10000,0.10000
2021-06-30,476.23800,190.13200,286.10600,24.08800,-0.93100,197.09700,89.00900,77.42600,166.43500,-0.76300,167.19800,,168.06500,113.96000,275.99300,245.60600,89.00900,538.92900,544.69400,0.51000,0.51000
2021-03-31,455.27600,181.76100,273.51500,24.90200,-3.24200,186.48000,87.03500,-208.93500,-121.90000,0.00800,-121.90800,,-120.58500,270.00800,143.33700,227.38600,87.03500,538.67900,538.67900,0.27000,0.27000
2020-12-31,431.69700,184.21500,247.48200,25.50700,-26.74200,200.84600,46.63600,-49.50200,-2.86600,-2.63100,-0.23500,,-19.20400,169.44900,146.12900,168.41500,46.63600,538.38100,538.38100,0.27000,0.27000
2020-09-30,423.56500,183.14100,240.42400,21.66100,1.77700,163.83900,76.58500,-62.62800,13.95700,22.97000,-9.01300,,-27.76200,-31.81900,-63.76800,235.38300,76.58500,538.33300,538.33300,-0.12000,-0.12000
2020-06-30,408.55900,177.80800,230.75100,23.72000,-6.83700,170.62100,60.13000,18.05200,78.18200,0.10600,78.07600,,60.34100,-5.29200,51.13100,224.19200,60.13000,538.26200,538.51700,0.09000,0.09000
2020-03-31,381.05400,237.37700,143.67700,22.34900,-11.10700,173.13100,-29.45400,157.86400,128.41000,-29.86800,158.27800,,147.13200,135.40800,277.46400,151.29300,-29.45400,506.47600,515.04500,0.55000,0.54000
2019-12-31,318.92000,105.42000,213.50000,21.52100,-2.65500,137.91100,75.58900,73.74000,149.32900,-1.94000,151.26900,,153.32000,-105.96100,43.20000,272.70900,75.58900,497.11600,500.49300,0.09000,0.09000
2019-09-30,537.97100,248.06900,289.90200,22.97000,-38.25700,234.49000,55.41200,-96.33800,-40.92600,-6.26100,-34.66500,,-42.30800,,-46.24900,234.26100,55.41200,491.20300,491.20300,-0.09000,-0.09000
2019-06-30,491.56700,213.99300,277.57400,27.12000,-68.53800,262.29100,15.28300,-25.62100,-10.33800,-1.86400,-8.47400,,-9.98000,,-13.99100,189.56700,15.28300,478.73900,478.73900,-0.03000,-0.03000
2019-03-31,436.15400,168.92700,267.22700,21.35500,-8.85800,166.68200,100.54500,-38.15000,62.39500,-3.45800,65.85300,,64.99000,,61.02900,239.30600,100.54500,477.76600,479.13100,0.13000,0.13000
2018-12-31,441.91900,177.41300,264.50600,21.51000,-36.08000,190.03300,74.47300,759.12700,833.60000,-2.93500,836.53500,,834.38300,,829.32500,211.54900,74.47300,472.99800,479.90600,1.75000,1.73000
2018-09-30,456.02200,181.20700,274.81500,23.50300,-5.26800,165.45800,109.35700,-10.44900,98.90800,-4.92900,103.83700,,102.92600,,98.94600,247.50500,109.35700,469.86700,470.11800,0.21000,0.21000
2018-06-30,469.55100,173.86600,295.68500,22.51400,-13.91200,182.12200,113.56300,-25.18800,88.37500,-4.65400,93.02900,,92.92800,,89.48100,264.50800,113.56300,469.76900,469.94100,0.19000,0.19000
2018-03-31,479.19700,172.55200,306.64500,29.17500,0.00000,174.62000,132.02500,-94.69400,37.33100,-5.33600,42.66700,,43.23700,,39.84100,284.53000,132.02500,469.55700,469.69500,0.08000,0.08000
2017-12-31,443.25900,198.66900,244.59000,21.48500,-84.37400,248.15100,-3.56100,-47.39600,-50.95700,13.29700,-64.25400,,-57.92400,,-58.85700,140.09300,-3.56100,468.75900,468.93500,-0.12000,-0.11000
2017-09-30,454.02300,155.33800,298.68500,23.52300,-25.32800,180.01900,118.66600,-130.92900,-12.26300,-5.48100,-6.78200,,-5.72000,,-7.78800,256.46600,118.66600,468.97500,468.97500,-0.02000,-0.02000
2017-06-30,458.92800,153.16300,305.76500,21.28600,-56.68200,209.58600,96.17900,-77.30500,18.87400,-2.98700,21.86100,,22.10100,,19.28300,234.10100,96.17900,468.64600,468.83900,0.04000,0.04000
2017-03-31,492.16800,159.08100,333.08700,22.47800,,160.08900,172.99800,281.74800,454.74600,-6.16200,460.90800,,464.17700,,460.37500,317.17500,172.99800,468.29900,475.17300,0.98000,0.97000
