,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1399.89700,266.41890,1133.47800,45.35800,-86.73400,449.27300,684.20470,-55.48400,628.72090,52.34500,576.37590,,772.74790,,673.78690,1020.55100,684.20500,327.81700,327.81700,2.06000,2.06000
2022-09-30,1315.78600,252.42900,1063.35700,34.88600,-74.52100,411.16100,652.19600,-202.44100,449.75500,8.25600,441.49900,,621.84700,,539.03800,968.50010,652.19600,327.28600,327.28600,1.65000,1.65000
2022-06-30,1279.84200,244.44700,1035.39500,29.42400,-80.93700,408.63400,626.76100,-223.00800,403.75310,24.34600,379.40700,,569.48000,,496.74300,942.10010,626.76100,328.44500,328.44500,1.51000,1.51000
2022-03-31,1295.92200,237.65900,1058.26300,33.09600,-94.61300,437.87200,620.39100,-214.70000,405.69100,-1.43500,407.12600,,488.31000,,426.63000,944.51500,620.39100,328.60600,328.60600,1.30000,1.30000
2021-12-31,1326.13800,269.88900,1056.24900,36.21700,-108.63700,464.71820,591.53090,-81.12500,510.40600,48.83200,461.57400,,573.73000,,503.24090,932.30990,591.53090,328.58700,328.58700,1.53000,1.53000
2021-09-30,1296.55400,247.38500,1049.16900,45.54400,-79.92000,436.84500,612.32400,-73.48100,538.84300,67.26200,471.58100,,778.64790,,679.93600,932.65700,612.32400,328.61900,328.61900,2.07000,2.07000
2021-06-30,1254.14600,229.80400,1024.34200,26.81900,-77.06800,419.61900,604.72300,-200.39600,404.32700,47.00300,357.32400,,705.86900,,617.25700,937.68600,604.72300,328.59400,328.59400,1.88000,1.88000
2021-03-31,1239.95100,223.98600,1015.96500,36.06200,-59.55300,411.35300,604.61210,-115.11900,489.49300,-5.89800,495.39110,,510.46010,,445.86000,936.43210,604.61210,328.51400,328.51400,1.36000,1.36000
2020-12-31,1131.42800,215.11700,916.31120,43.01200,-79.40000,454.26310,462.04800,-312.32100,149.72690,-1.57100,151.29790,,312.72590,,271.48300,799.52200,462.04800,308.73800,308.73800,0.85000,0.85000
2020-09-30,1060.67400,222.51800,838.15590,17.76700,-82.61000,434.13200,404.02390,-203.13700,200.88690,2.77900,198.10790,,168.64590,,145.92600,743.86490,404.02390,305.91300,305.91300,0.48000,0.48000
2020-06-30,1062.04100,201.92100,860.12000,19.98500,-65.12700,409.25200,450.86800,-196.85900,254.00900,-0.06200,254.07100,,290.54800,,254.21300,788.27900,450.86800,305.88200,305.88200,0.83000,0.83000
2020-03-31,1353.36000,247.59800,1105.76200,40.42100,-82.21000,450.89300,654.86900,-206.67500,448.19400,-5.78300,453.97700,,505.40400,,437.60500,995.13400,654.86900,306.50400,306.50400,1.43000,1.43000
2019-12-31,1488.61500,259.08600,1229.52900,48.54900,-74.83700,447.69620,781.83250,-299.50800,482.32480,6.74500,475.57990,,590.41490,,510.19410,1120.89700,781.83280,307.95000,307.95000,1.66000,1.66000
2019-09-30,1416.55400,263.74500,1152.80900,44.61500,-67.94800,447.50700,705.30200,-200.22800,505.07400,6.19700,498.87700,,628.72400,,544.25400,1048.66100,705.30200,307.27500,307.27500,1.77000,1.77000
2019-06-30,1397.18600,243.88300,1153.30300,45.77900,-74.28700,472.67200,680.63100,-210.74200,469.88900,7.01000,462.87900,,572.10210,,495.32400,1052.46100,680.63100,308.70900,308.70900,1.60000,1.60000
2019-03-31,1452.83400,254.93000,1197.90400,46.26100,-77.97900,452.88300,745.02100,-193.41600,551.60500,10.10200,541.50300,,631.94700,,548.47500,1084.93900,745.02100,308.97800,308.97800,1.78000,1.78000
2018-12-31,1462.02600,254.08600,1207.94000,54.09200,-51.16300,434.40010,773.53990,-359.06700,414.47310,10.42300,404.05020,,833.19340,,712.79580,1113.64500,773.54010,309.62700,309.62700,2.30000,2.30000
2018-09-30,1404.02100,261.96800,1142.05300,48.86000,-54.17500,419.21000,722.84300,-204.92100,517.92200,10.11800,507.80400,,642.21200,,556.26700,1058.44700,722.84300,309.29400,309.29400,1.80000,1.80000
2018-06-30,1385.05900,236.59100,1148.46800,47.40400,-52.88300,420.48500,727.98300,-196.93200,531.05100,10.13700,520.91390,,631.41390,,547.00400,1067.37800,727.98300,309.35500,309.35500,1.77000,1.77000
2018-03-31,1394.18200,255.31900,1138.86300,47.42800,-72.56600,436.93000,701.93300,-70.21500,631.71800,6.22000,625.49800,,715.52400,,620.65400,1036.60500,701.93300,310.58400,310.58400,2.00000,2.00000
2017-12-31,1416.38700,245.17400,1171.21300,54.29800,-42.27600,421.76090,749.45260,-209.97400,539.47830,6.36300,533.11520,,659.82010,,571.11610,1094.46900,749.45230,311.51700,311.51700,1.83000,1.83000
2017-09-30,1403.63800,256.11200,1147.52600,49.02000,-91.40100,457.45800,690.06790,-199.03200,491.03590,14.51100,476.52500,,592.63490,,513.78300,1026.79500,690.06790,310.85300,310.85300,1.65000,1.65000
