,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2023-01-31,5214.23100,3926.20300,1288.02800,729.34200,729.34200,558.68600,22.71900,581.40500,134.36200,447.04300,447.04300,447.04300,,558.68600,339.75200,342.04500,1.32000,1.31000
2022-10-31,4565.48900,3424.04600,1141.44300,693.36700,693.36700,448.07570,2.80200,450.87800,108.84200,342.03600,342.03600,342.03600,549.45970,448.07570,342.12000,343.72000,1.00000,1.00000
2022-07-31,4583.00900,3399.53500,1183.47400,667.06300,667.06300,516.41090,-10.66700,505.74400,121.22700,384.51700,384.51700,384.51700,613.48390,516.41090,344.88400,346.10600,1.11000,1.11000
2022-04-30,4333.10000,3196.44600,1136.65400,669.49600,669.49600,467.15820,-17.69600,449.46200,111.01700,338.44500,338.44500,338.44500,559.26620,467.15820,347.05300,348.82000,0.98000,0.97000
2022-01-31,5020.64800,3773.63600,1247.01200,755.86690,755.86800,491.14450,-17.82800,473.31820,106.49600,366.82220,366.82220,366.82200,589.66960,491.14500,351.49600,353.73400,1.05000,1.05000
2021-10-31,4574.54100,3326.00400,1248.53700,725.76100,725.76100,522.77610,-18.74400,504.03200,119.00200,385.03000,385.03000,385.03000,610.82120,522.77610,351.07100,353.08100,1.10000,1.09000
2021-07-31,4804.97400,3410.87100,1394.10300,717.78800,717.78800,676.31490,-18.70700,657.60800,163.35000,494.25800,494.25800,494.25800,762.89890,676.31490,352.86500,354.93500,1.40000,1.39000
2021-04-30,4516.08000,3198.39600,1317.68400,675.05300,675.05300,642.63110,-19.04900,623.58200,147.10300,476.47900,476.47900,476.47900,730.14110,642.63110,352.98800,355.36700,1.35000,1.34000
2021-01-31,4249.67200,3157.04400,1092.62800,690.62410,690.62500,402.00290,-19.15200,382.85100,144.87100,237.98000,237.98000,237.98000,498.05490,402.00310,352.39200,354.61900,0.68000,0.68000
2020-10-31,3754.50900,2711.41900,1043.09000,877.85700,877.85700,165.23320,-28.74000,136.49300,5.29600,131.19700,131.19700,131.19700,253.80010,165.23320,352.48100,354.45700,0.37000,0.37000
2020-07-31,2684.71200,2080.12000,604.59180,519.49500,519.49500,85.09670,-28.85500,56.24200,34.19500,22.04700,22.04700,22.04700,174.12470,85.09670,352.27600,354.23200,0.06000,0.06000
2020-04-30,1842.67300,1889.99100,-47.31800,415.30500,415.30500,-462.62290,-6.66600,-469.28900,-163.44700,-305.84200,-305.84200,-305.84200,-372.02490,-462.62290,352.20200,352.20200,-0.87000,-0.87000
2020-01-31,4413.44500,3224.23700,1189.20800,601.87920,601.87800,587.32960,3.28700,590.61610,134.48300,456.13310,456.13310,456.13300,683.13260,587.32960,358.46200,361.18200,1.28000,1.28000
