,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,16316.00000,11381.00000,4935.00000,-121.00000,-3081.00000,3208.00000,1727.00000,1727.00000,381.00000,1346.00000,1346.00000,,1314.00000,,1975.00000,,790.20000,,1.66000
2022-09-30,22270.00000,19128.00000,3142.00000,,-2723.00000,2723.00000,419.00000,419.00000,19.00000,400.00000,400.00000,,331.00000,419.00000,419.00000,795.80000,800.70000,0.42000,0.41000
2022-06-30,15556.00000,12475.00000,3081.00000,,-3083.00000,3083.00000,-2.00000,-2.00000,-140.00000,138.00000,138.00000,,103.00000,-2.00000,-2.00000,809.70000,814.50000,0.13000,0.13000
2022-03-31,15756.00000,12021.00000,3735.00000,,-3020.00000,3020.00000,715.00000,715.00000,41.00000,674.00000,674.00000,,606.00000,715.00000,715.00000,823.80000,830.50000,0.74000,0.73000
2021-12-31,20089.00000,15512.00000,4577.00000,,-3271.00000,3271.00000,1306.00000,1306.00000,95.00000,1211.00000,1211.00000,,1176.00000,1306.00000,1306.00000,862.70000,869.40000,1.40000,1.38000
2021-09-30,16905.00000,11579.00000,5326.00000,,-3284.00000,3284.00000,2042.00000,2042.00000,453.00000,1589.00000,1589.00000,,1521.00000,2042.00000,2042.00000,854.90000,861.20000,1.78000,1.77000
2021-06-30,18524.00000,11156.00000,7368.00000,,-2881.00000,2881.00000,4487.00000,4487.00000,1075.00000,3412.00000,3412.00000,,3366.00000,4487.00000,4487.00000,873.30000,879.70000,3.85000,3.83000
2021-03-31,15562.00000,12121.00000,3441.00000,,-3150.00000,3150.00000,291.00000,291.00000,-72.00000,363.00000,363.00000,,290.00000,291.00000,291.00000,885.40000,892.10000,0.33000,0.33000
2020-12-31,19418.00000,15830.00000,3588.00000,,-3424.00000,3424.00000,164.00000,164.00000,6.00000,158.00000,158.00000,,124.00000,164.00000,164.00000,907.80000,913.20000,0.17000,0.17000
2020-09-30,16015.00000,11622.00000,4393.00000,,-3470.00000,3470.00000,923.00000,923.00000,214.00000,709.00000,709.00000,,633.00000,923.00000,923.00000,908.70000,913.70000,0.70000,0.69000
2020-06-30,14099.00000,10919.00000,3180.00000,,-2983.00000,2983.00000,197.00000,197.00000,47.00000,150.00000,150.00000,,68.00000,197.00000,197.00000,908.80000,913.10000,0.07000,0.07000
2020-03-31,18310.00000,9394.00000,8916.00000,,-3273.00000,3273.00000,5643.00000,5643.00000,1242.00000,4401.00000,4401.00000,,4366.00000,5643.00000,5643.00000,914.10000,920.00000,4.78000,4.75000
2019-12-31,17143.00000,13549.00000,3594.00000,,-3631.00000,3631.00000,-37.00000,-37.00000,-625.00000,588.00000,588.00000,,536.00000,-37.00000,-37.00000,937.60000,944.40000,0.60000,0.59000
2019-09-30,18678.00000,12444.00000,6234.00000,,-3443.00000,3443.00000,2791.00000,2791.00000,601.00000,2190.00000,2190.00000,,2152.00000,2791.00000,2791.00000,929.60000,936.40000,2.31000,2.30000
2019-06-30,17497.00000,11810.00000,5687.00000,,-3390.00000,3390.00000,2297.00000,2297.00000,551.00000,1746.00000,1746.00000,,1684.00000,2297.00000,2297.00000,946.20000,952.90000,1.78000,1.77000
2019-03-31,16302.00000,11333.00000,4969.00000,,-3225.00000,3225.00000,1744.00000,1744.00000,359.00000,1385.00000,1385.00000,,1349.00000,1744.00000,1744.00000,956.50000,963.30000,1.41000,1.40000
2018-12-31,15662.00000,9796.00000,5866.00000,,-3395.00000,3395.00000,2471.00000,2471.00000,409.00000,2062.00000,2062.00000,,2010.00000,2471.00000,2471.00000,1005.90000,1013.90000,2.03000,2.01000
2018-09-30,16289.00000,11741.00000,4548.00000,,-3469.00000,3469.00000,1079.00000,1079.00000,164.00000,915.00000,915.00000,,880.00000,1079.00000,1079.00000,992.70000,1000.70000,0.89000,0.88000
2018-06-30,21185.00000,16599.00000,4586.00000,,-3485.00000,3485.00000,1101.00000,1101.00000,207.00000,894.00000,894.00000,,845.00000,1101.00000,1101.00000,1015.60000,1023.80000,0.83000,0.83000
2018-03-31,14805.00000,9784.00000,5021.00000,,-3365.00000,3365.00000,1656.00000,1656.00000,399.00000,1257.00000,1257.00000,,1247.00000,1656.00000,1656.00000,1035.90000,1044.40000,1.20000,1.19000
2017-12-31,15840.00000,11127.00000,4713.00000,,-3752.00000,3752.00000,961.00000,961.00000,-1354.00000,2315.00000,2315.00000,,2272.00000,961.00000,961.00000,1069.70000,1078.50000,2.13000,2.12000
2017-09-30,16171.00000,12368.00000,3803.00000,,-3318.00000,3318.00000,485.00000,485.00000,-398.00000,883.00000,883.00000,-968.00000,-97.00000,485.00000,485.00000,1062.30000,1071.50000,-0.09000,-0.09000
2017-06-30,15333.00000,11032.00000,4301.00000,,-3283.00000,3283.00000,1018.00000,1018.00000,162.00000,856.00000,856.00000,58.00000,865.00000,1018.00000,1018.00000,1074.00000,1082.10000,0.81000,0.80000
2017-03-31,14964.00000,10624.00000,4340.00000,,-3268.00000,3268.00000,1072.00000,1072.00000,120.00000,952.00000,952.00000,-76.00000,867.00000,1072.00000,1072.00000,1090.40000,1098.70000,0.80000,0.79000
2016-12-31,11277.00000,7882.00000,3395.00000,,-3095.00000,3095.00000,300.00000,300.00000,53.00000,247.00000,247.00000,-2283.00000,-2083.00000,300.00000,300.00000,1100.50000,1108.50000,-1.89000,-1.88000
2016-09-30,15833.00000,11458.00000,4375.00000,,-3216.00000,3216.00000,1159.00000,1159.00000,135.00000,1024.00000,1024.00000,-451.00000,571.00000,1159.00000,1159.00000,1100.50000,1109.30000,0.52000,0.51000
2016-06-30,15244.00000,12098.00000,3146.00000,,-3246.00000,3246.00000,-100.00000,-100.00000,-214.00000,114.00000,114.00000,,64.00000,-100.00000,-100.00000,1100.30000,1109.10000,0.06000,0.06000
2016-03-31,18433.00000,11319.00000,7114.00000,,-4192.00000,4192.00000,2922.00000,2922.00000,719.00000,2203.00000,2203.00000,,2195.00000,2922.00000,2922.00000,1100.80000,1108.60000,1.99000,1.98000
2015-12-31,8436.00000,7008.00000,1428.00000,,-2112.00000,2112.00000,-684.00000,-684.00000,-265.00000,-419.00000,-419.00000,,848.00000,-684.00000,-684.00000,1117.80000,1128.30000,0.78000,0.77000
2015-09-30,18031.00000,11335.00000,6696.00000,,-4533.00000,4533.00000,2163.00000,2163.00000,965.00000,1198.00000,1198.00000,,1197.00000,2163.00000,2163.00000,1118.85600,1129.94100,1.07000,1.06000
2015-06-30,16166.00000,10981.00000,5185.00000,,-4072.00000,4072.00000,1113.00000,1113.00000,-6.00000,1119.00000,1119.00000,,1042.00000,1113.00000,1113.00000,1117.80800,1128.39200,0.93000,0.92000
2015-03-31,18710.00000,11591.00000,7119.00000,,-4060.00000,4060.00000,3059.00000,3059.00000,896.00000,2163.00000,2163.00000,,2128.00000,3059.00000,3059.00000,1125.70400,1135.76100,1.89000,1.87000
2014-12-31,19119.00000,12555.00000,6564.00000,,-4488.00000,4488.00000,2076.00000,2076.00000,549.00000,1527.00000,1527.00000,,1490.00000,2076.00000,2076.00000,1128.70000,1142.50000,1.32000,1.30000
2014-09-30,18846.00000,11676.00000,7170.00000,,-4218.00000,4218.00000,2952.00000,2952.00000,858.00000,2094.00000,2094.00000,,2064.00000,2952.00000,2952.00000,1125.16600,1141.04700,1.83000,1.81000
2014-06-30,18266.00000,12094.00000,6172.00000,,-4222.00000,4222.00000,1950.00000,1950.00000,574.00000,1376.00000,1376.00000,,1335.00000,1950.00000,1950.00000,1127.98600,1142.26200,1.18000,1.17000
2014-03-31,17085.00000,11096.00000,5989.00000,,-4163.00000,4163.00000,1826.00000,1826.00000,484.00000,1342.00000,1342.00000,-3.00000,1298.00000,1826.00000,1826.00000,1126.92300,1140.46600,1.15000,1.14000
