,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,7389.00000,1396.00000,5993.00000,1548.00000,2020.00000,3726.00000,2267.00000,-236.00000,2031.00000,398.00000,1633.00000,1633.00000,1640.00000,,2267.00000,1252.00000,1264.00000,1.31000,1.30000
2022-09-30,7042.00000,1395.00000,5647.00000,1149.00000,1213.00000,2810.00000,2837.00000,-405.00000,2432.00000,646.00000,1786.00000,1786.00000,1789.00000,3362.00000,2837.00000,1255.00000,1261.00000,1.43000,1.42000
2022-06-30,6260.00000,1442.00000,4818.00000,1102.00000,1357.00000,2789.00000,2029.00000,-526.00000,1503.00000,368.00000,1135.00000,1135.00000,1144.00000,2554.00000,2029.00000,1256.00000,1260.00000,0.91000,0.91000
2022-03-31,6590.00000,1424.00000,5166.00000,1186.00000,1083.00000,4969.00000,197.00000,-349.00000,-152.00000,-164.00000,12.00000,12.00000,19.00000,722.00000,197.00000,1255.00000,1262.00000,0.02000,0.02000
2021-12-31,7244.00000,2627.00000,4617.00000,1353.00000,1650.00000,3677.00000,940.00000,-181.00000,759.00000,383.00000,376.00000,376.00000,382.00000,1475.00000,940.00000,1256.00000,1262.00000,0.31000,0.30000
2021-09-30,7421.00000,1223.00000,6198.00000,1101.00000,1190.00000,2356.00000,3842.00000,-404.00000,3438.00000,852.00000,2586.00000,2586.00000,2592.00000,4365.00000,3842.00000,1256.00000,1262.00000,2.06000,2.05000
2021-06-30,6217.00000,1390.00000,4827.00000,1092.00000,1351.00000,2581.00000,2246.00000,-429.00000,1817.00000,300.00000,1517.00000,1517.00000,1522.00000,2765.00000,2246.00000,1255.00000,1260.00000,1.21000,1.21000
2021-03-31,6423.00000,1361.00000,5062.00000,1055.00000,1055.00000,2172.00000,2890.00000,-626.00000,2264.00000,542.00000,1722.00000,1722.00000,1729.00000,3363.00000,2890.00000,1256.00000,1262.00000,1.38000,1.37000
2020-12-31,7421.00000,1398.00000,6023.00000,1466.00000,1730.00000,3372.00000,2651.00000,-837.00000,1814.00000,270.00000,1544.00000,1544.00000,1551.00000,3078.00000,2651.00000,1257.00000,1263.00000,1.24000,1.25000
2020-09-30,6577.00000,1141.00000,5436.00000,1158.00000,1106.00000,3435.00000,2001.00000,-1176.00000,825.00000,472.00000,353.00000,353.00000,360.00000,2356.00000,2001.00000,1255.00000,1261.00000,0.29000,0.29000
