,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2152.00000,151.00000,2001.00000,1129.00000,1129.00000,872.00000,,872.00000,187.00000,685.00000,685.00000,,660.00000,935.00000,942.00000,0.70000,0.71000
2022-09-30,1948.00000,81.00000,1867.00000,1305.00000,1305.00000,562.00000,,562.00000,133.00000,429.00000,429.00000,,404.00000,934.00000,940.00000,0.43000,0.43000
2022-06-30,1795.00000,47.00000,1748.00000,1008.00000,1008.00000,740.00000,,740.00000,157.00000,583.00000,583.00000,,558.00000,934.00000,940.00000,0.60000,0.59000
2022-03-31,1636.00000,37.00000,1599.00000,897.00000,897.00000,702.00000,,702.00000,154.00000,548.00000,548.00000,,524.00000,938.00000,947.00000,0.56000,0.55000
2021-12-31,1671.00000,37.00000,1634.00000,1093.00000,1093.00000,541.00000,,541.00000,103.00000,438.00000,438.00000,,414.00000,956.00000,963.00000,0.44000,0.44000
2021-09-30,1655.00000,41.00000,1614.00000,783.00000,783.00000,831.00000,,831.00000,180.00000,651.00000,651.00000,,624.00000,955.00000,962.00000,0.65000,0.65000
2021-06-30,1625.00000,43.00000,1582.00000,561.00000,561.00000,1021.00000,,1021.00000,231.00000,790.00000,790.00000,,748.00000,958.00000,965.00000,0.78000,0.77000
2021-03-31,1654.00000,46.00000,1608.00000,786.00000,786.00000,822.00000,,822.00000,180.00000,642.00000,642.00000,,614.00000,961.00000,968.00000,0.64000,0.63000
2020-12-31,1741.00000,55.00000,1686.00000,949.00000,949.00000,737.00000,,737.00000,121.00000,616.00000,616.00000,,588.00000,959.00000,962.00000,0.61000,0.62000
2020-09-30,1714.00000,71.00000,1643.00000,1009.00000,1009.00000,634.00000,,634.00000,104.00000,530.00000,530.00000,,501.00000,960.00000,962.00000,0.52000,0.52000
2020-06-30,1636.00000,91.00000,1545.00000,1806.00000,1806.00000,-261.00000,,-261.00000,-47.00000,-214.00000,-214.00000,,-237.00000,960.00000,960.00000,-0.25000,-0.25000
2020-03-31,1564.00000,151.00000,1413.00000,1209.00000,1209.00000,204.00000,,204.00000,42.00000,162.00000,162.00000,,139.00000,957.00000,961.00000,0.15000,0.14000
2019-12-31,1660.00000,180.00000,1480.00000,993.00000,993.00000,487.00000,,487.00000,98.00000,389.00000,389.00000,,366.00000,995.00000,999.00000,0.38000,0.37000
2019-09-30,1708.00000,213.00000,1495.00000,979.00000,979.00000,516.00000,,516.00000,107.00000,409.00000,409.00000,,385.00000,988.00000,991.00000,0.39000,0.39000
2019-06-30,1671.00000,235.00000,1436.00000,953.00000,953.00000,483.00000,,483.00000,93.00000,390.00000,390.00000,,374.00000,1010.00000,1012.00000,0.37000,0.37000
2019-03-31,1673.00000,223.00000,1450.00000,951.00000,951.00000,499.00000,,499.00000,105.00000,394.00000,394.00000,,378.00000,1019.00000,1028.00000,0.37000,0.37000
2018-12-31,1583.00000,144.00000,1439.00000,948.00000,948.00000,491.00000,,491.00000,85.00000,406.00000,406.00000,,390.00000,1092.00000,1102.00000,0.38000,0.37000
2018-09-30,1631.00000,170.00000,1461.00000,1006.00000,1006.00000,455.00000,,455.00000,85.00000,370.00000,370.00000,194.00000,548.00000,1086.00000,1095.00000,0.50000,0.50000
