,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,5133.00000,3668.00000,1465.00000,761.00000,1012.00000,453.00000,-131.00000,322.00000,148.00000,174.00000,-81.00000,,-318.00000,704.00000,453.00000,363.50000,367.00000,-0.87000,-0.87000
2022-09-30,5402.00000,3830.00000,1572.00000,808.00000,1069.00000,503.00000,-190.00000,313.00000,-575.00000,888.00000,951.00000,,951.00000,764.00000,503.00000,357.80000,360.40000,2.66000,2.64000
2022-06-30,5389.00000,3806.00000,1583.00000,742.00000,1009.00000,574.00000,-60.00000,514.00000,96.00000,418.00000,511.00000,,511.00000,841.00000,574.00000,367.60000,370.70000,1.39000,1.38000
2022-03-31,5237.00000,3839.00000,1398.00000,765.00000,1026.00000,372.00000,-10.00000,362.00000,95.00000,267.00000,360.00000,,360.00000,633.00000,372.00000,375.20000,379.20000,0.96000,0.95000
2021-12-31,5086.00000,3659.00000,1427.00000,746.00000,1023.00000,404.00000,-360.00000,44.00000,-5.00000,49.00000,-196.00000,303.00000,107.00000,681.00000,404.00000,389.40000,392.40000,0.29000,0.30000
2021-09-30,4914.00000,3423.00000,1491.00000,708.00000,988.00000,503.00000,-106.00000,397.00000,59.00000,338.00000,432.00000,432.00000,864.00000,821.00000,503.00000,388.80000,392.60000,2.22000,2.20000
2021-06-30,4770.00000,3402.00000,1368.00000,738.00000,1010.00000,358.00000,-106.00000,252.00000,46.00000,206.00000,310.00000,124.00000,432.00000,664.00000,358.00000,391.50000,396.80000,1.10000,1.09000
2021-03-31,4593.00000,3348.00000,1245.00000,637.00000,905.00000,340.00000,-34.00000,306.00000,88.00000,218.00000,267.00000,82.00000,349.00000,649.00000,340.00000,392.80000,394.80000,0.89000,0.88000
2020-12-31,2224.00000,1625.00000,599.00000,381.00000,517.00000,82.00000,-280.00000,-198.00000,-35.00000,-163.00000,-147.00000,,153.00000,414.00000,82.00000,393.00000,395.70000,0.40000,0.39000
2020-09-30,5123.00000,3541.00000,1582.00000,737.00000,1057.00000,525.00000,-243.00000,282.00000,50.00000,232.00000,204.00000,,204.00000,845.00000,525.00000,393.10000,394.60000,0.52000,0.52000
