,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,5905.00000,4568.00000,1337.00000,,645.00000,,674.00000,663.00000,-318.00000,345.00000,157.00000,188.00000,188.00000,,182.00000,,663.00000,1000.00000,1009.00000,0.18000,0.18000
2022-09-30,5369.00000,4245.00000,1124.00000,,620.00000,,855.00000,269.00000,-125.00000,144.00000,153.00000,-9.00000,-9.00000,,-17.00000,524.00000,269.00000,1008.00000,1008.00000,-0.02000,-0.02000
2022-06-30,5047.00000,4077.00000,970.00000,,624.00000,,995.00000,-25.00000,-630.00000,-655.00000,182.00000,-837.00000,-837.00000,,-839.00000,249.00000,-25.00000,1001.00000,1001.00000,-0.84000,-0.84000
2022-03-31,4835.00000,3865.00000,970.00000,,621.00000,,691.00000,279.00000,-92.00000,187.00000,107.00000,80.00000,80.00000,,72.00000,556.00000,279.00000,938.00000,948.00000,0.08000,0.08000
2021-12-31,5485.00000,4280.00000,1205.00000,,634.00000,,631.00000,574.00000,115.00000,689.00000,353.00000,336.00000,336.00000,,293.00000,847.00000,574.00000,824.00000,824.00000,0.41000,0.41000
2021-09-30,5093.00000,4083.00000,1010.00000,,607.00000,,632.00000,378.00000,-169.00000,209.00000,193.00000,16.00000,16.00000,,8.00000,640.00000,378.00000,851.00000,857.00000,0.01000,0.01000
2021-06-30,5142.00000,4166.00000,976.00000,,642.00000,,782.00000,194.00000,-128.00000,66.00000,143.00000,-77.00000,-77.00000,,-68.00000,472.00000,194.00000,806.00000,806.00000,-0.08000,-0.08000
2021-03-31,4782.00000,3924.00000,858.00000,,587.00000,,694.00000,164.00000,-700.00000,-536.00000,69.00000,-605.00000,-605.00000,,-452.00000,456.00000,164.00000,740.00000,740.00000,-0.61000,-0.61000
2020-12-31,5495.00000,4486.00000,1009.00000,,574.00000,,827.00000,182.00000,1338.00000,1520.00000,569.00000,951.00000,951.00000,,652.00000,489.00000,182.00000,675.00000,675.00000,1.48000,1.48000
2020-09-30,5049.00000,4292.00000,757.00000,,565.00000,,806.00000,-49.00000,-215.00000,-264.00000,6.00000,-270.00000,-270.00000,,-170.00000,267.00000,-49.00000,676.00000,676.00000,-0.25000,-0.25000
2020-06-30,4736.00000,4058.00000,678.00000,,590.00000,,730.00000,-52.00000,-313.00000,-365.00000,-21.00000,-344.00000,-344.00000,,-195.00000,287.00000,-52.00000,655.00000,655.00000,-0.30000,-0.30000
2020-03-31,5425.00000,4670.00000,755.00000,,675.00000,,16814.00000,-16059.00000,-34.00000,-16093.00000,5.00000,-16098.00000,-16098.00000,,-10227.00000,-931.00000,-16059.00000,653.00000,653.00000,-15.66000,-15.66000
2019-12-31,6347.00000,5054.00000,1293.00000,,748.00000,,963.00000,330.00000,-23.00000,307.00000,213.00000,94.00000,94.00000,,48.00000,683.00000,330.00000,555.00000,557.00000,0.08000,0.08000
2019-09-30,5882.00000,4781.00000,1101.00000,,679.00000,,804.00000,297.00000,-73.00000,224.00000,107.00000,117.00000,117.00000,,57.00000,653.00000,297.00000,538.00000,541.00000,0.11000,0.11000
2019-06-30,5994.00000,4932.00000,1062.00000,,701.00000,,791.00000,271.00000,-187.00000,84.00000,95.00000,-11.00000,-11.00000,,-9.00000,630.00000,271.00000,515.00000,515.00000,-0.02000,-0.02000
2019-03-31,5615.00000,4639.00000,976.00000,,704.00000,,800.00000,176.00000,-38.00000,138.00000,67.00000,71.00000,71.00000,,32.00000,526.00000,176.00000,515.00000,516.00000,0.06000,0.06000
2018-12-31,6265.00000,5029.00000,1236.00000,,755.00000,,854.00000,382.00000,92.00000,474.00000,172.00000,302.00000,302.00000,,131.00000,735.00000,382.00000,427.00000,429.00000,0.31000,0.30000
2018-09-30,5665.00000,4692.00000,973.00000,,608.00000,,691.00000,282.00000,-49.00000,233.00000,110.00000,123.00000,38.00000,,13.00000,635.00000,282.00000,412.00000,414.00000,0.03000,0.03000
2018-06-30,5548.00000,4612.00000,936.00000,,662.00000,,858.00000,78.00000,-20.00000,58.00000,62.00000,-4.00000,-38.00000,,-19.00000,470.00000,78.00000,414.00000,414.00000,-0.05000,-0.05000
2018-03-31,5399.00000,4558.00000,841.00000,,674.00000,,882.00000,-41.00000,-44.00000,-85.00000,-86.00000,1.00000,-19.00000,,70.00000,347.00000,-41.00000,421.00000,422.00000,0.17000,0.17000
2017-12-31,5799.00000,4940.00000,859.00000,,787.00000,,970.00000,-111.00000,-38.00000,-149.00000,,-37.00000,-35.00000,,31.00000,276.00000,-111.00000,427.00000,427.00000,0.07000,-0.05000
2017-09-30,5301.00000,4349.00000,952.00000,,795.00000,,1145.00000,-193.00000,-37.00000,-230.00000,114.00000,-344.00000,-357.00000,,-134.00000,233.00000,-193.00000,428.00000,428.00000,-0.31000,-0.31000
2017-06-30,3015.00000,2476.00000,539.00000,,461.00000,,605.00000,-66.00000,36.00000,-30.00000,-10.00000,-20.00000,-20.00000,,,92.00000,-66.00000,417.00000,419.00000,,0.12000
2017-03-31,3064.00000,2378.00000,686.00000,42.00000,492.00000,,600.00000,86.00000,-12.00000,74.00000,8.00000,66.00000,66.00000,,,218.00000,86.00000,,,,0.00000
2016-12-31,4980.00000,2086.00000,2894.00000,,1022.00000,770.00000,1484.00000,1410.00000,161.00000,1571.00000,-416.00000,1987.00000,1987.00000,,,1521.00000,1410.00000,,,,0.00000
2016-09-30,3024.00000,2294.00000,730.00000,,475.00000,,554.00000,176.00000,-15.00000,161.00000,70.00000,91.00000,91.00000,,,-1885.00000,176.00000,428.00000,428.00000,-0.24000,-0.24000
2016-06-30,2408.00000,3112.00000,-704.00000,99.00000,222.00000,-1126.00000,-134.00000,-570.00000,-190.00000,-760.00000,152.00000,-912.00000,-912.00000,,-911.00000,1576.00000,-570.00000,438.00000,438.00000,-2.08000,-2.08000
2016-03-31,2670.00000,2658.00000,12.00000,102.00000,207.00000,-160.00000,571.00000,-559.00000,-55.00000,-614.00000,367.00000,-981.00000,-981.00000,,-981.00000,-205.00000,-559.00000,442.00000,442.00000,-2.22000,-2.22000
2015-12-31,4340.00000,892.00000,3448.00000,,1353.00000,,2567.00000,881.00000,142.00000,1023.00000,715.00000,308.00000,308.00000,,,2165.00000,881.00000,,,,0.00000
2015-09-30,3786.00000,3375.00000,411.00000,110.00000,211.00000,-98.00000,512.00000,-101.00000,-55.00000,-156.00000,,-156.00000,-156.00000,,-159.00000,331.00000,-101.00000,439.00000,439.00000,-0.36000,-0.36000
2015-06-30,3968.00000,3584.00000,384.00000,118.00000,264.00000,-63.00000,528.00000,-144.00000,-53.00000,-197.00000,-7.00000,-190.00000,-190.00000,,-188.00000,290.00000,-144.00000,438.00000,438.00000,-0.43000,-0.43000
2015-03-31,4594.00000,4342.00000,252.00000,138.00000,287.00000,-573.00000,1026.00000,-774.00000,-54.00000,-828.00000,-235.00000,-593.00000,-593.00000,,-589.00000,-314.00000,-774.00000,437.00000,437.00000,-1.35000,-1.35000
2014-12-31,6635.00000,5174.00000,1461.00000,152.00000,356.00000,,446.00000,1015.00000,-57.00000,958.00000,291.00000,667.00000,667.00000,,663.00000,1483.00000,1015.00000,437.00000,439.00000,1.51000,1.52000
2014-09-30,6250.00000,5107.00000,1143.00000,159.00000,323.00000,,482.00000,661.00000,-59.00000,602.00000,233.00000,369.00000,369.00000,,375.00000,1116.00000,661.00000,436.00000,438.00000,0.86000,0.86000
2014-06-30,5935.00000,4745.00000,1190.00000,159.00000,338.00000,-62.00000,559.00000,631.00000,-59.00000,572.00000,213.00000,359.00000,359.00000,,353.00000,1085.00000,631.00000,437.00000,440.00000,0.81000,0.80000
2014-03-31,5731.00000,4720.00000,1011.00000,143.00000,316.00000,,459.00000,552.00000,-57.00000,495.00000,159.00000,336.00000,336.00000,,328.00000,989.00000,552.00000,439.00000,441.00000,0.75000,0.74000
2013-12-31,5860.00000,4886.00000,974.00000,156.00000,336.00000,,492.00000,482.00000,-61.00000,421.00000,171.00000,250.00000,250.00000,,248.00000,918.00000,482.00000,443.00000,444.00000,0.56000,0.56000
2013-09-30,5787.00000,4750.00000,1037.00000,142.00000,319.00000,,461.00000,576.00000,-58.00000,518.00000,178.00000,340.00000,340.00000,,341.00000,999.00000,576.00000,444.00000,445.00000,0.77000,0.77000
2013-06-30,5487.00000,4591.00000,896.00000,131.00000,329.00000,,460.00000,436.00000,-60.00000,376.00000,131.00000,245.00000,245.00000,,240.00000,860.00000,436.00000,443.00000,444.00000,0.54000,0.54000
2013-03-31,5230.00000,4326.00000,904.00000,127.00000,322.00000,,449.00000,455.00000,-55.00000,400.00000,132.00000,268.00000,268.00000,,267.00000,870.00000,455.00000,443.00000,444.00000,0.60000,0.60000
2012-12-31,5325.00000,4441.00000,884.00000,127.00000,317.00000,,444.00000,440.00000,-57.00000,383.00000,168.00000,215.00000,215.00000,,214.00000,857.00000,440.00000,440.00000,441.00000,0.49000,0.48000
2012-09-30,5355.00000,4396.00000,959.00000,118.00000,355.00000,,473.00000,486.00000,-49.00000,437.00000,153.00000,284.00000,284.00000,,279.00000,894.00000,486.00000,440.00000,441.00000,0.63000,0.63000
2012-06-30,5326.00000,4254.00000,1072.00000,128.00000,305.00000,,433.00000,639.00000,-50.00000,589.00000,151.00000,438.00000,438.00000,,439.00000,1019.00000,639.00000,439.00000,440.00000,1.00000,1.00000
2012-03-31,5355.00000,4265.00000,1090.00000,124.00000,339.00000,,463.00000,627.00000,-54.00000,573.00000,193.00000,380.00000,380.00000,,379.00000,990.00000,627.00000,439.00000,440.00000,0.86000,0.86000
2011-12-31,5501.00000,4206.00000,1295.00000,127.00000,315.00000,,757.00000,538.00000,-57.00000,481.00000,155.00000,326.00000,326.00000,,314.00000,908.00000,538.00000,436.00000,438.00000,0.71000,0.72000
2011-09-30,5064.00000,3843.00000,1221.00000,115.00000,301.00000,,416.00000,805.00000,-98.00000,707.00000,9.00000,698.00000,698.00000,8.00000,706.00000,1110.00000,805.00000,437.00000,439.00000,1.62000,1.61000
2011-06-30,4741.00000,3718.00000,1023.00000,114.00000,292.00000,,406.00000,617.00000,-54.00000,563.00000,228.00000,335.00000,335.00000,,338.00000,948.00000,617.00000,436.00000,438.00000,0.78000,0.77000
2011-03-31,4525.00000,3497.00000,1028.00000,106.00000,282.00000,,388.00000,640.00000,-52.00000,588.00000,204.00000,384.00000,384.00000,,381.00000,955.00000,640.00000,435.00000,437.00000,0.88000,0.87000
2010-12-31,4423.00000,3421.00000,1002.00000,105.00000,279.00000,,440.00000,562.00000,-42.00000,520.00000,178.00000,342.00000,342.00000,,335.00000,888.00000,562.00000,394.00000,395.00000,0.83000,0.83000
