,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,,,,,,,,,,,,,,,,,,,0.00000
2022-09-30,1903.00000,401.00000,1502.00000,789.00000,1118.00000,384.00000,-107.00000,277.00000,75.00000,202.00000,202.00000,,189.00000,713.00000,384.00000,630.00000,633.00000,0.30000,0.30000
2022-06-30,1944.00000,469.00000,1475.00000,797.00000,1124.00000,351.00000,-107.00000,244.00000,54.00000,190.00000,190.00000,,179.00000,678.00000,351.00000,629.00000,632.00000,0.28000,0.28000
2022-03-31,2763.00000,1133.00000,1630.00000,835.00000,1153.00000,477.00000,253.00000,730.00000,199.00000,531.00000,531.00000,,518.00000,795.00000,477.00000,629.00000,631.00000,0.82000,0.82000
2021-12-31,2314.00000,760.00000,1554.00000,889.00000,1218.00000,336.00000,-251.00000,85.00000,47.00000,38.00000,38.00000,616.00000,641.00000,665.00000,336.00000,593.00000,610.00000,1.09000,1.03000
2021-09-30,1749.00000,284.00000,1465.00000,834.00000,1187.00000,278.00000,-95.00000,183.00000,33.00000,150.00000,150.00000,68.00000,195.00000,631.00000,278.00000,605.00000,609.00000,0.32000,0.32000
2021-06-30,1742.00000,316.00000,1426.00000,803.00000,1130.00000,296.00000,-115.00000,181.00000,-19.00000,200.00000,200.00000,51.00000,221.00000,623.00000,296.00000,586.00000,596.00000,0.38000,0.37000
2021-03-31,2547.00000,975.00000,1572.00000,812.00000,1119.00000,453.00000,-124.00000,329.00000,49.00000,280.00000,280.00000,83.00000,334.00000,760.00000,453.00000,552.00000,631.00000,0.56000,0.56000
2020-12-31,2054.00000,568.00000,1486.00000,897.00000,1201.00000,285.00000,1330.00000,1615.00000,413.00000,1202.00000,1202.00000,-1002.00000,151.00000,565.00000,285.00000,531.00000,531.00000,0.41000,0.41000
2020-09-30,1622.00000,233.00000,1389.00000,781.00000,1087.00000,302.00000,-118.00000,184.00000,-15.00000,199.00000,199.00000,-78.00000,69.00000,616.00000,302.00000,545.00000,548.00000,0.13000,0.13000
2020-06-30,1575.00000,271.00000,1304.00000,772.00000,1069.00000,235.00000,-71.00000,164.00000,29.00000,135.00000,135.00000,-30.00000,59.00000,541.00000,235.00000,528.00000,531.00000,0.11000,0.11000
2020-03-31,2167.00000,673.00000,1494.00000,810.00000,1277.00000,217.00000,-1617.00000,-1400.00000,-347.00000,-1053.00000,-1053.00000,-146.00000,-1228.00000,506.00000,217.00000,502.00000,502.00000,-2.44000,-2.44000
2019-12-31,2019.00000,603.00000,1416.00000,855.00000,1142.00000,274.00000,-349.00000,-75.00000,-45.00000,-30.00000,-30.00000,187.00000,128.00000,471.00000,274.00000,502.00000,505.00000,0.25000,0.25000
2019-09-30,1658.00000,251.00000,1407.00000,734.00000,1050.00000,357.00000,-60.00000,297.00000,46.00000,251.00000,251.00000,19.00000,241.00000,706.00000,357.00000,502.00000,505.00000,0.48000,0.47000
2019-06-30,1658.00000,321.00000,1337.00000,786.00000,1108.00000,229.00000,-63.00000,166.00000,15.00000,151.00000,151.00000,44.00000,165.00000,579.00000,229.00000,502.00000,505.00000,0.33000,0.33000
2019-03-31,2229.00000,844.00000,1385.00000,874.00000,1174.00000,211.00000,-54.00000,157.00000,14.00000,143.00000,143.00000,26.00000,140.00000,540.00000,211.00000,502.00000,504.00000,0.28000,0.28000
2018-12-31,-1276.00000,-2382.00000,1106.00000,654.00000,902.00000,204.00000,14.00000,218.00000,70.00000,148.00000,148.00000,,90.00000,479.00000,204.00000,449.00000,452.00000,0.18000,0.18000
2018-09-30,2212.00000,998.00000,1214.00000,662.00000,988.00000,226.00000,-17.00000,209.00000,51.00000,158.00000,158.00000,,153.00000,568.00000,226.00000,432.00000,435.00000,0.35000,0.35000
2018-06-30,2186.00000,978.00000,1208.00000,679.00000,1021.00000,187.00000,-275.00000,-88.00000,-13.00000,-75.00000,-75.00000,,-75.00000,541.00000,187.00000,432.00000,432.00000,-0.17000,-0.17000
2018-03-31,3155.00000,1910.00000,1245.00000,680.00000,994.00000,251.00000,-39.00000,212.00000,47.00000,165.00000,165.00000,,165.00000,571.00000,251.00000,431.00000,434.00000,0.38000,0.38000
2017-12-31,2638.00000,1345.00000,1293.00000,698.00000,985.00000,308.00000,-22.00000,286.00000,-1010.00000,1296.00000,1296.00000,,1296.00000,601.00000,308.00000,431.00000,434.00000,3.01000,2.99000
2017-09-30,2098.00000,938.00000,1160.00000,594.00000,863.00000,297.00000,-30.00000,267.00000,98.00000,169.00000,169.00000,,169.00000,572.00000,297.00000,431.00000,434.00000,0.39000,0.39000
2017-06-30,2143.00000,1032.00000,1111.00000,617.00000,871.00000,240.00000,-29.00000,211.00000,76.00000,135.00000,135.00000,,135.00000,500.00000,240.00000,431.00000,434.00000,0.31000,0.31000
2017-03-31,2735.00000,1579.00000,1156.00000,639.00000,865.00000,291.00000,8.00000,299.00000,107.00000,192.00000,192.00000,,192.00000,523.00000,291.00000,431.00000,433.00000,0.45000,0.44000
2016-12-31,2081.00000,935.00000,1146.00000,586.00000,839.00000,307.00000,-145.00000,162.00000,61.00000,101.00000,101.00000,,101.00000,567.00000,307.00000,431.00000,434.00000,0.23000,0.24000
2016-09-30,1889.00000,683.00000,1206.00000,598.00000,922.00000,284.00000,-8.00000,276.00000,97.00000,179.00000,179.00000,,179.00000,614.00000,284.00000,431.00000,433.00000,0.42000,0.41000
2016-06-30,1574.00000,496.00000,1078.00000,607.00000,896.00000,182.00000,-174.00000,8.00000,10.00000,-2.00000,-2.00000,,-2.00000,478.00000,182.00000,431.00000,431.00000,-0.01000,-0.01000
2016-03-31,1984.00000,852.00000,1132.00000,622.00000,882.00000,250.00000,-10.00000,240.00000,86.00000,154.00000,154.00000,,154.00000,516.00000,250.00000,430.00000,433.00000,0.36000,0.36000
2015-12-31,1791.00000,692.00000,1099.00000,627.00000,873.00000,226.00000,-1044.00000,-818.00000,-309.00000,-509.00000,-509.00000,,-509.00000,478.00000,226.00000,430.00000,430.00000,-1.18000,-1.18000
2015-09-30,1630.00000,527.00000,1103.00000,570.00000,838.00000,265.00000,-900.00000,-635.00000,-244.00000,-391.00000,-391.00000,,-391.00000,540.00000,265.00000,430.00000,430.00000,-0.91000,-0.91000
2015-06-30,1532.00000,529.00000,1003.00000,578.00000,817.00000,186.00000,-72.00000,114.00000,37.00000,77.00000,77.00000,,77.00000,432.00000,186.00000,430.23500,431.73300,0.18000,0.18000
2015-03-31,2433.00000,1354.00000,1079.00000,606.00000,823.00000,256.00000,-47.00000,209.00000,78.00000,131.00000,131.00000,,131.00000,480.00000,256.00000,429.95500,431.18300,0.30000,0.30000
2014-12-31,2372.00000,1296.00000,1076.00000,626.00000,855.00000,221.00000,-12.00000,209.00000,33.00000,176.00000,176.00000,,176.00000,457.00000,221.00000,430.00000,432.00000,0.41000,0.41000
2014-09-30,1807.00000,702.00000,1105.00000,579.00000,872.00000,233.00000,-20.00000,213.00000,70.00000,143.00000,143.00000,,143.00000,533.00000,233.00000,429.79600,431.57300,0.33000,0.33000
2014-06-30,1884.00000,880.00000,1004.00000,562.00000,818.00000,186.00000,-17.00000,169.00000,62.00000,107.00000,107.00000,,107.00000,449.00000,186.00000,430.00000,431.00000,0.25000,0.25000
2014-03-31,3163.00000,2043.00000,1120.00000,590.00000,825.00000,295.00000,-1.00000,294.00000,109.00000,185.00000,185.00000,,185.00000,537.00000,295.00000,429.00000,431.00000,0.43000,0.43000
2013-12-31,2184.00000,1167.00000,1017.00000,593.00000,806.00000,211.00000,-36.00000,175.00000,62.00000,113.00000,113.00000,,113.00000,431.00000,211.00000,428.00000,431.00000,0.27000,0.26000
2013-09-30,1640.00000,637.00000,1003.00000,511.00000,759.00000,244.00000,-15.00000,229.00000,78.00000,151.00000,151.00000,,151.00000,499.00000,244.00000,429.00000,431.00000,0.35000,0.35000
2013-06-30,1894.00000,880.00000,1014.00000,538.00000,791.00000,223.00000,-79.00000,144.00000,244.00000,-100.00000,-100.00000,,-100.00000,484.00000,223.00000,429.00000,431.00000,-0.23000,-0.23000
2013-03-31,2388.00000,1224.00000,1164.00000,592.00000,832.00000,332.00000,-99.00000,233.00000,86.00000,147.00000,147.00000,,147.00000,580.00000,332.00000,428.00000,430.00000,0.34000,0.34000
2012-12-31,2138.00000,975.00000,1163.00000,603.00000,853.00000,310.00000,-100.00000,210.00000,76.00000,134.00000,134.00000,,134.00000,569.00000,310.00000,427.18900,429.79400,0.33000,0.32000
2012-09-30,1705.00000,520.00000,1185.00000,544.00000,1097.00000,88.00000,40.00000,128.00000,118.00000,10.00000,10.00000,,10.00000,397.00000,88.00000,427.00000,430.00000,0.02000,0.02000
2012-06-30,1525.00000,409.00000,1116.00000,539.00000,814.00000,302.00000,-102.00000,200.00000,74.00000,126.00000,126.00000,,126.00000,584.00000,302.00000,427.00000,430.00000,0.29000,0.29000
2012-03-31,2084.00000,969.00000,1115.00000,553.00000,777.00000,338.00000,-119.00000,219.00000,72.00000,147.00000,147.00000,,147.00000,570.00000,338.00000,426.00000,428.00000,0.34000,0.34000
2011-12-31,2145.00000,1066.00000,1079.00000,596.00000,805.00000,274.00000,-115.00000,159.00000,42.00000,117.00000,117.00000,,117.00000,491.00000,274.00000,425.63600,428.72400,0.27820,0.27000
2011-09-30,1881.00000,735.00000,1146.00000,536.00000,789.00000,357.00000,233.00000,590.00000,204.00000,386.00000,386.00000,,973.00000,617.00000,357.00000,426.00000,429.00000,2.28000,2.27000
2011-06-30,1837.00000,778.00000,1059.00000,533.00000,756.00000,303.00000,-113.00000,190.00000,71.00000,119.00000,119.00000,,119.00000,534.00000,303.00000,426.00000,428.00000,0.28000,0.28000
2011-03-31,2587.00000,1476.00000,1111.00000,546.00000,747.00000,364.00000,-129.00000,235.00000,87.00000,148.00000,148.00000,,148.00000,572.00000,364.00000,425.00000,427.00000,0.35000,0.35000
2010-12-31,2098.00000,1053.00000,1045.00000,539.00000,743.00000,302.00000,-138.00000,164.00000,40.00000,124.00000,124.00000,,124.00000,512.00000,302.00000,410.00000,413.00000,0.30000,0.29000
2010-09-30,1908.00000,808.00000,1100.00000,530.00000,773.00000,327.00000,-128.00000,199.00000,76.00000,123.00000,123.00000,,123.00000,577.00000,327.00000,422.00000,425.00000,0.29000,0.29000
2010-06-30,1756.00000,778.00000,978.00000,498.00000,715.00000,263.00000,-137.00000,126.00000,45.00000,81.00000,81.00000,,81.00000,487.00000,263.00000,400.00000,402.00000,0.20000,0.20000
2010-03-31,3023.00000,1935.00000,1088.00000,531.00000,731.00000,357.00000,-141.00000,216.00000,102.00000,114.00000,114.00000,,114.00000,564.00000,357.00000,393.00000,395.00000,0.29000,0.29000
2009-12-31,2299.00000,1290.00000,1009.00000,529.00000,710.00000,299.00000,-147.00000,152.00000,47.00000,105.00000,105.00000,,105.00000,488.00000,299.00000,365.00000,368.00000,0.28000,0.27000
2009-09-30,1576.00000,582.00000,994.00000,499.00000,707.00000,287.00000,-135.00000,152.00000,38.00000,114.00000,114.00000,,114.00000,504.00000,287.00000,370.00000,372.00000,0.31000,0.31000
2009-06-30,1640.00000,710.00000,930.00000,489.00000,677.00000,253.00000,-124.00000,129.00000,43.00000,86.00000,86.00000,,86.00000,451.00000,253.00000,352.00000,354.00000,0.24000,0.24000
2009-03-31,2766.00000,1789.00000,977.00000,526.00000,692.00000,285.00000,-170.00000,115.00000,48.00000,67.00000,67.00000,,67.00000,461.00000,285.00000,347.00000,349.00000,0.19000,0.19000
