,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,3122.00000,1920.20000,1201.80000,-1196.90000,1196.90000,4.89990,4.90000,-10.60000,15.50000,15.50000,-9.50000,,4.89990,244.70000,249.20000,-0.04000,-0.04000
2022-09-30,4600.90000,1759.30000,2841.60000,-1111.50000,1111.50000,1730.10000,1730.10000,348.70000,1381.40000,1381.40000,1385.50000,1730.10000,1730.10000,248.00000,251.90000,5.59000,5.50000
2022-06-30,6658.70000,1303.10000,5355.60000,-1458.50000,1458.50000,3897.10000,3897.10000,822.50000,3074.60000,3074.60000,3059.40000,3897.10000,3897.10000,252.60000,256.30000,12.11000,11.94000
2022-03-31,3110.00000,1483.00000,1627.00000,-1199.00000,1199.00000,428.00000,428.00000,47.30000,380.70000,380.70000,376.20000,428.00000,428.00000,259.40000,263.80000,1.45000,1.43000
2021-12-31,4091.10000,2158.10000,1933.00000,-1324.00000,1324.00000,608.99980,609.00010,103.80000,505.20010,505.20010,471.80000,608.99980,609.00070,269.00000,272.90000,1.79000,1.76000
2021-09-30,3423.70000,1799.10000,1624.60000,-1196.50000,1196.50000,428.09990,428.10000,63.80000,364.30000,364.30000,359.90000,428.09990,428.09990,268.00000,271.90000,1.34000,1.32000
2021-06-30,3539.40000,1841.70000,1697.70000,-1265.10000,1265.10000,432.59990,432.60000,61.00000,371.60000,371.60000,361.80000,432.59990,432.59990,271.30000,275.10000,1.34000,1.32000
2021-03-31,3208.50000,1392.90000,1815.60000,-1201.70000,1201.70000,613.90010,613.90000,97.60000,516.30000,516.30000,517.10000,613.90010,613.90010,272.90000,276.00000,1.89000,1.87000
2020-12-31,3765.10100,2011.70000,1753.40000,-1161.80000,1161.80000,591.60060,591.60000,100.10000,491.50000,491.50000,472.60010,591.60060,591.59990,274.70000,276.60000,1.72000,1.71000
2020-09-30,3310.70000,1869.70000,1441.00000,-1165.90000,1165.90000,275.09990,275.10000,39.20000,235.90000,235.90000,236.00000,275.09990,275.09990,274.80000,276.80000,0.86000,0.85000
2020-06-30,3114.60000,1632.70000,1481.90000,-983.30000,983.30000,498.60010,498.60000,82.50000,416.10000,416.10000,398.30000,498.60010,498.60010,274.30000,275.60000,1.45000,1.45000
2020-03-31,4551.30000,2887.60000,1663.70000,-1335.50000,1335.50000,328.20020,328.20000,43.20000,285.00000,285.00000,288.90000,328.20020,328.20020,275.00000,277.20000,1.05000,1.04000
2019-12-31,4047.19900,2453.30000,1593.90000,-1222.60000,1222.59900,371.30050,371.30010,56.00000,315.30010,315.30010,300.90000,371.30050,371.30130,278.60000,281.00000,1.09000,1.08000
2019-09-30,4458.40000,2870.40000,1588.00000,-1242.30000,1242.30000,345.69970,345.70000,61.10000,284.60000,284.60000,277.10000,345.69970,345.69970,279.00000,281.40000,0.99000,0.98000
