,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2757.00000,557.00000,2200.00000,1372.00000,1372.00000,828.00000,828.00000,175.00000,653.00000,653.00000,621.00000,493.29400,495.47800,1.26000,1.25000
2022-09-30,2481.00000,304.00000,2177.00000,1364.00000,1364.00000,813.00000,813.00000,177.00000,636.00000,636.00000,611.00000,495.65100,497.47800,1.23000,1.23000
2022-06-30,2120.00000,121.00000,1999.00000,1521.00000,1521.00000,478.00000,478.00000,114.00000,364.00000,364.00000,332.00000,491.49700,493.29600,0.68000,0.67000
2022-03-31,1711.00000,66.00000,1645.00000,1109.00000,1109.00000,536.00000,536.00000,116.00000,420.00000,420.00000,396.00000,422.40200,424.67100,0.94000,0.93000
2021-12-31,1796.00000,76.00000,1720.00000,1036.00000,1036.00000,684.00000,684.00000,154.00000,530.00000,530.00000,498.00000,425.66950,427.43580,1.17000,1.17000
2021-09-30,1736.00000,77.00000,1659.00000,978.00000,978.00000,681.00000,681.00000,151.00000,530.00000,530.00000,504.00000,426.08700,427.84100,1.18000,1.18000
2021-06-30,1696.00000,87.00000,1609.00000,778.00000,778.00000,831.00000,831.00000,183.00000,648.00000,648.00000,616.00000,425.94900,427.56200,1.45000,1.44000
2021-03-31,1758.00000,99.00000,1659.00000,878.00000,878.00000,781.00000,781.00000,170.00000,611.00000,611.00000,588.00000,425.95400,427.88100,1.38000,1.37000
2020-12-31,1827.00000,120.00000,1707.00000,1136.00000,1136.00000,571.00000,571.00000,115.00000,456.00000,456.00000,424.00000,427.06250,428.15780,0.98000,0.98000
2020-09-30,1934.00000,143.00000,1791.00000,1416.00000,1416.00000,375.00000,375.00000,61.00000,314.00000,314.00000,289.00000,426.84600,427.99200,0.68000,0.68000
2020-06-30,1940.00000,190.00000,1750.00000,1443.00000,1443.00000,307.00000,307.00000,54.00000,253.00000,253.00000,225.00000,426.61300,427.56700,0.53000,0.53000
