,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2023-01-31,164048.00000,125423.00000,38625.00000,33064.00000,33064.00000,5561.00000,3341.00000,8902.00000,3093.00000,5809.00000,5809.00000,,6275.00000,,5561.00000,2696.00000,2707.00000,2.33000,2.32000
2022-10-31,152813.00000,115613.00000,37200.00000,34505.00000,34505.00000,2695.00000,-4126.00000,-1431.00000,336.00000,-1767.00000,-1767.00000,,-1798.00000,5450.00000,2695.00000,2711.00000,2711.00000,-0.66000,-0.66000
2022-07-31,152859.00000,115838.00000,37021.00000,30167.00000,30167.00000,6854.00000,-210.00000,6644.00000,1497.00000,5147.00000,5147.00000,,5149.00000,9553.00000,6854.00000,2736.00000,2745.00000,1.88000,1.88000
2022-04-30,141569.00000,106847.00000,34722.00000,29404.00000,29404.00000,5318.00000,-2417.00000,2901.00000,798.00000,2103.00000,2103.00000,,2054.00000,7998.00000,5318.00000,2754.00000,2765.00000,0.75000,0.74000
2022-01-31,152871.00000,115522.00000,37349.00000,31462.00000,31462.00000,5887.00000,-1105.00000,4782.00000,1149.00000,3633.00000,3633.00000,,3562.00000,8593.00000,5887.00000,2792.00000,2805.00000,1.29000,1.27000
2021-10-31,140525.00000,105023.00000,35502.00000,29710.00000,29710.00000,5792.00000,-1645.00000,4147.00000,1015.00000,3132.00000,3132.00000,,3105.00000,8442.00000,5792.00000,2785.00000,2797.00000,1.11000,1.11000
2021-07-31,141048.00000,105183.00000,35865.00000,28511.00000,28511.00000,7354.00000,-1431.00000,5923.00000,1559.00000,4364.00000,4364.00000,,4276.00000,9995.00000,7354.00000,2799.00000,2812.00000,1.53000,1.52000
2021-04-30,138310.00000,103272.00000,35038.00000,28129.00000,28129.00000,6909.00000,-3065.00000,3844.00000,1033.00000,2811.00000,2811.00000,,2730.00000,9570.00000,6909.00000,2815.00000,2829.00000,0.97000,0.97000
2021-01-31,152079.00000,115261.00000,36818.00000,31331.00000,31331.00000,5487.00000,-6080.00000,-593.00000,1415.00000,-2008.00000,-2008.00000,,-2091.00000,8306.00000,5487.00000,2831.00000,2847.00000,-0.74000,-0.72000
2020-10-31,134708.00000,100339.00000,34369.00000,28591.00000,28591.00000,5778.00000,1337.00000,7115.00000,1914.00000,5201.00000,5201.00000,,5135.00000,8549.00000,5778.00000,2833.00000,2849.00000,1.81000,1.80000
