,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,6172.00000,4796.00000,1376.00000,-1394.00000,1761.00000,-385.00000,100.00000,-285.00000,-65.00000,-220.00000,-220.00000,-220.00000,-18.00000,-385.00000,593.00000,642.00000,-0.38000,-0.30000
2022-09-30,6220.00000,4671.00000,1549.00000,-819.00000,1154.00000,395.00000,-42.00000,353.00000,76.00000,277.00000,277.00000,277.00000,730.00000,395.00000,593.00000,639.00000,0.47000,0.44000
2022-06-30,6728.00000,4454.00000,2274.00000,-791.00000,1116.00000,1158.00000,-122.00000,1036.00000,276.00000,760.00000,760.00000,760.00000,1483.00000,1158.00000,593.00000,635.00000,1.29000,1.20000
2022-03-31,4694.00000,3790.00000,904.00000,-731.00000,1055.00000,-151.00000,-225.00000,-376.00000,-98.00000,-278.00000,-278.00000,-278.00000,173.00000,-151.00000,592.00000,592.00000,-0.47000,-0.47000
2021-12-31,5051.00000,3850.00000,1201.00000,-683.00000,1006.00000,195.00000,-118.00000,77.00000,10.00000,67.00000,67.00000,67.00000,518.00000,195.00000,592.00000,609.00000,0.11000,0.12000
2021-09-30,4679.00000,2962.00000,1717.00000,-662.00000,984.00000,733.00000,-133.00000,600.00000,154.00000,446.00000,446.00000,446.00000,1055.00000,733.00000,592.00000,607.00000,0.75000,0.73000
2021-06-30,4008.00000,2513.00000,1495.00000,-586.00000,901.00000,594.00000,-92.00000,502.00000,154.00000,348.00000,348.00000,348.00000,909.00000,594.00000,591.00000,615.00000,0.59000,0.57000
2021-03-31,2052.00000,1078.00000,974.00000,-463.00000,775.00000,199.00000,-53.00000,146.00000,30.00000,116.00000,116.00000,116.00000,511.00000,199.00000,591.00000,609.00000,0.20000,0.19000
2020-12-31,2013.00000,2345.00000,-332.00000,-520.00000,836.00000,-1168.00000,-163.00000,-1331.00000,-423.00000,-908.00000,-908.00000,-908.00000,-853.00000,-1168.00000,565.00000,565.00000,-1.67000,-1.67000
2020-09-30,1793.00000,2401.00000,-608.00000,-488.00000,803.00000,-1411.00000,-131.00000,-1542.00000,-385.00000,-1157.00000,-1157.00000,-1157.00000,-873.00000,-1411.00000,590.00000,590.00000,-1.96000,-1.96000
2020-06-30,1008.00000,1602.00000,-594.00000,-220.00000,533.00000,-1127.00000,-112.00000,-1239.00000,-324.00000,-915.00000,-915.00000,-915.00000,-1036.00000,-1127.00000,563.00000,563.00000,-1.63000,-1.63000
2020-03-31,4234.00000,3335.00000,899.00000,-698.00000,1009.00000,-110.00000,-34.00000,-144.00000,-50.00000,-94.00000,-94.00000,-94.00000,201.00000,-110.00000,515.00000,515.00000,-0.18000,-0.18000
2019-12-31,5731.00000,3988.00000,1743.00000,-766.00000,1078.00000,665.00000,,666.00000,153.00000,513.00000,513.00000,513.00000,978.00000,665.00000,538.00000,539.00000,0.97000,0.97000
2019-09-30,5639.00000,3750.00000,1889.00000,-762.00000,1070.00000,819.00000,,819.00000,160.00000,659.00000,659.00000,659.00000,1127.00000,819.00000,533.00000,534.00000,1.24000,1.23000
2019-06-30,5909.00000,3871.00000,2038.00000,-768.00000,1070.00000,968.00000,,968.00000,227.00000,741.00000,741.00000,741.00000,1269.00000,968.00000,542.00000,542.00000,1.37000,1.37000
2019-03-31,5149.00000,3617.00000,1532.00000,-730.00000,1027.00000,505.00000,-1.00000,504.00000,117.00000,387.00000,387.00000,387.00000,802.00000,505.00000,551.00000,552.00000,0.70000,0.70000
2018-12-31,5704.00000,3796.00000,1908.00000,-757.00000,1088.00000,820.00000,-4.00000,816.00000,162.00000,654.00000,654.00000,654.00000,1151.00000,820.00000,573.00000,574.00000,1.16000,1.15000
2018-09-30,5575.00000,3737.00000,1838.00000,-739.00000,1040.00000,798.00000,-12.00000,786.00000,171.00000,615.00000,615.00000,615.00000,1099.00000,798.00000,569.00000,569.00000,1.08000,1.08000
2018-06-30,5742.00000,3747.00000,1995.00000,-731.00000,1023.00000,972.00000,-12.00000,960.00000,227.00000,733.00000,733.00000,733.00000,1264.00000,972.00000,578.00000,579.00000,1.27000,1.27000
2018-03-31,4944.00000,3426.00000,1518.00000,-625.00000,902.00000,616.00000,-14.00000,602.00000,139.00000,463.00000,463.00000,463.00000,893.00000,616.00000,587.00000,588.00000,0.79000,0.79000
2017-12-31,5258.00000,3547.00000,1711.00000,-691.00000,970.00000,741.00000,-5.00000,736.00000,-1011.00000,1747.00000,1747.00000,1747.00000,1020.00000,741.00000,601.00000,603.00000,2.92000,2.91000
2017-09-30,5303.00000,3415.00000,1888.00000,-741.00000,1043.00000,845.00000,-13.00000,832.00000,304.00000,528.00000,528.00000,528.00000,1147.00000,845.00000,597.00000,598.00000,0.88000,0.88000
2017-06-30,5731.00000,3470.00000,2261.00000,-727.00000,1046.00000,1215.00000,-50.00000,1165.00000,422.00000,743.00000,743.00000,743.00000,1534.00000,1215.00000,604.00000,605.00000,1.23000,1.23000
2017-03-31,4854.00000,3242.00000,1612.00000,-688.00000,1006.00000,606.00000,-74.00000,532.00000,193.00000,339.00000,339.00000,339.00000,924.00000,606.00000,613.00000,614.00000,0.55000,0.55000
2016-12-31,4940.00000,3168.00000,1772.00000,-848.00000,1165.00000,607.00000,105.00000,712.00000,250.00000,462.00000,462.00000,462.00000,925.00000,607.00000,627.00000,633.00000,0.75000,0.76000
2016-09-30,5139.00000,3471.00000,1668.00000,-658.00000,973.00000,695.00000,-77.00000,618.00000,230.00000,388.00000,388.00000,388.00000,1010.00000,695.00000,618.00000,625.00000,0.63000,0.62000
2016-06-30,5384.00000,3190.00000,2194.00000,-619.00000,918.00000,1276.00000,28.00000,1304.00000,484.00000,820.00000,820.00000,820.00000,1574.00000,1276.00000,632.00000,639.00000,1.30000,1.28000
2016-03-31,4826.00000,3014.00000,1812.00000,-578.00000,868.00000,944.00000,-128.00000,816.00000,303.00000,513.00000,513.00000,513.00000,1234.00000,944.00000,641.00000,648.00000,0.80000,0.79000
2015-12-31,4977.00000,3071.00000,1906.00000,-610.00000,880.00000,1026.00000,-180.00000,846.00000,310.00000,536.00000,536.00000,536.00000,1290.00000,1026.00000,661.00000,669.00000,0.83000,0.83000
2015-09-30,5318.00000,3257.00000,2061.00000,-572.00000,836.00000,1225.00000,-292.00000,933.00000,349.00000,584.00000,584.00000,584.00000,1482.00000,1225.00000,655.00000,663.00000,0.89000,0.88000
2015-06-30,5111.00000,3210.00000,1901.00000,-563.00000,816.00000,1085.00000,-108.00000,977.00000,369.00000,608.00000,608.00000,608.00000,1335.00000,1085.00000,665.00000,673.00000,0.91000,0.90000
2015-03-31,4414.00000,2870.00000,1544.00000,-497.00000,764.00000,780.00000,-57.00000,723.00000,270.00000,453.00000,453.00000,453.00000,1024.00000,780.00000,674.00000,682.00000,0.67000,0.66000
2014-12-31,4628.00000,3131.00000,1497.00000,-578.00000,876.00000,621.00000,-320.00000,301.00000,111.00000,190.00000,190.00000,190.00000,872.00000,621.00000,687.00000,696.00000,0.28000,0.27000
2014-09-30,4800.00000,3357.00000,1443.00000,-568.00000,829.00000,614.00000,-89.00000,525.00000,196.00000,329.00000,329.00000,329.00000,852.00000,614.00000,683.00000,691.00000,0.48000,0.48000
2014-06-30,5011.00000,3437.00000,1574.00000,-533.00000,799.00000,775.00000,-29.00000,746.00000,281.00000,465.00000,465.00000,465.00000,1003.00000,775.00000,690.00000,698.00000,0.67000,0.67000
