,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,18593.95000,15244.34000,3349.61600,-2708.97400,2708.97000,640.64260,-462.16600,178.47600,37.26000,141.21600,141.21600,141.21600,863.88960,640.64260,507.60970,510.14580,0.28000,0.28000
2022-09-30,19126.83000,15637.97000,3488.85500,-2754.52200,2754.53000,734.33400,-139.43100,594.90200,129.33400,465.56800,465.56800,465.56800,956.23500,734.33400,507.57860,510.38310,0.92000,0.91000
2022-06-30,18957.26000,15512.98000,3444.27300,-2677.55700,2677.56000,766.71480,-124.83600,641.87890,131.89000,509.98880,509.98880,509.98890,999.77080,766.71780,510.63060,514.00580,0.99000,0.99000
2022-03-31,16902.14000,13888.75000,3013.39400,-2517.66500,2517.66000,495.72850,-110.24100,385.48800,82.16300,303.32500,303.32500,303.32500,722.27750,495.72850,508.36820,512.23850,0.60000,0.59000
2021-12-31,16320.20000,13429.05000,2891.15000,-2446.24100,2446.24000,444.90920,-232.22300,212.68600,45.24500,167.44100,167.44100,167.44100,668.27820,444.90920,511.04440,514.57490,0.33000,0.33000
2021-09-30,16456.55000,13484.84000,2971.70900,-2340.02600,2340.02000,631.68360,-124.96200,506.72000,128.70700,378.01300,378.01300,378.01300,851.94760,631.68360,512.51610,515.78290,0.74000,0.73000
2021-06-30,16136.89000,13221.11000,2915.77800,-2346.09400,2346.10000,569.68260,-427.66600,142.01800,-9.07500,151.09300,151.09300,151.09300,804.24960,569.68360,510.69640,513.55510,0.30000,0.30000
2021-03-31,11824.59000,9701.92100,2122.66800,-1886.75100,1886.74900,235.91700,-133.06500,102.85200,13.92500,88.92700,88.92700,88.92700,445.77800,235.91700,511.11070,514.58510,0.17000,0.17000
2020-12-31,11558.98000,9460.52400,2098.45800,-1886.39600,1886.39600,212.06250,-130.94200,81.12000,13.83100,67.28900,67.28900,67.28900,431.11850,212.06250,510.00670,512.74280,0.13000,0.13000
2020-09-30,11777.38000,9557.53400,2219.84500,-1800.26600,1800.26600,419.57910,-160.84100,258.73800,41.83800,216.90000,216.90000,216.90000,634.03210,419.57910,509.12700,510.73900,0.43000,0.42000
2020-06-30,8866.56200,7300.90800,1565.65300,-2097.23500,2097.23600,-531.58200,-204.66500,-736.24500,-117.82600,-618.41890,-618.41890,-618.41900,-117.88100,-531.58200,510.12110,514.02600,-1.20000,-1.18000
2020-03-31,13698.70000,11134.46000,2564.24000,-2503.96600,2503.96000,60.27440,-89.05400,-28.78000,-25.48300,-3.29700,-3.29700,-3.29700,350.83440,60.27440,508.74500,512.65800,-0.01000,-0.01000
2019-12-31,15025.04000,12196.64000,2828.39900,-2275.90600,2275.91000,552.49320,-75.95500,476.53800,93.12800,383.41000,383.41000,383.41000,768.99220,552.49320,509.98470,515.51780,0.75000,0.74000
2019-09-30,15303.00000,12359.63000,2943.37000,-2275.05200,2275.06000,668.31840,-86.44700,581.87100,128.09000,453.78100,453.78100,453.78100,887.56840,668.31840,513.49600,518.76100,0.88000,0.87000
2019-06-30,15474.86000,12495.67000,2979.19500,-2258.66200,2258.66000,720.53130,-38.22200,682.30800,146.54200,535.76600,535.76600,535.76600,913.00820,720.53220,516.89100,523.38100,1.03000,1.03000
2019-03-31,14658.07000,11903.78000,2754.29800,-2224.71300,2224.71000,529.58500,-98.63400,430.95100,-9.13200,440.08300,440.08300,440.08300,719.19800,529.58500,514.18500,519.82100,0.86000,0.85000
2018-12-31,14765.71000,11994.00000,2771.71200,-2319.81700,2319.81000,451.89450,-97.31000,354.58500,87.20500,267.38000,267.38000,267.38000,661.32450,451.89450,517.87100,524.60100,0.52000,0.51000
2018-09-30,15215.28000,12311.49000,2903.78500,-2275.64500,2275.65000,628.14060,-90.14800,537.99200,106.95000,431.04200,431.04200,431.04200,821.93760,628.14060,520.85700,529.03400,0.83000,0.81000
2018-06-30,15315.91000,12399.20000,2916.70700,-2232.77300,2232.77000,683.93360,-90.78000,593.15590,144.22800,448.92800,448.92800,448.92800,893.07860,683.93360,522.92700,529.09000,0.86000,0.84000
2018-03-31,14349.50000,11673.88000,2675.62800,-2193.42500,2193.42000,482.20310,-117.31900,364.88400,34.79900,330.08500,330.08500,330.08500,682.31910,482.20310,521.83300,527.99100,0.63000,0.63000
2017-12-31,14411.49000,11712.10000,2699.38700,-2170.83400,2170.84000,528.55270,-76.82400,451.72800,167.61500,284.11300,284.11300,284.11300,726.40970,528.55270,521.28400,527.25000,0.55000,0.54000
2017-09-30,14650.42000,11856.76000,2793.66800,-2174.30300,2174.30000,619.36520,-72.90900,546.45600,178.81600,367.64000,367.64000,367.64000,806.21920,619.36520,527.29000,533.06300,0.70000,0.69000
2017-06-30,14421.05000,11661.45000,2759.59500,-2200.18600,2200.19000,559.40720,-75.87900,483.52510,178.35400,305.17090,305.17090,305.17110,800.82020,559.40630,543.49700,548.54500,0.58000,0.56000
