,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,4010.00000,2028.00000,1982.00000,,-1458.00000,1458.00000,524.00000,524.00000,339.00000,185.00000,185.00000,185.00000,,524.00000,619.84500,622.99400,0.30000,0.30000
2022-09-30,4820.00000,2607.00000,2213.00000,1051.00000,,1110.00000,1103.00000,1103.00000,-493.00000,1596.00000,1596.00000,1596.00000,1430.00000,1162.00000,629.35000,631.94600,2.54000,2.53000
2022-06-30,5400.00000,2577.00000,2823.00000,1067.00000,,1122.00000,1701.00000,1701.00000,313.00000,1388.00000,1388.00000,1388.00000,2024.00000,1756.00000,640.70700,643.24300,2.17000,2.16000
2022-03-31,5272.00000,2787.00000,2485.00000,1153.00000,,1209.00000,1276.00000,1276.00000,244.00000,1032.00000,1032.00000,1032.00000,1654.00000,1332.00000,649.75300,652.82700,1.59000,1.58000
2021-12-31,5436.00000,2883.00000,2553.00000,1263.00000,,1320.00000,1233.00000,1233.00000,194.00000,1039.00000,1039.00000,1039.00000,1591.00000,1290.00000,673.61700,676.72900,1.58000,1.58000
2021-09-30,5237.00000,2920.00000,2317.00000,1147.00000,,1204.00000,1113.00000,1113.00000,225.00000,888.00000,888.00000,888.00000,1447.00000,1170.00000,668.76200,671.92500,1.33000,1.32000
2021-06-30,5564.00000,2968.00000,2596.00000,1161.00000,,1223.00000,1373.00000,1373.00000,268.00000,1105.00000,1105.00000,1105.00000,1716.00000,1435.00000,678.05000,680.92000,1.63000,1.62000
2021-03-31,5869.00000,3061.00000,2808.00000,1143.00000,,1205.00000,1603.00000,1603.00000,310.00000,1293.00000,1293.00000,1293.00000,1976.00000,1665.00000,688.93800,691.94000,1.88000,1.87000
2020-12-31,5913.00000,3298.00000,2615.00000,1338.00000,,1399.00000,1216.00000,1216.00000,265.00000,951.00000,951.00000,951.00000,1577.00000,1277.00000,713.70200,716.19200,1.34000,1.33000
2020-09-30,5665.00000,3310.00000,2355.00000,1139.00000,,1202.00000,1153.00000,1153.00000,-1303.00000,2456.00000,2456.00000,2456.00000,1508.00000,1216.00000,711.69800,713.79300,3.45000,3.44000
2020-06-30,5407.00000,3229.00000,2178.00000,1045.00000,,1108.00000,1070.00000,1070.00000,265.00000,805.00000,805.00000,805.00000,1422.00000,1133.00000,717.88900,719.76400,1.12000,1.12000
2020-03-31,5162.00000,3275.00000,1887.00000,1112.00000,,1167.00000,720.00000,720.00000,154.00000,566.00000,566.00000,566.00000,1108.00000,775.00000,724.36600,727.51200,0.78000,0.78000
2019-12-31,5603.00000,3315.00000,2288.00000,1174.00000,,1230.00000,1058.00000,1058.00000,276.00000,782.00000,782.00000,782.00000,1429.00000,1114.00000,742.41400,746.43000,1.07000,1.07000
2019-09-30,5536.00000,3357.00000,2179.00000,1086.00000,,1143.00000,1036.00000,1036.00000,259.00000,777.00000,777.00000,777.00000,1411.00000,1093.00000,739.94600,743.84200,1.05000,1.04000
2019-06-30,5511.00000,3293.00000,2218.00000,1052.00000,,1109.00000,1109.00000,1109.00000,292.00000,817.00000,817.00000,817.00000,1475.00000,1166.00000,745.15300,748.84900,1.10000,1.09000
2019-03-31,5657.00000,3298.00000,2359.00000,1059.00000,,1117.00000,1242.00000,1242.00000,314.00000,928.00000,928.00000,928.00000,1640.00000,1300.00000,751.42300,755.79000,1.23000,1.23000
2018-12-31,5128.00000,3239.00000,1889.00000,1106.00000,,1165.00000,724.00000,724.00000,198.00000,526.00000,526.00000,526.00000,1096.00000,783.00000,769.58800,774.65000,0.69000,0.70000
2018-09-30,5577.00000,3333.00000,2244.00000,1045.00000,,1098.00000,1146.00000,1146.00000,301.00000,845.00000,845.00000,845.00000,1514.00000,1199.00000,767.04900,772.07000,1.10000,1.09000
2018-06-30,5589.00000,3369.00000,2220.00000,1035.00000,,1089.00000,1131.00000,1131.00000,299.00000,832.00000,832.00000,832.00000,1488.00000,1185.00000,772.94900,777.80700,1.08000,1.07000
2018-03-31,5464.00000,3379.00000,2085.00000,1047.00000,,1103.00000,982.00000,982.00000,265.00000,717.00000,717.00000,717.00000,1352.00000,1038.00000,778.55000,783.85200,0.92000,0.91000
