,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,931.00000,931.00000,506.00000,,261.00000,-83.00000,178.00000,31.00000,147.00000,147.00000,,147.00000,425.00000,261.00000,182.00000,182.00000,0.81000,0.81000
2022-09-30,1082.00000,1082.00000,479.00000,,439.00000,-72.00000,367.00000,70.00000,297.00000,297.00000,,297.00000,603.00000,439.00000,182.00000,182.00000,1.63000,1.63000
2022-06-30,937.00000,937.00000,447.00000,,327.00000,-57.00000,270.00000,52.00000,218.00000,218.00000,,218.00000,490.00000,327.00000,182.00000,182.00000,1.20000,1.20000
2022-03-31,842.00000,842.00000,438.00000,,246.00000,-53.00000,193.00000,35.00000,158.00000,158.00000,,158.00000,404.00000,246.00000,182.00000,182.00000,0.87000,0.87000
2021-12-31,951.00000,951.00000,571.00000,,220.00000,674.00000,894.00000,249.00000,645.00000,645.00000,,645.00000,380.00000,220.00000,182.00000,182.00000,3.56000,3.55000
2021-09-30,1092.00000,1092.00000,514.00000,,417.00000,-77.00000,340.00000,62.00000,278.00000,278.00000,,278.00000,578.00000,417.00000,182.00000,182.00000,1.53000,1.53000
2021-06-30,999.00000,999.00000,511.00000,,330.00000,-79.00000,251.00000,44.00000,207.00000,207.00000,,207.00000,488.00000,330.00000,182.00000,182.00000,1.14000,1.14000
2021-03-31,888.00000,888.00000,502.00000,,229.00000,-74.00000,155.00000,22.00000,133.00000,133.00000,,133.00000,386.00000,229.00000,181.00000,182.00000,0.73000,0.73000
2020-12-31,923.00000,923.00000,507.00000,,263.00000,-82.00000,181.00000,36.00000,145.00000,145.00000,,145.00000,416.00000,263.00000,181.00000,182.00000,0.79000,0.80000
2020-09-30,1079.00000,1079.00000,492.00000,,433.00000,-81.00000,352.00000,88.00000,264.00000,264.00000,,264.00000,587.00000,433.00000,181.00000,182.00000,1.46000,1.46000
2020-06-30,931.00000,931.00000,466.00000,,313.00000,-81.00000,232.00000,56.00000,176.00000,176.00000,,176.00000,465.00000,313.00000,181.00000,181.00000,0.97000,0.97000
2020-03-31,844.00000,844.00000,460.00000,,239.00000,-80.00000,159.00000,35.00000,124.00000,124.00000,,124.00000,384.00000,239.00000,181.00000,181.00000,0.69000,0.68000
2019-12-31,902.00000,902.00000,483.00000,1.00000,268.00000,-132.00000,136.00000,38.00000,98.00000,98.00000,,98.00000,420.00000,268.00000,181.00000,181.00000,0.55000,0.54000
2019-09-30,1013.00000,1013.00000,463.00000,,406.00000,-88.00000,318.00000,78.00000,240.00000,240.00000,,240.00000,550.00000,406.00000,181.00000,181.00000,1.33000,1.33000
