,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2014-12-31,70.16700,70.16700,32.25300,,33.48900,,33.48900,11.85300,21.63600,21.63600,,21.63600,37.91400,33.48900,36.93000,37.88900,0.60000,0.57000
2014-09-30,64.24500,64.24500,31.49500,,28.26800,,28.26800,10.76400,17.50400,17.50400,,17.50400,32.75000,28.26800,36.85600,37.80500,0.47000,0.46000
2014-06-30,64.96400,64.96400,31.54200,,29.07100,,29.07100,10.88000,18.19100,18.19100,,18.19100,33.42200,29.07100,37.01500,37.94200,0.49000,0.48000
2014-03-31,63.39800,63.39800,31.56900,,27.70800,,27.70800,10.23300,17.47500,17.47500,,17.47500,31.82900,27.70800,37.12100,38.09600,0.47000,0.46000
2013-12-31,60.44200,60.44200,31.67100,,24.79900,,24.79900,9.32900,15.47000,15.47000,7.66400,23.13400,28.54500,24.79900,36.88600,37.88800,0.63000,0.61000
2013-09-30,61.13300,61.13300,31.28500,,26.38800,,26.38800,8.12900,18.25900,18.25900,-0.04600,18.21300,29.94700,26.38800,36.91900,37.96500,0.49000,0.48000
2013-06-30,63.50700,63.50700,27.68000,,31.42200,,31.42200,12.13300,19.28900,19.28900,0.05400,19.34300,34.59900,31.42200,36.86800,37.81900,0.52000,0.51000
2013-03-31,53.65100,53.65100,26.69400,,24.67100,,24.67100,9.12600,15.54500,15.54500,-0.21900,15.32600,27.24000,24.67100,36.77400,37.67300,0.42000,0.41000
2012-12-31,44.87800,44.87800,19.72800,,23.92200,,23.92200,1.96800,21.95400,21.95400,-1.48900,20.46500,26.25900,23.92200,36.51600,37.81600,0.56000,0.54000
2012-09-30,46.40200,46.40200,23.18700,,21.50000,,21.50000,7.79200,13.70800,13.70800,-0.22600,13.48200,23.58100,21.50000,36.50000,37.54100,0.37000,0.36000
2012-06-30,48.82500,48.82500,25.66400,,21.20000,,21.20000,8.57100,12.62900,12.62900,,12.62900,23.16100,21.20000,36.12800,37.44000,0.35000,0.34000
2012-03-31,50.73500,50.73500,26.13300,,22.74800,,22.74800,9.25500,13.49300,13.49300,,13.49300,24.60200,22.74800,36.93400,38.69500,0.37000,0.35000
2011-12-31,35.91000,35.91000,14.10900,,21.58300,,21.58300,8.29700,13.28600,13.28600,,11.54300,23.37600,21.58300,37.00600,39.60800,0.31000,0.29000
2011-09-30,46.56400,46.56400,22.46900,,22.29600,,22.29600,8.85200,13.44400,13.44400,,13.44400,24.09500,22.29600,37.12600,39.82800,0.36000,0.34000
2011-06-30,45.79100,45.79100,24.25900,,19.90500,,19.90500,7.96800,11.93700,11.93700,,11.93700,21.53200,19.90500,36.76200,39.49000,0.32000,0.30000
2011-03-31,43.60900,43.60900,24.38100,,17.66600,,17.66600,6.88600,10.78000,10.78000,,10.78000,19.22800,17.66600,36.50700,39.30100,0.30000,0.27000
2010-12-31,38.60500,38.60500,22.60800,,14.44500,,14.44500,5.49800,8.94700,8.94700,,8.08100,15.99700,14.44500,33.15900,39.05100,0.25000,0.23000
2010-09-30,37.41300,37.41300,22.32900,,13.52400,,13.52400,4.91300,8.61100,8.61100,,7.78400,15.08400,13.52400,32.94500,38.74400,0.24000,0.22000
2010-06-30,35.32600,35.32600,21.84800,,11.85600,,11.85600,4.68700,7.16900,7.16900,,6.49300,13.47800,11.85600,33.73300,39.51400,0.19000,0.18000
2010-03-31,34.88400,34.88400,22.18300,,11.08500,,11.08500,4.38400,6.70100,6.70100,,6.06900,12.70100,11.08500,33.62600,39.30600,0.18000,0.17000
2009-12-31,33.95900,33.95900,21.25400,,11.03900,,11.03900,5.60300,5.43600,5.43600,,6.45100,12.70500,11.03900,33.26400,38.08200,0.14000,0.14000
2009-09-30,30.00900,30.00900,19.81200,,8.54300,,8.54300,3.90300,4.64000,4.64000,,4.19900,10.19700,8.54300,33.28700,38.19700,0.13000,0.12000
2009-06-30,25.83900,25.83900,18.42400,,5.73600,,5.73600,2.54900,3.18700,3.18700,,2.88400,7.41500,5.73600,33.25600,37.85400,0.09000,0.08000
2009-03-31,24.63200,24.63200,18.11000,,4.73100,,4.73100,1.89200,2.83900,2.83900,,2.56800,6.52200,4.73100,33.18300,37.51700,0.08000,0.08000
