,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2603.99200,1782.44200,821.55000,444.35800,-1.14600,806.09900,15.45120,-515.65700,-500.20580,-500.20580,-500.20580,-500.20600,,15.45120,255.18400,255.18400,-1.96000,-1.96000
2022-09-30,2993.07500,1956.26300,1036.81200,373.11600,-10.18600,738.38700,298.42500,-265.45700,32.96810,32.96810,32.96810,32.96800,698.73310,298.42500,255.07100,255.37800,0.13000,0.13000
2022-06-30,2184.24200,1690.86200,493.38010,371.42500,10.94300,712.02400,-218.64380,-302.93800,-521.58180,-521.58180,-521.58180,-521.58200,174.44220,-218.64380,254.96400,254.96400,-2.05000,-2.05000
2022-03-31,1059.23100,1184.76900,-125.53810,394.03000,-0.17300,733.67000,-859.20810,-307.93400,-1167.14200,-1167.14200,-1167.14200,-1167.14200,-476.55110,-859.20810,254.82100,254.82100,-4.58000,-4.58000
2021-12-31,982.24700,1135.50400,-153.25690,503.05510,-42.06700,878.48800,-1031.74500,-325.22300,-1356.96800,-1356.96800,-1356.96800,-1356.96800,-637.85230,-1031.74500,251.81200,251.81200,-5.35000,-5.35000
2021-09-30,456.95800,813.69100,-356.73300,323.42200,0.23800,649.09100,-1005.82400,-418.73000,-1424.55400,-1424.55400,-1424.55400,-1424.55400,-620.99790,-1005.82400,254.71300,254.71300,-5.59000,-5.59000
2021-06-30,50.91400,424.83000,-373.91600,285.55800,-40.62100,649.61800,-1023.53400,-323.72100,-1347.25500,-1347.25500,-1347.25500,-1347.25500,-635.87100,-1023.53400,254.57700,254.57700,-5.29000,-5.29000
2021-03-31,42.01400,283.48700,-241.47300,258.04100,0.44900,567.75800,-809.23100,-322.49100,-1131.72200,-1131.72200,-1131.72200,-1131.72200,-434.18000,-809.23100,243.00400,243.00400,-4.66000,-4.66000
2020-12-31,34.13790,265.25990,-231.12190,255.53300,-211.86600,785.42810,-1016.55000,-350.38590,-1366.93500,-1366.93500,-1366.93500,-1366.93500,-633.52050,-1016.54900,214.33500,214.33500,-6.02000,-6.02000
2020-09-30,-33.68800,308.60900,-342.29700,246.77900,-89.89900,653.81700,-996.11400,-343.19800,-1339.31200,-1339.31200,-1339.31200,-1346.75600,-623.23300,-996.11400,214.16300,214.16300,-6.29000,-6.29000
2020-06-30,175.60500,680.42000,-504.81510,301.41800,-156.49700,777.67200,-1282.48700,-349.36100,-1631.84800,-1631.84800,-1631.84800,-1639.29200,-943.67400,-1282.48700,209.38500,209.38500,-7.83000,-7.83000
