,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1581.78100,883.37600,698.40500,603.74600,603.74600,94.65910,45.69700,140.35600,18.81100,121.54500,121.61700,121.61700,129.85600,94.65910,448.83300,458.99000,0.27000,0.27000
2022-09-30,1573.88500,860.05100,713.83400,594.42400,594.42400,119.40990,-9.32600,110.08400,22.25100,87.83300,86.92500,86.92500,153.64390,119.40990,454.32200,464.14100,0.19000,0.19000
2022-06-30,1349.05700,718.86000,630.19700,595.71400,595.71400,34.48300,-20.24600,14.23700,5.65700,8.58000,7.68200,7.68200,69.35200,34.48300,458.41500,468.16700,0.02000,0.02000
2022-03-31,1300.94500,695.78100,605.16390,594.44600,651.12000,-45.95610,-6.20500,-52.16100,8.18100,-60.34200,-59.61000,-59.61000,-127.69710,-45.95610,471.42500,471.42500,-0.13000,-0.13000
2021-12-31,,,,,,,,,,,,,,,,,,0.00000
2021-09-30,1545.53200,757.42800,788.10400,599.38400,616.04000,172.06400,-38.73700,133.32700,18.96200,114.36500,113.44400,113.44400,212.81700,172.06400,470.00200,473.11600,0.24000,0.24000
2021-06-30,1351.53400,682.71300,668.82100,545.00300,547.61600,121.20500,-51.80100,69.40400,10.02700,59.37700,59.20700,59.20700,167.41600,121.20500,459.60400,462.28600,0.13000,0.13000
2021-03-31,1257.19500,628.55400,628.64090,,,1257.19500,,85.57300,9.88100,,,77.75200,1257.19500,,456.01400,459.22600,0.17000,0.17000
2020-12-31,,,,,,,,,,,,,,,,,,0.00000
2020-09-30,1433.02100,746.70100,686.32000,553.54900,627.75000,58.57000,-22.13900,36.43100,-3.71400,40.14500,38.94600,38.94600,100.86290,58.57000,454.54100,456.67400,0.09000,0.09000
2020-06-30,707.64000,358.47100,349.16900,479.90600,518.84300,-169.67400,-16.17900,-185.85300,-3.13700,-182.71600,-182.89500,-182.89500,-80.88800,-169.67400,454.12100,454.12100,-0.40000,-0.40000
2020-03-31,930.24000,499.25600,430.98400,,,930.24000,,-562.60600,21.54700,,,-589.68100,930.24000,,452.87100,452.87100,-1.30000,-1.30000
2019-12-31,,,,,,,,,,,,,,,,,,0.00000
2019-09-30,1429.45600,739.55800,689.89810,550.97800,550.97800,138.92000,-6.08400,132.83600,29.34400,103.49200,102.31500,102.31500,185.70500,138.92000,451.38500,454.69500,0.23000,0.23000
2019-06-30,1191.72900,637.40800,554.32100,565.80300,565.80300,-11.48190,-7.11600,-18.59800,-5.74000,-12.85800,-17.34900,-17.34900,82.36610,-11.48190,451.06600,451.06600,-0.04000,-0.04000
2019-03-31,1204.72200,659.93500,544.78700,,,1204.72200,,30.35400,8.13100,,,22.47700,1204.72200,,449.74900,453.23000,0.05000,0.05000
2018-12-31,,,,,,,,,,,,,,,,,,0.00000
2018-09-30,1442.97600,777.76900,665.20700,527.64000,546.24100,118.96610,-13.44500,105.52100,30.87400,74.64700,75.26600,75.26600,162.78710,118.96610,447.07000,451.03500,0.17000,0.17000
2018-06-30,1174.85900,648.27500,526.58400,552.61900,631.45900,-104.87500,-16.62100,-121.49600,-26.09000,-95.40600,-95.54400,-95.54400,-13.47700,-104.87500,444.62600,444.62600,-0.21000,-0.21000
2018-03-31,1185.37000,661.91700,523.45300,,,1185.37000,,-34.33700,-4.09300,,,-30.24400,1185.37000,,443.05200,443.05200,-0.07000,-0.07000
2017-12-31,,,,,,,,,,,,,,,,,,0.00000
2017-09-30,1408.99100,760.26500,648.72600,501.54800,586.54600,62.17990,-10.64400,51.53600,-2.70600,54.24200,54.24200,54.24200,107.36390,62.17990,441.27500,448.43900,0.12000,0.12000
2017-06-30,1091.19200,589.99900,501.19300,502.88000,505.97800,-4.78500,-10.72500,-15.51000,-3.20200,-12.30800,-12.30800,-12.30800,78.70900,-4.78500,440.42300,440.42300,-0.03000,-0.03000
2017-03-31,1119.84400,611.90800,507.93600,,,1119.84400,,2.28600,4.55800,,,-2.27200,1119.84400,,439.36000,439.36000,-0.01000,-0.01000
2016-12-31,,,,,,,,,,,,,,,,,,0.00000
2016-09-30,1471.57300,772.94900,698.62400,499.31400,499.31400,199.31010,-8.96100,190.34900,62.12400,128.22500,128.22500,128.22500,236.95510,199.31010,437.83000,445.85300,0.29300,0.28800
2016-06-30,1000.78300,523.13600,477.64700,458.26900,458.26900,19.37800,-8.70900,10.66900,4.32500,6.34400,6.34400,-52.65600,87.11500,19.37800,435.54300,442.87200,-0.12100,-0.12100
