,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2023-01-31,8915.00000,2911.00000,6004.00000,1195.00000,348.00000,1901.00000,4103.00000,-263.00000,3840.00000,66.00000,3774.00000,3774.00000,,3774.00000,,4103.00000,418.00000,429.00000,9.03000,8.80000
2022-10-31,8930.00000,3004.00000,5926.00000,1197.00000,370.00000,1940.00000,3986.00000,-366.00000,3620.00000,261.00000,3359.00000,3359.00000,,3311.00000,5202.00000,3986.00000,409.00000,423.00000,8.06000,7.86000
2022-07-31,8464.00000,2783.00000,5681.00000,1255.00000,323.00000,1944.00000,3737.00000,-400.00000,3337.00000,263.00000,3074.00000,3074.00000,,2999.00000,4954.00000,3737.00000,405.00000,430.00000,7.40000,7.15000
2022-04-30,8103.00000,2664.00000,5439.00000,1261.00000,368.00000,2045.00000,3394.00000,-604.00000,2790.00000,200.00000,2590.00000,2590.00000,,2515.00000,4658.00000,3394.00000,408.00000,424.00000,6.16000,5.93000
2022-01-31,7706.00000,2657.00000,5049.00000,1206.00000,321.00000,1941.00000,3108.00000,-421.00000,2687.00000,215.00000,2472.00000,2472.00000,,2398.00000,4395.00000,3108.00000,412.00000,429.00000,5.82000,5.59000
2021-10-31,7407.00000,2769.00000,4638.00000,1200.00000,337.00000,2057.00000,2581.00000,-412.00000,2169.00000,180.00000,1989.00000,1989.00000,,1914.00000,4082.00000,2581.00000,410.00000,429.00000,4.66000,4.45000
2021-07-31,6778.00000,2581.00000,4197.00000,1205.00000,346.00000,2071.00000,2126.00000,-400.00000,1726.00000,-150.00000,1876.00000,1876.00000,,1802.00000,3629.00000,2126.00000,411.00000,429.00000,4.38000,4.20000
2021-04-30,6610.00000,2553.00000,4057.00000,1238.00000,325.00000,2082.00000,1975.00000,-489.00000,1486.00000,-7.00000,1493.00000,1493.00000,,1417.00000,3479.00000,1975.00000,409.00000,429.00000,3.46000,3.30000
2021-01-31,6655.00000,2703.00000,3952.00000,1211.00000,339.00000,2115.00000,1837.00000,-453.00000,1384.00000,6.00000,1378.00000,1378.00000,,1304.00000,3370.00000,1837.00000,407.00000,428.00000,3.20000,3.05000
2020-10-31,6467.00000,2720.00000,3747.00000,1182.00000,405.00000,2221.00000,1526.00000,-389.00000,1137.00000,-187.00000,1324.00000,1324.00000,,1250.00000,3254.00000,1526.00000,402.00000,421.00000,3.10000,2.97000
